entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0040/ID00003/000004	stage	STG0040	ID00003	4	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	650f67e99aed0b7634c9431e646eb5ffaf961946c803779bc3e4e623411fe43b	~성천사학원 교실~		　　　　　　　　～성천사 학원 교실～	　　　　　　　　～失探紫　俳据　嘘叔～		38	[]	imported	
STG0040/ID00003/000005	stage	STG0040	ID00003	5	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	3ed138b3fe035348c6f93ce9c8f7ee4cfca2ba2f5abb4f26059a55e03eebb2e9	앤디		앤디	裳巨		4	[]	imported	
STG0040/ID00003/000006	stage	STG0040	ID00003	6	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	3deede80b4540b1084943f0aed8e7b2fd07ce1ce4335e7549f9099e23be9c1f1	…하지만, 야시마 작전부터 마리메이어의 반란까지		…하지만 야시마 작전부터 마리메이아의 반란까지	…馬走幻　醤獣原　拙穿採斗　原軒五戚焼税　鋼空猿走		50	[]	imported	
STG0040/ID00003/000007	stage	STG0040	ID00003	7	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	5df725cc2399cfe9be0279fb21e54ae946981564c86895cf0889ddfeb45578d4	연속으로 대사건이 계속되었군		연속으로 큰 사건이 이어졌네	尻紗生稽　笛　紫闇戚　戚嬢然革		30	[]	imported	
STG0040/ID00003/000008	stage	STG0040	ID00003	8	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	b442dbc15fa9eee9687a6bbfd3d4b6efd8fe7c9bc1510e03ee207f02884766f1	모로이		모로이	乞稽戚		6	[]	imported	
STG0040/ID00003/000009	stage	STG0040	ID00003	9	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	cf0c7f3f60e1e537c7276b1757bbd7f3aa7cfdffe12d63debb5b35d826f824b3	그리고 우주에서는 네오 지온의 선전포고라...		그리고 우주에서는 네오・지온의 선전포고인가…	益軒壱　酔爽拭辞澗　革神・走紳税　識穿匂壱昔亜…		48	[]	imported	
STG0040/ID00003/000010	stage	STG0040	ID00003	10	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	64f70b5e23bef871c11a8d3a3c5d2f15561ebe73b1a9405d77589e7bdd5439c3	사잔카		사잔카	紫接朝		6	[]	imported	
STG0040/ID00003/000011	stage	STG0040	ID00003	11	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	d8693552fe4843ecee0d7763c54d3f73ce10115bb1e9b0853071fe9a44f2df9d	그러고 보니 네오디온과 회담을 하러 갔었다		그러고 보니 네오・지온과 회담을 갔던	益君壱　左艦　革神・走紳引　噺眼聖　穐揮		40	[]	imported	
STG0040/ID00003/000012	stage	STG0040	ID00003	12	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	5df5de8e6ccd8cee67151d7428180562b08c67297b97c7a475f0191aab9df0c1	대통령들은 어떻게 됐어?		대통령들은 어떻게 되었어？	企搭敬級精　嬢胸惟　鞠醸嬢？		28	[]	imported	
STG0040/ID00003/000013	stage	STG0040	ID00003	13	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	f203a121cf92905c0182118c505953ea3088519c87749854f51a8374ab052ea3	ＭＩＸ		MIX	ＭＩＸ		6	[]	imported	
STG0040/ID00003/000014	stage	STG0040	ID00003	14	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	d324bcea33ed39e65646ef986f2fabe066e7f76b8d19416a8453394dc2ebd3d6	그대로 네오디온 측과 전시조약의 조정을		그대로 네오・지온 측과 전시 조약 조정을	益企稽　革神・走紳　著引　穿獣　繕鉦　繕舛聖		44	[]	imported	
STG0040/ID00003/000015	stage	STG0040	ID00003	15	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	10b866dffc7697c846b405b5d0467a55b9492c4629d797232c3f0d7333edfcd4	행하고 있다네		하고 있다고 해	馬壱　赤陥壱　背		16	[]	imported	
STG0040/ID00003/000016	stage	STG0040	ID00003	16	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	9a36170dc90fb33fdeeaf1882977daa906ff8a3e5171bd4fecebf6cac54bd516	카이엔		카이엔	朝戚殖		6	[]	imported	
STG0040/ID00003/000017	stage	STG0040	ID00003	17	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	f20f548282322f124779d2a9026331a38edf740f9142fba4a77cfc607316020d	하지 마...		대단하군…	企舘馬浦…		10	[]	imported	
STG0040/ID00003/000018	stage	STG0040	ID00003	18	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	0fb7b7c0004798c76df583ee82169d40c979707859ab1295527a1d06113794ac	그 샤아 아즈나블이라는 남자...		그 샤아・아즈나블이라는 남자…	益　時焼・焼綜蟹鷺戚虞澗　害切…		32	[]	imported	
STG0040/ID00003/000019	stage	STG0040	ID00003	19	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	3ed138b3fe035348c6f93ce9c8f7ee4cfca2ba2f5abb4f26059a55e03eebb2e9	앤디		앤디	裳巨		4	[]	imported	
STG0040/ID00003/000020	stage	STG0040	ID00003	20	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	053b5ab400c561cce238e8877fbae056b4d662deb3750f4749a952632bdd9409	왜지?		왜 그래？	訊　益掘？		10	[]	imported	
STG0040/ID00003/000021	stage	STG0040	ID00003	21	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	9a36170dc90fb33fdeeaf1882977daa906ff8a3e5171bd4fecebf6cac54bd516	카이엔		카이엔	朝戚殖		6	[]	imported	
STG0040/ID00003/000022	stage	STG0040	ID00003	22	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	32e978d76b22b7a389f460f8becc096d9130113f8863d1d7f3b9ee01975faac8	현재의 연방군은 이른바 지구지상주의자들이		현재 연방군은 소위 지구 지상주의자들이	薄仙　尻号浦精　社是　走姥　走雌爽税切級戚		42	[]	imported	
STG0040/ID00003/000023	stage	STG0040	ID00003	23	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	7acaffeea87a267b14b7db7e074fcc143739d6c17dccda0c37a2637a807776a1	권력을 쥐고 있다		권력을 쥐고 있어	映径聖　巣壱　赤嬢		18	[]	imported	
STG0040/ID00003/000024	stage	STG0040	ID00003	24	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	9a36170dc90fb33fdeeaf1882977daa906ff8a3e5171bd4fecebf6cac54bd516	카이엔		카이엔	朝戚殖		6	[]	imported	
STG0040/ID00003/000025	stage	STG0040	ID00003	25	01_스테이지 xlsx 모음/STG0040(22화B)-ID00003-script-통합.xlsx	0fd4ca5a0af196fbda4d337d37e772e17f711d2e1f280f777fc8050f9cccd0d5	06235e1091b42ef7fa651458e7ab08ea4958abd8679b8007633ae333ce42644a	자칫하면 일행은 우주이민자가 사는 콜로니에		잘못하면 그들은 우주 이민자들이 사는 콜로니에	設公馬檎　益級精　酔爽　戚肯切級戚　紫澗　紬稽艦拭		50	[]	imported	
