entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0061/ID00003/000004	stage	STG0061	ID00003	4	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	0d6b4728db8f61e4e599847773601960c7322bd429b90fda800ae0024e93d4d7	~NERV 본부~		　　　　　　　　　～NERV 본부～	　　　　　　　　　～ＮＥＲＶ　沙採～		36	[]	imported	
STG0061/ID00003/000005	stage	STG0061	ID00003	5	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	20fdc17ce138c21be750038d9de943a8f0d7a31a7aead8d655d91d573fe32640	리츠코		리츠코	軒苧坪		6	[]	imported	
STG0061/ID00003/000006	stage	STG0061	ID00003	6	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	60b4638ca6ac4d2e58dc3ad7e8986730d442b99cde0cf524f5374883cea06786	...무슨 일이야, 미사토?		…무슨 일이야,미사토?	…巷充　析戚醤，耕紫塘？		24	[]	imported	
STG0061/ID00003/000007	stage	STG0061	ID00003	7	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	c01fe27107d3fbe6d16bd01349499e4d0fd3a2cc8f37f55e9356792ced51f9f4	갑자기 본부로 돌아와서		갑자기 본부에 돌아오다니	逢切奄　沙採拭　宜焼神陥艦		26	[]	imported	
STG0061/ID00003/000008	stage	STG0061	ID00003	8	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0061/ID00003/000009	stage	STG0061	ID00003	9	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	f7f397436a14cf78171f836aa29718c5c1c5c7265dabeff28045e2dd020d71e4	잠깐 닻사령에게 이야기가 있어서 말야		잠깐 이카리 사령관님께 할 이야기가 있어서	節苑　戚朝軒　紫敬淫還臆　拝　戚醤奄亜　赤嬢辞		46	[]	imported	
STG0061/ID00003/000010	stage	STG0061	ID00003	10	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	20fdc17ce138c21be750038d9de943a8f0d7a31a7aead8d655d91d573fe32640	리츠코		리츠코	軒苧坪		6	[]	imported	
STG0061/ID00003/000011	stage	STG0061	ID00003	11	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	94f56c1fa0547c80ba0109f78ef9e8dfd9a62ebfe0c326f1359bb279c222e671	너무 급했나봐.		상당히 급했던 모양이네	雌雁備　厭梅揮　乞丞戚革		24	[]	imported	
STG0061/ID00003/000012	stage	STG0061	ID00003	12	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	5989bd466a1a59cf9f3d2fb5e304b9432fc483c1ca62c26d5435a276b9200a3e	연락도 없이 오다니		연락도 없이 오다니	尻喰亀　蒸戚　神陥艦		20	[]	imported	
STG0061/ID00003/000013	stage	STG0061	ID00003	13	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0061/ID00003/000014	stage	STG0061	ID00003	14	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	0ad188f028d42b39fabc6181a11c6e56120b5dc19bb4bb29913feb3ad2dd082e	이것도 작전이야.		이것도 작전이야	戚依亀　拙穿戚醤		16	[]	imported	
STG0061/ID00003/000015	stage	STG0061	ID00003	15	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	2e8dc1eb68ca76dcddaec88fe14f001c445c3478a90940bd1c3177a4b60adc7d	상대에게 방어를 시키지 않기 위해서 말이야		상대에게 방어할 틈을 주지 않기 위한 거지	雌企拭惟　号嬢拝　憧聖　爽走　省奄　是廃　暗走		46	[]	imported	
STG0061/ID00003/000016	stage	STG0061	ID00003	16	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0061/ID00003/000017	stage	STG0061	ID00003	17	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	27ac9822131e04d9eb558c105f5f5f29240c9861cd3553def69f2d77e2a72775	(1만2000년의 고리.		(12000년의 고리…	（１２０００鰍税　壱軒…		24	[]	imported	
STG0061/ID00003/000018	stage	STG0061	ID00003	18	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	1e3678853773a87eff6db4adae18474b79367037182d558addbdda4081186e44	이전에 닻사령도 1만2000년이란 말을		이전에 이카리 사령관님도 12000년이라는 말을	戚穿拭　戚朝軒　紫敬淫還亀　１２０００鰍戚虞澗　源聖		52	[]	imported	
STG0061/ID00003/000019	stage	STG0061	ID00003	19	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	bcb3a1880458819f87d77efb31076c3624f42b30fdc6c20bf1084dd1511be489	말했었다...)		했었지…)	梅醸走…）		10	[]	imported	
STG0061/ID00003/000020	stage	STG0061	ID00003	20	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0061/ID00003/000021	stage	STG0061	ID00003	21	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	af113723281c84c242daaaee51f72d83636bb5ab2608fefa06a4927ef8ecc0e8	(분명 사령은 뭔가를 알고 있다….		(분명 사령관님은 뭔가 알고 있어…	（歳誤　紫敬淫還精　杭亜　硝壱　赤嬢…		38	[]	imported	
STG0061/ID00003/000022	stage	STG0061	ID00003	22	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	aca919e5c5e72e3cc4830d3044d922ba10a5d99fd34aafe82facc5aba451db50	그것을 확인한다		그걸 확인해야겠어)	益杏　溌昔背醤畏嬢）		20	[]	imported	
STG0061/ID00003/000023	stage	STG0061	ID00003	23	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	4a65183d4241533bc3d1cc9daf316c51cd0bba6ea722b7d6a1e7add986f3af45	카모치		카지	朝走		4	[]	imported	
STG0061/ID00003/000024	stage	STG0061	ID00003	24	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	051fe4a6adadadd519602598cf6862f76eb2bd99a399cb73c18473885cb65136	모처럼의 작전도 불발로 끝날 것 같군		모처럼 세운 작전도 허사가 될 것 같군	乞坦軍　室錘　拙穿亀　買紫亜　吃　依　旭浦		42	[]	imported	
STG0061/ID00003/000025	stage	STG0061	ID00003	25	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0061/ID00003/000026	stage	STG0061	ID00003	26	01_스테이지 xlsx 모음/STG0061(38화B)-ID00003-script-통합.xlsx	9232505d7fc1904e6c8e8969dcc4aeede8024505fd0b7772b064a053e85257aa	ab0ebe8f12232007838e88d196d874ba378893e29de9e9e7e065922b58b6def1	네가 왜 여기 있어!		어째서 네가 여기에 있는 거야!	嬢属辞　革亜　食奄拭　赤澗　暗醤！		34	[]	imported	
