entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0005/ID00003/000004	stage	STG0005	ID00003	4	01_스테이지 xlsx 모음/STG0005(5화A)-ID00003-script-통합.xlsx	fe8655486050a5411d3cc235c8023481c0ae4acd0e2170a147b4ca5094cfdcce	af8c8005338a85b25e8d8e29b108e30b25ef9ddb7aad82872cf58e358df31063	~하이킹~	　　　　　～하이킹～	　　　　　～하이킹～	　　　　　～馬戚天～		20	[]	imported	
STG0005/ID00003/000005	stage	STG0005	ID00003	5	01_스테이지 xlsx 모음/STG0005(5화A)-ID00003-script-통합.xlsx	fe8655486050a5411d3cc235c8023481c0ae4acd0e2170a147b4ca5094cfdcce	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	왓타	왓타	왓타	甚展		4	[]	imported	
STG0005/ID00003/000006	stage	STG0005	ID00003	6	01_스테이지 xlsx 모음/STG0005(5화A)-ID00003-script-통합.xlsx	fe8655486050a5411d3cc235c8023481c0ae4acd0e2170a147b4ca5094cfdcce	8fb9e648b4d5fc20fc2db92971d6fc11b6b3edff5b0f3f9a281ebc2e81475cc6	아,고지 씨들이다!	앗,코우지 일행이다!	앗,코우지 일행이다!	焼，坪酔走松　析楳戚陥！		24	[]	imported	
STG0005/ID00003/000007	stage	STG0005	ID00003	7	01_스테이지 xlsx 모음/STG0005(5화A)-ID00003-script-통합.xlsx	fe8655486050a5411d3cc235c8023481c0ae4acd0e2170a147b4ca5094cfdcce	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	코우지	코우지	코우지	坪酔走		6	[]	imported	
STG0005/ID00003/000008	stage	STG0005	ID00003	8	01_스테이지 xlsx 모음/STG0005(5화A)-ID00003-script-통합.xlsx	fe8655486050a5411d3cc235c8023481c0ae4acd0e2170a147b4ca5094cfdcce	0248cf32aa4ecaf2875ffd2e878f497d0b3b3a32dfc3c28c7f54de0084df3ce3	왓타,왓타에 쇼타로!	어이,왓타에 쇼타로!	어이,왓타에 쇼타로!	嬢戚，甚展櫛　珠展稽！		22	[]	imported	
STG0005/ID00003/000009	stage	STG0005	ID00003	9	01_스테이지 xlsx 모음/STG0005(5화A)-ID00003-script-통합.xlsx	fe8655486050a5411d3cc235c8023481c0ae4acd0e2170a147b4ca5094cfdcce	d3e53512eefd356fa03980dd44a87173831da7f752c40bab4e7a79cd113f455d	여자 친구와 함께 하이킹인가!	여자 친구랑 하이킹이냐!	여자 친구랑 하이킹이냐!	食切　庁姥　汽軒壱　馬戚天戚劃！		32	[]	imported	
STG0005/ID00003/000010	stage	STG0005	ID00003	10	01_스테이지 xlsx 모음/STG0005(5화A)-ID00003-script-통합.xlsx	fe8655486050a5411d3cc235c8023481c0ae4acd0e2170a147b4ca5094cfdcce	9c116bbc87b01477c007a9aaa821607e97065b60744e83aaad39b55ef32eeb0c	카오루	카오루	카오루	朝神欠		6	[]	imported	
STG0005/ID00003/000011	stage	STG0005	ID00003	11	01_스테이지 xlsx 모음/STG0005(5화A)-ID00003-script-통합.xlsx	fe8655486050a5411d3cc235c8023481c0ae4acd0e2170a147b4ca5094cfdcce	439278acc7cd438e5dd295528e578ce01b8d20962187065993a9c9841016a0ef	처음 뵙겠습니다.	처음 뵙겠습니다.	처음 뵙겠습니다.	坦製　宰澗　歳亀　域獣革推		26	[]	imported	
STG0005/ID00003/000012	stage	STG0005	ID00003	12	01_스테이지 xlsx 모음/STG0005(5화A)-ID00003-script-통합.xlsx	fe8655486050a5411d3cc235c8023481c0ae4acd0e2170a147b4ca5094cfdcce	12afbe842133f7dfa0fe8b8cbf183c8c3a3f0742b966cb5116eacf44c857a94e	왓타 군의 급우 폭포 카오루입니다.	왓타 군의 반 친구 타키 카오루입니다.	왓타 군의 반 친구 타키 카오루입니다.	甚展　浦税　旭精　鋼　庁姥　展徹　朝神欠脊艦陥		46	[]	imported	
STG0005/ID00003/000013	stage	STG0005	ID00003	13	01_스테이지 xlsx 모음/STG0005(5화A)-ID00003-script-통합.xlsx	fe8655486050a5411d3cc235c8023481c0ae4acd0e2170a147b4ca5094cfdcce	97ce3f75e2f5a683ba78d2a3e6ca7e9e05b8741ac7c3c6f0f56280eddd4554a9	맥키	마키	마키	原徹		4	[]	imported	
