entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0100a/Sheet1/000002	stage	STG0100a	Sheet1	2	01_스테이지 xlsx 모음/STG0100a(에필로그)-ID00003-ID00007-sjis.xlsx	b9189d31ed12b3ee97781cf857cc21c4b2e5039a019d1668d2cba3f6be62e2f1	a75a0f7f1a5433290cd67f4fee1ac9f928d6d5930f06390328b9989a96db0623		제3차⑲슈퍼로봇대전⑲Z⑲시옥편	제3차⑲슈퍼로봇대전⑲Z⑲시옥편	薦３託⑲輯遁稽鎖企穿⑲Ｚ⑲獣秦畷	80		"[""⑲"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	imported	
STG0100a/Sheet1/000003	stage	STG0100a	Sheet1	3	01_스테이지 xlsx 모음/STG0100a(에필로그)-ID00003-ID00007-sjis.xlsx	b9189d31ed12b3ee97781cf857cc21c4b2e5039a019d1668d2cba3f6be62e2f1	46b8344905407f7dc6598c8ef3e7780f606ea2d3616283791e47f7427f2cbb05		「무적⑲로봇⑲트라이더G7」	「무적⑲로봇⑲트라이더G7」	「巷旋⑲稽鎖⑲闘虞戚希Ｇ７」	110		"[""⑲"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	imported	
STG0100a/Sheet1/000004	stage	STG0100a	Sheet1	4	01_스테이지 xlsx 모음/STG0100a(에필로그)-ID00003-ID00007-sjis.xlsx	b9189d31ed12b3ee97781cf857cc21c4b2e5039a019d1668d2cba3f6be62e2f1	cbca5d94572e7f940476143a4e81733d9851f5ef6a999fefda7aa249bece2321		타케오⑲왓타⑲⑲간지마⑲리미	타케오⑲왓타⑲⑲간지마⑲리미	展追神⑲甚展⑲⑲娃走原⑲軒耕	110		"[""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	imported	
STG0100a/Sheet1/000005	stage	STG0100a	Sheet1	5	01_스테이지 xlsx 모음/STG0100a(에필로그)-ID00003-ID00007-sjis.xlsx	b9189d31ed12b3ee97781cf857cc21c4b2e5039a019d1668d2cba3f6be62e2f1	621a76f86422b3fcffaf490bbefae630584554528f3eccf2adb16b9714345f75		카키코우지⑲우메마로⑲⑲나가이⑲이치로	카키코우지⑲우메마로⑲⑲나가이⑲이치로	朝徹坪酔走⑲酔五原稽⑲⑲蟹亜戚⑲戚帖稽	110		"[""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	imported	
STG0100a/Sheet1/000006	stage	STG0100a	Sheet1	6	01_스테이지 xlsx 모음/STG0100a(에필로그)-ID00003-ID00007-sjis.xlsx	b9189d31ed12b3ee97781cf857cc21c4b2e5039a019d1668d2cba3f6be62e2f1	3614bb6bdb0d08e4b2f3cd25ee6453076a9cf07ceaac3edd798a1855c7ed1ba6		아츠이⑲테츠오⑲⑲후지모토⑲유즈루	아츠이⑲테츠오⑲⑲후지모토⑲유즈루	焼苧戚⑲砺苧神⑲⑲板走乞塘⑲政綜欠	110		"[""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	imported	
STG0100a/Sheet1/000007	stage	STG0100a	Sheet1	7	01_스테이지 xlsx 모음/STG0100a(에필로그)-ID00003-ID00007-sjis.xlsx	b9189d31ed12b3ee97781cf857cc21c4b2e5039a019d1668d2cba3f6be62e2f1	6373c2bdce08a944396d7a650d3f3202776c7b7f8ab192e7d74cc55c44a4b1a6		키노시타⑲토하치로⑲⑲쇼우지⑲토키오	키노시타⑲토하치로⑲⑲쇼우지⑲토키오	徹葛獣展⑲塘馬帖稽⑲⑲珠酔走⑲塘徹神	110		"[""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	imported	
STG0100a/Sheet1/000008	stage	STG0100a	Sheet1	8	01_스테이지 xlsx 모음/STG0100a(에필로그)-ID00003-ID00007-sjis.xlsx	b9189d31ed12b3ee97781cf857cc21c4b2e5039a019d1668d2cba3f6be62e2f1	ad889d3c506b17ff0bba8616096d6e2da2188839bfb536eace833737760820f1		스나바라⑲이쿠에⑲⑲한⑲케이코	스나바라⑲이쿠에⑲⑲한⑲케이코	什蟹郊虞⑲戚庭拭⑲⑲廃⑲追戚坪	220		"[""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	imported	
STG0100a/Sheet1/000009	stage	STG0100a	Sheet1	9	01_스테이지 xlsx 모음/STG0100a(에필로그)-ID00003-ID00007-sjis.xlsx	b9189d31ed12b3ee97781cf857cc21c4b2e5039a019d1668d2cba3f6be62e2f1	3db2794b31e69202b7e959eb1556f2944e58e11b3114e991bb669711b22199fc		「태양의⑲사자⑲철인28호」	「태양의⑲사자⑲철인28호」	「殿丞税⑲紫切⑲旦昔２８硲」	110		"[""⑲"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	imported	
STG0100a/Sheet1/000010	stage	STG0100a	Sheet1	10	01_스테이지 xlsx 모음/STG0100a(에필로그)-ID00003-ID00007-sjis.xlsx	b9189d31ed12b3ee97781cf857cc21c4b2e5039a019d1668d2cba3f6be62e2f1	56a2f9effccc33149ac1f6d2c30981b031a51195cb7bb5476ca834f9ab21ed5e		가네다⑲쇼타로⑲⑲야마다⑲에이코	가네다⑲쇼타로⑲⑲야마다⑲에이코	亜革陥⑲珠展稽⑲⑲醤原陥⑲拭戚坪	110		"[""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	imported	
STG0100a/Sheet1/000011	stage	STG0100a	Sheet1	11	01_스테이지 xlsx 모음/STG0100a(에필로그)-ID00003-ID00007-sjis.xlsx	b9189d31ed12b3ee97781cf857cc21c4b2e5039a019d1668d2cba3f6be62e2f1	f71ed620bdc8bfd367fa7506986087d60358c4ffd43384d0a3a3cb574160263a		그라・킹・Jr.⑲사이가⑲미츠키	그라・킹・Jr.⑲사이가⑲미츠키	益虞・天・Ｊｒ．⑲紫戚亜⑲耕苧徹	110		"[""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""⑲"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	imported	
