entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0221-9화후B분기/ID00003/000002	stage	STG0221-9화후B분기	ID00003	2	01_스테이지 xlsx 모음/STG0221(9화후B분기)-ID00003-script-통합.xlsx	5970b6a88da1ac37413406f48c35b276e06473174d4ddc7ed4e0454d4f13357f	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n			$ｎ		4	"[""$n""]"	imported	
STG0221-9화후B분기/ID00003/000003	stage	STG0221-9화후B분기	ID00003	3	01_스테이지 xlsx 모음/STG0221(9화후B분기)-ID00003-script-통합.xlsx	5970b6a88da1ac37413406f48c35b276e06473174d4ddc7ed4e0454d4f13357f	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………			………		6	[]	imported	
STG0221-9화후B분기/ID00003/000006	stage	STG0221-9화후B분기	ID00003	6	01_스테이지 xlsx 모음/STG0221(9화후B분기)-ID00003-script-통합.xlsx	5970b6a88da1ac37413406f48c35b276e06473174d4ddc7ed4e0454d4f13357f	f8f79cfefa9e11706140035c0318ca52eac153121c751dc58da2ded78d29a199	　　　　　　　　　　~D 트레이더~			　　　　　　　　　　～Ｄ闘傾戚希～		34	[]	imported	
STG0221-9화후B분기/ID00003/000007	stage	STG0221-9화후B분기	ID00003	7	01_스테이지 xlsx 모음/STG0221(9화후B분기)-ID00003-script-통합.xlsx	5970b6a88da1ac37413406f48c35b276e06473174d4ddc7ed4e0454d4f13357f	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ			ＡＧ		4	[]	imported	
STG0221-9화후B분기/ID00003/000008	stage	STG0221-9화후B분기	ID00003	8	01_스테이지 xlsx 모음/STG0221(9화후B분기)-ID00003-script-통합.xlsx	5970b6a88da1ac37413406f48c35b276e06473174d4ddc7ed4e0454d4f13357f	6cfd263a2e2c4e314e116bc7ef0cfe405416fb1595f42fa4a77c043aa10525b2	들었어요, $n씨.			級醸嬢推，$ｎ還		16	"[""$n""]"	imported	
STG0221-9화후B분기/ID00003/000009	stage	STG0221-9화후B분기	ID00003	9	01_스테이지 xlsx 모음/STG0221(9화후B분기)-ID00003-script-통합.xlsx	5970b6a88da1ac37413406f48c35b276e06473174d4ddc7ed4e0454d4f13357f	16b11776047552eb9912831591ffcea2dd48d1852cf2b3bfb212f0b6ff410d03	우주로 가시는 거죠?			酔爽拭　亜重陥檎辞推？		22	[]	imported	
STG0221-9화후B분기/ID00003/000010	stage	STG0221-9화후B분기	ID00003	10	01_스테이지 xlsx 모음/STG0221(9화후B분기)-ID00003-script-통합.xlsx	5970b6a88da1ac37413406f48c35b276e06473174d4ddc7ed4e0454d4f13357f	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n			$ｎ		4	"[""$n""]"	imported	
STG0221-9화후B분기/ID00003/000011	stage	STG0221-9화후B분기	ID00003	11	01_스테이지 xlsx 모음/STG0221(9화후B분기)-ID00003-script-통합.xlsx	5970b6a88da1ac37413406f48c35b276e06473174d4ddc7ed4e0454d4f13357f	83017950e58bfb6f2a36486c275421b8120cead0ea0665068262cf6d33a9a3b0	아아……			誓…		4	[]	imported	
STG0221-9화후B분기/ID00003/000012	stage	STG0221-9화후B분기	ID00003	12	01_스테이지 xlsx 모음/STG0221(9화후B분기)-ID00003-script-통합.xlsx	5970b6a88da1ac37413406f48c35b276e06473174d4ddc7ed4e0454d4f13357f	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ			ＡＧ		4	[]	imported	
STG0221-9화후B분기/ID00003/000013	stage	STG0221-9화후B분기	ID00003	13	01_스테이지 xlsx 모음/STG0221(9화후B분기)-ID00003-script-통합.xlsx	5970b6a88da1ac37413406f48c35b276e06473174d4ddc7ed4e0454d4f13357f	bcb3d4aab2b7448b2b4552711f20eca97067c10ca198c189402b107ab4573b22	무한히 펼쳐진 별들의 바다.			巷廃備　南団走澗　紺級税　郊陥…焼焼，酔爽税		44	[]	imported	
