entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0201-4화-B분기/ID00003/000002	stage	STG0201-4화-B분기	ID00003	2	01_스테이지 xlsx 모음/STG0201(4화-B분기)-ID00003-script-통합.xlsx	b3cdbaf2bda318dd18d76a3de7b1208eadd81b2fbccd5f099375396397d76349	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n	$n	$n	$ｎ		4	"[""$n""]"	imported	
STG0201-4화-B분기/ID00003/000003	stage	STG0201-4화-B분기	ID00003	3	01_스테이지 xlsx 모음/STG0201(4화-B분기)-ID00003-script-통합.xlsx	b3cdbaf2bda318dd18d76a3de7b1208eadd81b2fbccd5f099375396397d76349	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………	………	………	………		6	[]	imported	
STG0201-4화-B분기/ID00003/000006	stage	STG0201-4화-B분기	ID00003	6	01_스테이지 xlsx 모음/STG0201(4화-B분기)-ID00003-script-통합.xlsx	b3cdbaf2bda318dd18d76a3de7b1208eadd81b2fbccd5f099375396397d76349	6996a893b0cae7ad98fcc680d2096594caeb714fec3f5a6146f2da1f572c60ff	~D 트레이더~	　　　　　～D 트레이더～	　　　　　～D 트레이더～	　　　　　～Ｄ　闘傾戚希～		26	[]	imported	
STG0201-4화-B분기/ID00003/000007	stage	STG0201-4화-B분기	ID00003	7	01_스테이지 xlsx 모음/STG0201(4화-B분기)-ID00003-script-통합.xlsx	b3cdbaf2bda318dd18d76a3de7b1208eadd81b2fbccd5f099375396397d76349	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	AG	AG	AG	ＡＧ		4	[]	imported	
STG0201-4화-B분기/ID00003/000008	stage	STG0201-4화-B분기	ID00003	8	01_스테이지 xlsx 모음/STG0201(4화-B분기)-ID00003-script-통합.xlsx	b3cdbaf2bda318dd18d76a3de7b1208eadd81b2fbccd5f099375396397d76349	2123058de5b7432b71a54874934e329dc5a5e35c74a8db380cf5ec864690a97b	글쎄, $ n 씨는	자자,$n 일행은	자자,$n 일행은	切切，$ｎ　析楳精		18	"[""$n""]"	imported	
STG0201-4화-B분기/ID00003/000009	stage	STG0201-4화-B분기	ID00003	9	01_스테이지 xlsx 모음/STG0201(4화-B분기)-ID00003-script-통합.xlsx	b3cdbaf2bda318dd18d76a3de7b1208eadd81b2fbccd5f099375396397d76349	d0a17e090b4094a8007ba7c2a22fb1767ee918a7b958da442642be524d44a25b	하이킹에 가게 된 것 같습니다 ...	하이킹에 가기로 한 것 같네요…	하이킹에 가기로 한 것 같네요…	馬戚天拭　亜奄稽　廃　依　旭革推…		34	[]	imported	
STG0201-4화-B분기/ID00003/000010	stage	STG0201-4화-B분기	ID00003	10	01_스테이지 xlsx 모음/STG0201(4화-B분기)-ID00003-script-통합.xlsx	b3cdbaf2bda318dd18d76a3de7b1208eadd81b2fbccd5f099375396397d76349	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	AG	AG	AG	ＡＧ		4	[]	imported	
STG0201-4화-B분기/ID00003/000011	stage	STG0201-4화-B분기	ID00003	11	01_스테이지 xlsx 모음/STG0201(4화-B분기)-ID00003-script-통합.xlsx	b3cdbaf2bda318dd18d76a3de7b1208eadd81b2fbccd5f099375396397d76349	17ffdeefbfa8ff58da6efd7b8614eae28d7dc6699ce634d7a50c59c74ab4cd55	그 선택은 과연 맞았습니까?	그 선택이 과연 옳았을까요?	그 선택이 과연 옳았을까요?	益　識澱戚　引尻　診紹聖猿推？		30	[]	imported	
STG0201-4화-B분기/ID00003/000012	stage	STG0201-4화-B분기	ID00003	12	01_스테이지 xlsx 모음/STG0201(4화-B분기)-ID00003-script-통합.xlsx	b3cdbaf2bda318dd18d76a3de7b1208eadd81b2fbccd5f099375396397d76349	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	AG	AG	AG	ＡＧ		4	[]	imported	
STG0201-4화-B분기/ID00003/000013	stage	STG0201-4화-B분기	ID00003	13	01_스테이지 xlsx 모음/STG0201(4화-B분기)-ID00003-script-통합.xlsx	b3cdbaf2bda318dd18d76a3de7b1208eadd81b2fbccd5f099375396397d76349	0b314e9630fca01df7a6933d1910e703ba91d50f677d0adcde49024759d887c6	뭐라고 불안을 부추겨 보거나 해서.	뭐~ 살짝 불안감을 조장해본 거랍니다.	뭐~ 살짝 불안감을 조장해본 거랍니다.	更～　詞側　災照姶聖　繕舌背沙　暗遇艦陥．		42	[]	imported	
STG0201-4화-B분기/ID00003/000014	stage	STG0201-4화-B분기	ID00003	14	01_스테이지 xlsx 모음/STG0201(4화-B분기)-ID00003-script-통합.xlsx	b3cdbaf2bda318dd18d76a3de7b1208eadd81b2fbccd5f099375396397d76349	76420ec0dcf29bf3f10f2bcb1f5b38e2f2979dc520b9062008b2eab37a5f1bb4	글쎄요, 장사하고 ... 장사, 장사!	자,힘차게… 장사, 장사!	자,힘차게… 장사, 장사!	切，毘託惟…　舌紫，　舌紫！		28	[]	imported	
