entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0047/ID00003/000004	stage	STG0047	ID00003	4	01_스테이지 xlsx 모음/STG0047(29화)-ID00003-script-통합.xlsx	3dd5f25e8a3f06212ccc5941266b569ec2e6dab4c077c483d648d48e8b37004e	a5f3be4fe842303fe0178b2048a2dbf6c9f2424e481c25f80f54e90f812be519	~미스릴 제휴 연구시설~		　　　　　　　～미스릴 제휴 연구시설～	　　　　　　　～耕什険　薦妃　尻姥獣竺～		40	[]	imported	
STG0047/ID00003/000005	stage	STG0047	ID00003	5	01_스테이지 xlsx 모음/STG0047(29화)-ID00003-script-통합.xlsx	3dd5f25e8a3f06212ccc5941266b569ec2e6dab4c077c483d648d48e8b37004e	8d17effa01e40912cd0e383bdff7bd35e3121d977e7526dd77c63076a8b3bdf2	트라이아		트라이아	闘虞戚焼		8	[]	imported	
STG0047/ID00003/000006	stage	STG0047	ID00003	6	01_스테이지 xlsx 모음/STG0047(29화)-ID00003-script-통합.xlsx	3dd5f25e8a3f06212ccc5941266b569ec2e6dab4c077c483d648d48e8b37004e	37776c0d2dba0c9fda9d3c836e3e4d8e5887d7fd26a2731a00b5be7bac7fda24	오랜만이야, 테사 대령		오랜만이야,텟사 대좌	神沓幻戚醤，倒紫　企疎		22	[]	imported	
STG0047/ID00003/000007	stage	STG0047	ID00003	7	01_스테이지 xlsx 모음/STG0047(29화)-ID00003-script-통합.xlsx	3dd5f25e8a3f06212ccc5941266b569ec2e6dab4c077c483d648d48e8b37004e	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
STG0047/ID00003/000008	stage	STG0047	ID00003	8	01_스테이지 xlsx 모음/STG0047(29화)-ID00003-script-통합.xlsx	3dd5f25e8a3f06212ccc5941266b569ec2e6dab4c077c483d648d48e8b37004e	da9585d753fb00223d9d4de51d91d8167f2e36d90ac99827a212e1dccfcd2c55	일부러 와주셔서 감사합니다,		일부러 와 주셔서 감사합니다	析採君　人　爽偲辞　姶紫杯艦陥		30	[]	imported	
STG0047/ID00003/000009	stage	STG0047	ID00003	9	01_스테이지 xlsx 모음/STG0047(29화)-ID00003-script-통합.xlsx	3dd5f25e8a3f06212ccc5941266b569ec2e6dab4c077c483d648d48e8b37004e	c8ccaa092c969ec81080ed9a8f9ae08a4df74a9c9acc804fbabdde494f290ad5	트라이아 박사		트라이아 박사	闘虞戚焼　酵紫		14	[]	imported	
STG0047/ID00003/000010	stage	STG0047	ID00003	10	01_스테이지 xlsx 모음/STG0047(29화)-ID00003-script-통합.xlsx	3dd5f25e8a3f06212ccc5941266b569ec2e6dab4c077c483d648d48e8b37004e	8d17effa01e40912cd0e383bdff7bd35e3121d977e7526dd77c63076a8b3bdf2	트라이아		트라이아	闘虞戚焼		8	[]	imported	
STG0047/ID00003/000011	stage	STG0047	ID00003	11	01_스테이지 xlsx 모음/STG0047(29화)-ID00003-script-통합.xlsx	3dd5f25e8a3f06212ccc5941266b569ec2e6dab4c077c483d648d48e8b37004e	6cf31b452c7168b86bcb5865a38f0c2a7180a34c2a4d8c6e0ac0188fa8c72118	상관없어.		괜찮아	右諾焼		6	[]	imported	
STG0047/ID00003/000012	stage	STG0047	ID00003	12	01_스테이지 xlsx 모음/STG0047(29화)-ID00003-script-통합.xlsx	3dd5f25e8a3f06212ccc5941266b569ec2e6dab4c077c483d648d48e8b37004e	1ad8f5954f82b2761442313ca36b65d95dfa88df1eb67ff757a3217dad5685fe	이쪽의 연구 그룹과 데이터의 대조도		이쪽 연구 그룹과 데이터 대조도	戚楕　尻姥　益血引　汽戚斗　企繕亀		34	[]	imported	
STG0047/ID00003/000013	stage	STG0047	ID00003	13	01_스테이지 xlsx 모음/STG0047(29화)-ID00003-script-통합.xlsx	3dd5f25e8a3f06212ccc5941266b569ec2e6dab4c077c483d648d48e8b37004e	421dc70ac0052c11b017d65a1986ace292ec0149e7379c3288ddaf44a00713d3	하고싶었고 말이야		하고 싶었고	馬壱　粛醸壱		12	[]	imported	
STG0047/ID00003/000014	stage	STG0047	ID00003	14	01_스테이지 xlsx 모음/STG0047(29화)-ID00003-script-통합.xlsx	3dd5f25e8a3f06212ccc5941266b569ec2e6dab4c077c483d648d48e8b37004e	8d17effa01e40912cd0e383bdff7bd35e3121d977e7526dd77c63076a8b3bdf2	트라이아		트라이아	闘虞戚焼		8	[]	imported	
