entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0073/ID00003/000002	stage	STG0073	ID00003	2	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	465eb3a571f289ffa84a577f4c37c6ffae014b03864f3bd49dedb4c02a1774e1	츠바사		츠바사	苧郊紫		6	[]	imported	
STG0073/ID00003/000003	stage	STG0073	ID00003	3	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	80c0b6bdec9190011539cd7c2337ffaaf475e2740f94a9b7011c3f7ac500b3e3	아수라의 녀석도 각오를 정했나…		아슈라의 녀석도 각오를 다졌나	焼輯虞税　橿汐亀　唖神研　陥然蟹		32	[]	imported	
STG0073/ID00003/000004	stage	STG0073	ID00003	4	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	465eb3a571f289ffa84a577f4c37c6ffae014b03864f3bd49dedb4c02a1774e1	츠바사		츠바사	苧郊紫		6	[]	imported	
STG0073/ID00003/000005	stage	STG0073	ID00003	5	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	6f6a4272500e56fb0e8f0b755550a095613dcc41bc1c322568ea7c0a8e80d2bf	나머지는 내가, 그 남자를 처치하면,		이제 내가,그 남자를 처치하면	戚薦　鎧亜，益　害切研　坦帖馬檎		32	[]	imported	
STG0073/ID00003/000006	stage	STG0073	ID00003	6	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	939ec669e245b4f3356c12c5abac3da4aae50dea6f4950141c1bdc88250acef4	바도스 섬을 둘러싼 모든 인연은 끝이 난다		바드스 섬을 둘러싼 인연은 모두 끝나	郊球什　雫聖　却君術　昔尻精　乞砧　魁蟹		40	[]	imported	
STG0073/ID00003/000007	stage	STG0073	ID00003	7	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	465eb3a571f289ffa84a577f4c37c6ffae014b03864f3bd49dedb4c02a1774e1	츠바사		츠바사	苧郊紫		6	[]	imported	
STG0073/ID00003/000008	stage	STG0073	ID00003	8	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	812525df7555540b3dbab1dc32832511a111387fc3c968d09982bbd81a645803	기다리고 있지...		기다려라…	奄陥形虞…		10	[]	imported	
STG0073/ID00003/000009	stage	STG0073	ID00003	9	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	0d0c6503d81cb34a2afaeb9180c13636b7db671196eeefa5d9125ad2ed288a61	네가 있는 곳은 알아냈어		네놈의 소행은 알아냈다	革叶税　社楳精　硝焼蛎陥		24	[]	imported	
STG0073/ID00003/000010	stage	STG0073	ID00003	10	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	465eb3a571f289ffa84a577f4c37c6ffae014b03864f3bd49dedb4c02a1774e1	츠바사		츠바사	苧郊紫		6	[]	imported	
STG0073/ID00003/000011	stage	STG0073	ID00003	11	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	4d2125557fb0f6bd3ec64deba20d59876595db2a2f2afabcb948a0a3705807e6	검조...		켄조…	痛繕…		6	[]	imported	
STG0073/ID00003/000012	stage	STG0073	ID00003	12	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	d26bbacc106b60fa8d67cf5aa9143c2c9b3d6d7c32ae6c54214c23927784d8f4	이번에야말로 완전히 숨통을 끊어 주마		이번에야말로,완전히 숨통을 끊어주마	戚腰拭醤源稽，刃穿備　需搭聖　快嬢爽原		38	[]	imported	
STG0073/ID00003/000015	stage	STG0073	ID00003	15	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	dfd6a59dc64cad13901ed3f385dce37ce2f7442587438410c12fb936500ecce1	　　　　　　　~드래곤즈 하이브 격납고~		　　　　　　～드래곤즈 하이브 격납고～	　　　　　　～球掘逸綜　馬戚崎　維崖壱～		40	[]	imported	
STG0073/ID00003/000016	stage	STG0073	ID00003	16	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	9f0da37da6231fe1700a550ab895c7f8652c66f053955289a72595e74ad8e9f2	료마		료마	戟原		4	[]	imported	
STG0073/ID00003/000017	stage	STG0073	ID00003	17	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	f360c0e8a905f1d907ce90fd0b2f7566a8fa41eb3e4c92cae9afe744417a0bc3	드디어 아스라와의 결전인가…		드디어 아슈라와의 결전인가…	球巨嬢　焼輯虞人税　衣穿昔亜…		30	[]	imported	
STG0073/ID00003/000018	stage	STG0073	ID00003	18	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	ce2a3c67ca706a7e6124035dbe0270fb6100e4baa19793b369bc905b17ba913d	하야토		하야토	馬醤塘		6	[]	imported	
STG0073/ID00003/000019	stage	STG0073	ID00003	19	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	8de7312dbaaed851040501d295788d2a21ade7b2ce25a8e324f9763c587027ba	과연 놈도 각오를 한 것 같으니 말이야.		과연 그 녀석도 각오를 다진 모양이니까	引尻　益　橿汐亀　唖神研　陥遭　乞丞戚艦猿		42	[]	imported	
STG0073/ID00003/000020	stage	STG0073	ID00003	20	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	843c35f31d1347421eaaee802858cee1654d6e855631da61930595ae1f530b44	이번에는 도망치지도 숨지도 않을 것이다		이번에는 도망도 숨지도 않겠지	戚腰拭澗　亀諺亀　需走亀　省畏走		32	[]	imported	
STG0073/ID00003/000021	stage	STG0073	ID00003	21	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	ce1e8aeca780115f7fb486861d20ee2c85b879f85f2ef3102d24c16f4c2b819b	벤케이		벤케이	坤追戚		6	[]	imported	
STG0073/ID00003/000022	stage	STG0073	ID00003	22	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	6eb46d39f0424258c326b4ce08fd032f390ca30733d3d4e98e7eff74c1e0e342	더구나 결전의 땅은 과학요새연구소다.		게다가 결전의 장소는,과학요새연구소다	惟陥亜　衣穿税　舌社澗，引俳推歯尻姥社陥		40	[]	imported	
STG0073/ID00003/000023	stage	STG0073	ID00003	23	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	7a06fb41337ccbdcf494fb34c4e6738e9258e59f3aea3b2820b9bf151aa549f5	올가미도 장치할 수 없어		함정도 설치할 수 없어	敗舛亀　竺帖拝　呪　蒸嬢		24	[]	imported	
STG0073/ID00003/000024	stage	STG0073	ID00003	24	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	갑아		코우지	坪酔走		6	[]	imported	
STG0073/ID00003/000025	stage	STG0073	ID00003	25	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0073/ID00003/000026	stage	STG0073	ID00003	26	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	9f0da37da6231fe1700a550ab895c7f8652c66f053955289a72595e74ad8e9f2	료마		료마	戟原		4	[]	imported	
STG0073/ID00003/000027	stage	STG0073	ID00003	27	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	080279b63488ede4cc48703db0039b5e0fecacef26656dd6316dbc3bd519e3d2	무슨 일이야, 갑아?		왜 그래,코우지?	訊　益掘，坪酔走？		18	[]	imported	
STG0073/ID00003/000028	stage	STG0073	ID00003	28	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	갑아		코우지	坪酔走		6	[]	imported	
STG0073/ID00003/000029	stage	STG0073	ID00003	29	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	52ac04b339ab47b9436a25a96c144e023bdbda55d19dc10c5aa03caa6a921296	잠깐 머리를 식히고 오겠습니다		잠시 머리를 식히고 오겠습니다	節獣　袴軒研　縦備壱　神畏柔艦陥		32	[]	imported	
STG0073/ID00003/000030	stage	STG0073	ID00003	30	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	210e50488eb2661d996411fe8ffa3d15b46526cd2d801178dff0073999bc5f31	키탄		키탄	徹添		4	[]	imported	
STG0073/ID00003/000031	stage	STG0073	ID00003	31	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	41fa648113d6fccd288b78871b38fbf70d7e37723ec78a9d829c5aa8af20e68a	저 녀석도 결전을 앞두고 긴장하고 있어?		그 녀석도 결전을 앞두고 긴장하는 건가?	益　橿汐亀　衣穿聖　蒋砧壱　延舌馬澗　闇亜？		44	[]	imported	
STG0073/ID00003/000032	stage	STG0073	ID00003	32	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	a9978b183ad0ac3242a3a623a947cacf87098bbffa38358256598d219df6e5a2	요코		요코	推坪		4	[]	imported	
STG0073/ID00003/000033	stage	STG0073	ID00003	33	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	ee73509ab658d76d57fe317a24c18b36f960f53fd81827a2b9d54870c5971cf2	그 느낌... 좀 아닌 것 같아		그 분위기… 좀 다른 것 같네	益　歳是奄…　岨　陥献　依　旭革		32	[]	imported	
STG0073/ID00003/000034	stage	STG0073	ID00003	34	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	ad9d3832188b8a00b3324e7c463e448c8a82663db911a622da8ae5ffcb8d1e14	보스		보스	左什		4	[]	imported	
STG0073/ID00003/000035	stage	STG0073	ID00003	35	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	4f870ff11fe0990ab6058ae7c1cf1835491c80fc4fe0e51f41f6700f0a4a7fec	갑아는 외로운 거야.		코우지는 쓸쓸한 거야	坪酔走澗　承承廃　暗醤		22	[]	imported	
STG0073/ID00003/000036	stage	STG0073	ID00003	36	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	67bef6e2b2fac80c29acd068bb619c1f9c5ee472cec1dd8fe2c76a63b07a4512	저 녀석에게 있어서, 아수라는		그 녀석에게 있어서,아슈라는	益　橿汐拭惟　赤嬢辞，焼輯虞澗		30	[]	imported	
STG0073/ID00003/000037	stage	STG0073	ID00003	37	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	50a9c8bdd40d5e754b51efc69cc9dbb5f1c309ac10cb033ac5a3bdd84b12b5d1	마징가에서의 싸움의 역사 그 자체니까		마징가에서의 싸움의 역사 그 자체니까	原臓亜拭辞税　塾崇税　蝕紫　益　切端艦猿		40	[]	imported	
STG0073/ID00003/000038	stage	STG0073	ID00003	38	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	ca4ad66aacc1de6d7a0a41f1fdd2af362c70d3c1d06360dacfbdc8c13e99f70a	빌라르		비랄	搾偶		4	[]	imported	
STG0073/ID00003/000039	stage	STG0073	ID00003	39	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	7fa374d111cb7bb17092c87f6a1ea12c019c7e00a73c382efa884ea2044afacd	그렇군요…		과연…	引尻…		6	[]	imported	
STG0073/ID00003/000040	stage	STG0073	ID00003	40	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	ad6c5eeb286eb796c887d53333a5c9976361b7d50d2a9869797dd21d94619c1b	그 기분, 알지도 못해...		그 마음,모르는 것도 아니지…	益　原製，乞牽澗　依亀　焼艦走…		32	[]	imported	
STG0073/ID00003/000041	stage	STG0073	ID00003	41	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	6d13935fae69e32c736ac42982c1026a87538a9f866f4a13b9321fd0af88842d	시몬		시몬	獣佼		4	[]	imported	
STG0073/ID00003/000042	stage	STG0073	ID00003	42	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	c3747d40d318f17e8a4002829200cf1d0b38131f5bf9d539900ee01d4124dd22	왜 그래, 빌라르?		왜 그래,비랄?	訊　益掘，搾偶？		16	[]	imported	
STG0073/ID00003/000043	stage	STG0073	ID00003	43	01_스테이지 xlsx 모음/STG0073(44화)-ID00003-script-통합.xlsx	e3b78d2c409ff548cf5742e3b75dc117651075cc560a0947c0b9c7e018337a2f	ca4ad66aacc1de6d7a0a41f1fdd2af362c70d3c1d06360dacfbdc8c13e99f70a	빌라르		비랄	搾偶		4	[]	imported	
