entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0231-16화후A분기/ID00003/000002	stage	STG0231-16화후A분기	ID00003	2	01_스테이지 xlsx 모음/STG0231(16화후A분기)-ID00003-script-통합.xlsx	26160783007d7375308b391293f2464d996b7dd5517e7557f72bb5036b3b788c	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0231-16화후A분기/ID00003/000003	stage	STG0231-16화후A분기	ID00003	3	01_스테이지 xlsx 모음/STG0231(16화후A분기)-ID00003-script-통합.xlsx	26160783007d7375308b391293f2464d996b7dd5517e7557f72bb5036b3b788c	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0231-16화후A분기/ID00003/000006	stage	STG0231-16화후A분기	ID00003	6	01_스테이지 xlsx 모음/STG0231(16화후A분기)-ID00003-script-통합.xlsx	26160783007d7375308b391293f2464d996b7dd5517e7557f72bb5036b3b788c	f8f79cfefa9e11706140035c0318ca52eac153121c751dc58da2ded78d29a199	　　　　　　　　　　～D트레이더～		　　　　　　　　　　～D트레이더～	　　　　　　　　　　～Ｄ闘傾戚希～		34	[]	imported	
STG0231-16화후A분기/ID00003/000007	stage	STG0231-16화후A분기	ID00003	7	01_스테이지 xlsx 모음/STG0231(16화후A분기)-ID00003-script-통합.xlsx	26160783007d7375308b391293f2464d996b7dd5517e7557f72bb5036b3b788c	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	AG		AG	ＡＧ		4	[]	imported	
STG0231-16화후A분기/ID00003/000008	stage	STG0231-16화후A분기	ID00003	8	01_스테이지 xlsx 모음/STG0231(16화후A분기)-ID00003-script-통합.xlsx	26160783007d7375308b391293f2464d996b7dd5517e7557f72bb5036b3b788c	2123058de5b7432b71a54874934e329dc5a5e35c74a8db380cf5ec864690a97b	자, 자, $n 님들은		자, 자, $n 님들은	切，　切，　$ｎ　還級精		24	"[""$n""]"	imported	
STG0231-16화후A분기/ID00003/000009	stage	STG0231-16화후A분기	ID00003	9	01_스테이지 xlsx 모음/STG0231(16화후A분기)-ID00003-script-통합.xlsx	26160783007d7375308b391293f2464d996b7dd5517e7557f72bb5036b3b788c	f5e55db0d335820921b9b80acf0f842ade838cfaa72f474c7f9da25cdc0f91e7	용무원 오오누키 님의 지시로 봉사활동을 한다는군요		오오누키 님의 지시로 봉사활동을 한다는군요	神神刊徹　還税　走獣稽　裟紫醗疑聖　廃陥澗浦推		46	[]	imported	
STG0231-16화후A분기/ID00003/000010	stage	STG0231-16화후A분기	ID00003	10	01_스테이지 xlsx 모음/STG0231(16화후A분기)-ID00003-script-통합.xlsx	26160783007d7375308b391293f2464d996b7dd5517e7557f72bb5036b3b788c	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	AG		AG	ＡＧ		4	[]	imported	
STG0231-16화후A분기/ID00003/000011	stage	STG0231-16화후A분기	ID00003	11	01_스테이지 xlsx 모음/STG0231(16화후A분기)-ID00003-script-통합.xlsx	26160783007d7375308b391293f2464d996b7dd5517e7557f72bb5036b3b788c	b3d62c5c7702baac4e85fb94c1140c2a82001be767d0eabc3b494884e5b93e57	그 오오누키 님이라는 분,		그 오오누키 님이라는 분,	益　神神刊徹　還戚虞澗　歳，		28	[]	imported	
STG0231-16화후A분기/ID00003/000012	stage	STG0231-16화후A분기	ID00003	12	01_스테이지 xlsx 모음/STG0231(16화후A분기)-ID00003-script-통합.xlsx	26160783007d7375308b391293f2464d996b7dd5517e7557f72bb5036b3b788c	90b9c44972fec91c981d6a7439d35065b0b60b254d65b6638d48b13f5f748da3	저의 판단으로는…		저의 판단으로는…	煽税　毒舘生稽澗…		18	[]	imported	
STG0231-16화후A분기/ID00003/000013	stage	STG0231-16화후A분기	ID00003	13	01_스테이지 xlsx 모음/STG0231(16화후A분기)-ID00003-script-통합.xlsx	26160783007d7375308b391293f2464d996b7dd5517e7557f72bb5036b3b788c	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	AG		AG	ＡＧ		4	[]	imported	
