entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0223-9화후C분기/ID00003/000002	stage	STG0223-9화후C분기	ID00003	2	01_스테이지 xlsx 모음/STG0223(9화후C분기)-ID00003-script-통합.xlsx	aa77a1d73e1af006801647ed10e9d622895c70955784fb0b666869b3493875dd	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n			$ｎ		4	"[""$n""]"	imported	
STG0223-9화후C분기/ID00003/000003	stage	STG0223-9화후C분기	ID00003	3	01_스테이지 xlsx 모음/STG0223(9화후C분기)-ID00003-script-통합.xlsx	aa77a1d73e1af006801647ed10e9d622895c70955784fb0b666869b3493875dd	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………			………		6	[]	imported	
STG0223-9화후C분기/ID00003/000006	stage	STG0223-9화후C분기	ID00003	6	01_스테이지 xlsx 모음/STG0223(9화후C분기)-ID00003-script-통합.xlsx	aa77a1d73e1af006801647ed10e9d622895c70955784fb0b666869b3493875dd	f8f79cfefa9e11706140035c0318ca52eac153121c751dc58da2ded78d29a199	　　　　　　　　　　~D 트레이더~			　　　　　　　　　　～Ｄ闘傾戚希～		34	[]	imported	
STG0223-9화후C분기/ID00003/000007	stage	STG0223-9화후C분기	ID00003	7	01_스테이지 xlsx 모음/STG0223(9화후C분기)-ID00003-script-통합.xlsx	aa77a1d73e1af006801647ed10e9d622895c70955784fb0b666869b3493875dd	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ			ＡＧ		4	[]	imported	
STG0223-9화후C분기/ID00003/000008	stage	STG0223-9화후C분기	ID00003	8	01_스테이지 xlsx 모음/STG0223(9화후C분기)-ID00003-script-통합.xlsx	aa77a1d73e1af006801647ed10e9d622895c70955784fb0b666869b3493875dd	6cfd263a2e2c4e314e116bc7ef0cfe405416fb1595f42fa4a77c043aa10525b2	들었어요, $n씨.			級醸嬢推，$ｎ還		16	"[""$n""]"	imported	
STG0223-9화후C분기/ID00003/000009	stage	STG0223-9화후C분기	ID00003	9	01_스테이지 xlsx 모음/STG0223(9화후C분기)-ID00003-script-통합.xlsx	aa77a1d73e1af006801647ed10e9d622895c70955784fb0b666869b3493875dd	fd6d675cd9779d29083d65d3decbcc1715699883aa0e75f3606e4a96a4578589	미스릴의 작전에 참가하신다면서요			耕什険税　拙穿拭　凧亜廃陥檎辞推		32	[]	imported	
STG0223-9화후C분기/ID00003/000010	stage	STG0223-9화후C분기	ID00003	10	01_스테이지 xlsx 모음/STG0223(9화후C분기)-ID00003-script-통합.xlsx	aa77a1d73e1af006801647ed10e9d622895c70955784fb0b666869b3493875dd	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n			$ｎ		4	"[""$n""]"	imported	
STG0223-9화후C분기/ID00003/000011	stage	STG0223-9화후C분기	ID00003	11	01_스테이지 xlsx 모음/STG0223(9화후C분기)-ID00003-script-통합.xlsx	aa77a1d73e1af006801647ed10e9d622895c70955784fb0b666869b3493875dd	83017950e58bfb6f2a36486c275421b8120cead0ea0665068262cf6d33a9a3b0	아아……			焼焼…		6	[]	imported	
STG0223-9화후C분기/ID00003/000012	stage	STG0223-9화후C분기	ID00003	12	01_스테이지 xlsx 모음/STG0223(9화후C분기)-ID00003-script-통합.xlsx	aa77a1d73e1af006801647ed10e9d622895c70955784fb0b666869b3493875dd	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ			ＡＧ		4	[]	imported	
STG0223-9화후C분기/ID00003/000013	stage	STG0223-9화후C분기	ID00003	13	01_스테이지 xlsx 모음/STG0223(9화후C분기)-ID00003-script-통합.xlsx	aa77a1d73e1af006801647ed10e9d622895c70955784fb0b666869b3493875dd	d3d0bde285b5fe3a3b872dc4ea8c44b74d41f4b1fedb20e1d30b1c0877b416d4	그러면 학교는 좀 쉬겠네요.			益係惟　鞠檎，俳嘘澗　岨　習畏革推		34	[]	imported	
