entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0003/ID00003/000002	stage	STG0003	ID00003	2	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n	$n	$n	$ｎ		4	"[""$n""]"	imported	
STG0003/ID00003/000003	stage	STG0003	ID00003	3	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	c51b7bec2458de093c9936ef085d42ee5cf405b6bd0216a84b4e168cf8418025	아버지! 언니! !	아버지! 누나!	아버지! 누나!	焼獄走！　刊蟹！！		18	[]	imported	
STG0003/ID00003/000004	stage	STG0003	ID00003	4	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n	$n	$n	$ｎ		4	"[""$n""]"	imported	
STG0003/ID00003/000005	stage	STG0003	ID00003	5	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	af44d43d1d6deb14c833cfa3083272256d8fa7198db9db6c5fe1f1ffbec21cef	으,우와 아 아 아 아! !	우,우와아아아아아아아아!!	우,우와아아아아아아아아!!	生　生焼焼焼焼焼焼焼焼！		24	[]	imported	
STG0003/ID00003/000008	stage	STG0003	ID00003	8	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	3ee204dc469760677fb730223cea4b69472bfac93bb76759fa929db9770630f3	～진대 고교 학생 기숙사 226호실～	　　　　　~진다이 고교 학생 기숙사 226호실~	　　　　　~진다이 고교 학생 기숙사 226호실~	　　　　　～遭陥戚　壱嘘　俳持　奄寿紫　２２６硲叔～		52	[]	imported	
STG0003/ID00003/000009	stage	STG0003	ID00003	9	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n	$n	$n	$ｎ		4	"[""$n""]"	imported	
STG0003/ID00003/000010	stage	STG0003	ID00003	10	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	41fa91dd7af96b2b0550866e59d8cc9e203ae26c64b4cada1a9b2e1b8269397d	! !	!!	!!	！！		4	[]	imported	
STG0003/ID00003/000011	stage	STG0003	ID00003	11	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n	$n	$n	$ｎ		4	"[""$n""]"	imported	
STG0003/ID00003/000012	stage	STG0003	ID00003	12	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	4656b2abfe1a0195b2a76dd462bb04b65df1b2c33691efece4bd751ffcfa73ed	… 또,그때의 꿈인가…	…또 그 때 꿈인가…	…또 그 때 꿈인가…	…暁　益凶　益　嘩昔亜…		24	[]	imported	
STG0003/ID00003/000013	stage	STG0003	ID00003	13	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n	$n	$n	$ｎ		4	"[""$n""]"	imported	
STG0003/ID00003/000014	stage	STG0003	ID00003	14	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	33407ecb2b2f058549c1455b2a60db8dbeaf7ad2393720fa215a5041ba8e42a2	…아버지,언니…	…아버지,누나…	…아버지,누나…	…焼獄走，刊蟹…		16	[]	imported	
STG0003/ID00003/000015	stage	STG0003	ID00003	15	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	b4586725592014184790c8890e80c5a4f4cd46f3ce2e07d23131c7e4f6e04dc2	나는………	나는…….	나는…….	蟹澗………		10	[]	imported	
STG0003/ID00003/000018	stage	STG0003	ID00003	18	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	f86d8de1a0550918f58ecc4850f162b3b0b04922322f3336aa726a053007e4e0	～진대 고교 여자 소프트볼 부부실～	　　　　　~진다이 고교 여자 소프트볼 부실~	　　　　　~진다이 고교 여자 소프트볼 부실~	　　　　　～遭陥戚　壱嘘　食切　社覗闘瑳採　採叔～		50	[]	imported	
STG0003/ID00003/000019	stage	STG0003	ID00003	19	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	5522eea27f7d2d12d5887c99d046be62e139b7e41d8a08fdd04c47ebb78d7856	카나메	카나메	카나메	朝蟹五		6	[]	imported	
STG0003/ID00003/000020	stage	STG0003	ID00003	20	01_스테이지 xlsx 모음/STG0003(3화)-ID00003-script-통합.xlsx	6e9a55bf9d0428b64ea51a1a9dc94d789c6e82635800bcce5461ad5fccc6c984	458e9803ea2d0d04fd98d1e1b499e917fa485d3b2d6e4e49128fc79407be4206	… 절대 헨이야,저녀석!	…진짜 이상해,걔! 	…진짜 이상해,걔! 	…箭企稽　戚雌背，煽　橿汐！		28	[]	imported	
