entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0272-45화후B분기/ID00003/000002	stage	STG0272-45화후B분기	ID00003	2	01_스테이지 xlsx 모음/STG0272(45화후B분기)-ID00003-script-통합.xlsx	589970c2af2c89da1b247085783eb0719f7a568e329ed739c0e37e33283d37bd	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0272-45화후B분기/ID00003/000003	stage	STG0272-45화후B분기	ID00003	3	01_스테이지 xlsx 모음/STG0272(45화후B분기)-ID00003-script-통합.xlsx	589970c2af2c89da1b247085783eb0719f7a568e329ed739c0e37e33283d37bd	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0272-45화후B분기/ID00003/000006	stage	STG0272-45화후B분기	ID00003	6	01_스테이지 xlsx 모음/STG0272(45화후B분기)-ID00003-script-통합.xlsx	589970c2af2c89da1b247085783eb0719f7a568e329ed739c0e37e33283d37bd	f8f79cfefa9e11706140035c0318ca52eac153121c751dc58da2ded78d29a199	　　　　　　　　　　~D 트레이더~		　　　　　　　　　　～D트레이더～	　　　　　　　　　　～Ｄ闘傾戚希～		34	[]	imported	
STG0272-45화후B분기/ID00003/000007	stage	STG0272-45화후B분기	ID00003	7	01_스테이지 xlsx 모음/STG0272(45화후B분기)-ID00003-script-통합.xlsx	589970c2af2c89da1b247085783eb0719f7a568e329ed739c0e37e33283d37bd	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0272-45화후B분기/ID00003/000008	stage	STG0272-45화후B분기	ID00003	8	01_스테이지 xlsx 모음/STG0272(45화후B분기)-ID00003-script-통합.xlsx	589970c2af2c89da1b247085783eb0719f7a568e329ed739c0e37e33283d37bd	b06e554b4d3d54cb78e350c2348beea492271b5199acb7546ad3b5bbdaf5bec8	자, 나도 일본에 남게 되었고,		자,저도 일본에 남게 되었으니,	切，煽亀　析沙拭　害惟　鞠醸生艦，		34	[]	imported	
STG0272-45화후B분기/ID00003/000009	stage	STG0272-45화후B분기	ID00003	9	01_스테이지 xlsx 모음/STG0272(45화후B분기)-ID00003-script-통합.xlsx	589970c2af2c89da1b247085783eb0719f7a568e329ed739c0e37e33283d37bd	856048c94dd5a9e78f5c4195cc43e65521eeec8e10e500d750a76092d9e4549a	조금은 느긋할 수 있을 것 같습니다		좀 여유롭게 지낼 수 있을 것 같네요	岨　食政罫惟　走馨　呪　赤聖　依　旭革推		40	[]	imported	
STG0272-45화후B분기/ID00003/000010	stage	STG0272-45화후B분기	ID00003	10	01_스테이지 xlsx 모음/STG0272(45화후B분기)-ID00003-script-통합.xlsx	589970c2af2c89da1b247085783eb0719f7a568e329ed739c0e37e33283d37bd	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0272-45화후B분기/ID00003/000011	stage	STG0272-45화후B분기	ID00003	11	01_스테이지 xlsx 모음/STG0272(45화후B분기)-ID00003-script-통합.xlsx	589970c2af2c89da1b247085783eb0719f7a568e329ed739c0e37e33283d37bd	c6c1c9fbf0a38bd4693b56b8dc52f9f20281ae0a0b362f6523d328ab83051405	하기야 사태는, 그런 여유를 부릴 수 있을 것 같지는 않아		물론 사태는,그렇게 느긋하게 있을 수 있는	弘経　紫殿澗，益係惟　汗円馬惟　赤聖　呪　赤澗		46	[]	imported	
STG0272-45화후B분기/ID00003/000012	stage	STG0272-45화후B분기	ID00003	12	01_스테이지 xlsx 모음/STG0272(45화후B분기)-ID00003-script-통합.xlsx	589970c2af2c89da1b247085783eb0719f7a568e329ed739c0e37e33283d37bd	86b696ef7cc765c43919c07d8da1645dd94c24c57dce8e9fd81972bcd1d495e4	없는데...		상황이 아니지만…	雌伐戚　焼艦走幻…		18	[]	imported	
STG0272-45화후B분기/ID00003/000013	stage	STG0272-45화후B분기	ID00003	13	01_스테이지 xlsx 모음/STG0272(45화후B분기)-ID00003-script-통합.xlsx	589970c2af2c89da1b247085783eb0719f7a568e329ed739c0e37e33283d37bd	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0272-45화후B분기/ID00003/000014	stage	STG0272-45화후B분기	ID00003	14	01_스테이지 xlsx 모음/STG0272(45화후B분기)-ID00003-script-통합.xlsx	589970c2af2c89da1b247085783eb0719f7a568e329ed739c0e37e33283d37bd	43f0cee9c0fa285eedcf9b2d3b2efa857da7f79a2f14850afb259bf9ee875080	하지만 나는, 이것 하나!		하지만 저는,이것 하나!	馬走幻　煽澗，戚依　馬蟹！		26	[]	imported	
STG0272-45화후B분기/ID00003/000015	stage	STG0272-45화후B분기	ID00003	15	01_스테이지 xlsx 모음/STG0272(45화후B분기)-ID00003-script-통합.xlsx	589970c2af2c89da1b247085783eb0719f7a568e329ed739c0e37e33283d37bd	06a64aa4b35d8234e8e14ed09c5824e1b21226dd824e493f893f4293243954be	오늘도 파이팅... 장사, 장사!		오늘도 힘내서…장사,장사!	神潅亀　毘鎧辞…舌紫，舌紫！		28	[]	imported	
