entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0319/ID00003/000004	dlc	DLC0319	ID00003	4	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	ff15b5fc1bb992b45c49266198bf50f33ff7b60a1db234c29898512de293ed98	~마크로스 쿼터 격납고~		　　　　　　～마크로스・쿼터 격납고～	　　　　　　～原滴稽什・汀斗　維崖壱～		38	[]	imported	
DLC0319/ID00003/000005	dlc	DLC0319	ID00003	5	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	ffcb16ddb06f2d28280d96b46848a45a3f88edc84b30007dd57facc6aca65c4e	카렌		카렌	朝兄		4	[]	imported	
DLC0319/ID00003/000006	dlc	DLC0319	ID00003	6	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	9e0ae34bb364acd926d7cd570bdef1b6db6c147db569b50f64c86a7f1746f386	제로...		제로…	薦稽…		6	[]	imported	
DLC0319/ID00003/000007	dlc	DLC0319	ID00003	7	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	32778b29fea58065310a90200d4724635cfcb412a39c0e13877cd9f349b18b42	제로		제로	薦稽		4	[]	imported	
DLC0319/ID00003/000008	dlc	DLC0319	ID00003	8	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	602fd0d657c5b6d66f176939b803688659031943ad46a6cd02da263dd5084e9b	뭐야?		무슨 일이지?	巷充　析戚走？		14	[]	imported	
DLC0319/ID00003/000009	dlc	DLC0319	ID00003	9	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	ffcb16ddb06f2d28280d96b46848a45a3f88edc84b30007dd57facc6aca65c4e	카렌		카렌	朝兄		4	[]	imported	
DLC0319/ID00003/000010	dlc	DLC0319	ID00003	10	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	97f4f9b9595e8527122c953106a0b1a4bbba5bb6596fff107353d5e2f17b6d51	$c에 있을 때 정도로,		C.C.와 함께 있을 때 정도는	Ｃ．Ｃ．人　敗臆　赤聖　凶　舛亀澗		34	"[""$c""]"	imported	
DLC0319/ID00003/000011	dlc	DLC0319	ID00003	11	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	28bd70ce791e327c7f0c369aff90061dcc99b2b28edcd46b7b809452aa4eff13	가면... 따면 되는데...		가면… 벗으면 좋을 텐데…	亜檎…　込生檎　疏聖　度汽…		28	[]	imported	
DLC0319/ID00003/000012	dlc	DLC0319	ID00003	12	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	32778b29fea58065310a90200d4724635cfcb412a39c0e13877cd9f349b18b42	제로		제로	薦稽		4	[]	imported	
DLC0319/ID00003/000013	dlc	DLC0319	ID00003	13	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
DLC0319/ID00003/000014	dlc	DLC0319	ID00003	14	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	206482116d602f5ed13e349082ae877e00407e97772c4537c4a501a95841bd8a	Ｃ．Ｃ．.		C.C.	Ｃ．Ｃ．		8	[]	imported	
DLC0319/ID00003/000015	dlc	DLC0319	ID00003	15	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	da6dd19de8ecd5def84b3d5e3868dc2ead3f31e8cec769f89a74f1697c4bce49	이 남자는 정체를 들킬까봐 두려워하고 있어		이 남자는 정체가 들키는 걸 두려워하고 있어	戚　害切澗　舛端亜　級徹澗　杏　砧形趨馬壱　赤嬢		48	[]	imported	
DLC0319/ID00003/000016	dlc	DLC0319	ID00003	16	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	ffcb16ddb06f2d28280d96b46848a45a3f88edc84b30007dd57facc6aca65c4e	카렌		카렌	朝兄		4	[]	imported	
DLC0319/ID00003/000017	dlc	DLC0319	ID00003	17	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	fbdec48589668117764202fb8ee15685916718c313ffab321d1ea390872e74fb	부대의 대부분의 사람들이 룰루슈(ルルーシュの事)를 알고 있는데?		부대의 대부분이 를르슈인 걸 알고 있는데도?	採企税　企採歳戚　研牽輯昔　杏　硝壱　赤澗汽亀？		48	[]	imported	
DLC0319/ID00003/000018	dlc	DLC0319	ID00003	18	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	206482116d602f5ed13e349082ae877e00407e97772c4537c4a501a95841bd8a	Ｃ．Ｃ．.		C.C.	Ｃ．Ｃ．		8	[]	imported	
DLC0319/ID00003/000019	dlc	DLC0319	ID00003	19	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	06fb36e26c71400ddd88519da236ea516c51e39d2ecc434298a29951f156263c	그런 뜻이 아니야.		그런 의미가 아니야	益訓　税耕亜　焼艦醤		20	[]	imported	
DLC0319/ID00003/000020	dlc	DLC0319	ID00003	20	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	51478b8d048e7591fe2fcf24bee8f849ce28b72516228dd261ec1918354dade2	가면을 쓰고 있으면 천한 웃음이나 사악한 미소가		가면을 쓰고 있으면,천박한 웃음이나 사악한	亜檎聖　床壱　赤生檎，探酵廃　数製戚蟹　紫焦廃		46	[]	imported	
DLC0319/ID00003/000021	dlc	DLC0319	ID00003	21	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	71a6da43fd72501dffef7daaa3b965186a74b5041561671eb3a5dd9e50d0217c	밖에 새는 일이 없으니까		미소가 밖으로 새어 나가지 않으니까	耕社亜　鉱生稽　歯嬢　蟹亜走　省生艦猿		38	[]	imported	
DLC0319/ID00003/000022	dlc	DLC0319	ID00003	22	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	38d8640b68c41218f92f25137d3c72b98eb1fcf7350950f9aae1fe5f4108eea2	스자크		스자크	什切滴		6	[]	imported	
DLC0319/ID00003/000023	dlc	DLC0319	ID00003	23	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	7de3e0628c1ca11ca388a0061ac35759755ff6bf0777316976a9395df1df906d	가면 밑에서는 꽤나 내버려 두었군		가면 아래서는 꽤 밝은 모양이네	亜檎　焼掘辞澗　河　項精　乞丞戚革		34	[]	imported	
DLC0319/ID00003/000024	dlc	DLC0319	ID00003	24	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	32778b29fea58065310a90200d4724635cfcb412a39c0e13877cd9f349b18b42	제로		제로	薦稽		4	[]	imported	
DLC0319/ID00003/000025	dlc	DLC0319	ID00003	25	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	02017b386d1125b4e7b0b2368fab9be4093d0e3b06d51ced2129f3e8669643c5	이 여자의 말을 진정으로 받지 마라…!		이 여자 말을 믿지 마…！	戚　食切　源聖　肱走　原…！		28	[]	imported	
DLC0319/ID00003/000026	dlc	DLC0319	ID00003	26	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	206482116d602f5ed13e349082ae877e00407e97772c4537c4a501a95841bd8a	Ｃ．Ｃ．.		C.C.	Ｃ．Ｃ．		8	[]	imported	
DLC0319/ID00003/000027	dlc	DLC0319	ID00003	27	!DLC/DLC0319_cpk/DLC0319(DLC-19)-ID00003-script-통합.xlsx	2db3085b33af2ac535281691f58ee3840276fcf905ec0bd10041e5e7307c20f9	1dc9cb7f85207101615f013da3d51d06e3308cd62979640b4faf0273dfc1e69e	덧붙여서 지금의 대사도 노기를 담고 있는 것 같지만,		참고로 지금 대사도 분노를 담고 있지만	凧壱稽　走榎　企紫亀　歳葛研　眼壱　赤走幻		42	[]	imported	
