entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0322/ID00003/000004	dlc	DLC0322	ID00003	4	!DLC/DLC0322_cpk/DLC0322(DLC-22)-ID00003-script-통합.xlsx	882f3266afc1e9c90ef025498b7f146a2a34e0e64456e566bcd5c27f4f4ecdb8	6401e6e87b06e20e388eb95b53e2b2e45213918a0ccf6dafd728577324e12a15	~투아하 데 다낭 격납고~		　　　　　～투아하・데・다난　격납고～	　　　　　～燈焼馬・汽・陥貝　維崖壱～		38	[]	imported	
DLC0322/ID00003/000005	dlc	DLC0322	ID00003	5	!DLC/DLC0322_cpk/DLC0322(DLC-22)-ID00003-script-통합.xlsx	882f3266afc1e9c90ef025498b7f146a2a34e0e64456e566bcd5c27f4f4ecdb8	6f42d8c360d18f29d6f3eb31b4566d00027dcf6d3990efd479a16ce8c1f811ed	소스케		소스케	社什追		6	[]	imported	
DLC0322/ID00003/000006	dlc	DLC0322	ID00003	6	!DLC/DLC0322_cpk/DLC0322(DLC-22)-ID00003-script-통합.xlsx	882f3266afc1e9c90ef025498b7f146a2a34e0e64456e566bcd5c27f4f4ecdb8	7574d10e5e17c1542b2f65dc159c44479212ec636ba393c93e912f46a86733c4	그런데 놀랐어요.		하지만 놀랐습니다	馬走幻　且串柔艦陥		18	[]	imported	
DLC0322/ID00003/000007	dlc	DLC0322	ID00003	7	!DLC/DLC0322_cpk/DLC0322(DLC-22)-ID00003-script-통합.xlsx	882f3266afc1e9c90ef025498b7f146a2a34e0e64456e566bcd5c27f4f4ecdb8	086109bf4860b73a453ad2481680a03085356d2a281ac9b698d7259036702ab6	설마, 투아허 데 다낭이 항주함에		설마 투아하・데・다난이 항주함으로	竺原　燈焼馬・汽・陥貝戚　牌爽敗生稽		36	[]	imported	
DLC0322/ID00003/000008	dlc	DLC0322	ID00003	8	!DLC/DLC0322_cpk/DLC0322(DLC-22)-ID00003-script-통합.xlsx	882f3266afc1e9c90ef025498b7f146a2a34e0e64456e566bcd5c27f4f4ecdb8	d08903242d346d7e153e7b2a35f872f20cd39eaaff43b4889e9747b77a8d8ecc	개조되어 있었다니…		개조되어 있었다니…	鯵繕鞠嬢　赤醸陥艦…		20	[]	imported	
DLC0322/ID00003/000009	dlc	DLC0322	ID00003	9	!DLC/DLC0322_cpk/DLC0322(DLC-22)-ID00003-script-통합.xlsx	882f3266afc1e9c90ef025498b7f146a2a34e0e64456e566bcd5c27f4f4ecdb8	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
DLC0322/ID00003/000010	dlc	DLC0322	ID00003	10	!DLC/DLC0322_cpk/DLC0322(DLC-22)-ID00003-script-통합.xlsx	882f3266afc1e9c90ef025498b7f146a2a34e0e64456e566bcd5c27f4f4ecdb8	2f99fd0dba1f4ebb1f6585645d5e0f0bb068d78aa3ec09fb1ed72d6c3fb199f1	서둘러 정리한 새 단장이므로,		급하게 개조했기 때문에	厭馬惟　鯵繕梅奄　凶庚拭		24	[]	imported	
DLC0322/ID00003/000011	dlc	DLC0322	ID00003	11	!DLC/DLC0322_cpk/DLC0322(DLC-22)-ID00003-script-통합.xlsx	882f3266afc1e9c90ef025498b7f146a2a34e0e64456e566bcd5c27f4f4ecdb8	726648e2137367450e89ae8bb4e9d500d39b50c3e0b03eecb855ef6e971be29e	제2우주속도를 내기가 벅차서,		제2 우주 속도를 내는 것이 고작이고	薦２　酔爽　紗亀研　鎧澗　依戚　壱拙戚壱		40	[]	imported	
DLC0322/ID00003/000012	dlc	DLC0322	ID00003	12	!DLC/DLC0322_cpk/DLC0322(DLC-22)-ID00003-script-통합.xlsx	882f3266afc1e9c90ef025498b7f146a2a34e0e64456e566bcd5c27f4f4ecdb8	57e4f0d5f3b369f3a95b874d5ddc9e080e46faf6f6e34fd6c8c172b089745771	대기권 내의 항행은 불가능하지만요		대기권 내 항행은 불가능합니다만	企奄映　鎧　牌楳精　災亜管杯艦陥幻		34	[]	imported	
DLC0322/ID00003/000013	dlc	DLC0322	ID00003	13	!DLC/DLC0322_cpk/DLC0322(DLC-22)-ID00003-script-통합.xlsx	882f3266afc1e9c90ef025498b7f146a2a34e0e64456e566bcd5c27f4f4ecdb8	5522eea27f7d2d12d5887c99d046be62e139b7e41d8a08fdd04c47ebb78d7856	카나메		카나메	朝蟹五		6	[]	imported	
