entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0260-41화후분기/ID00003/000004	stage	STG0260-41화후분기	ID00003	4	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	994731060e576837811125a220484b339e473cffd3c58264f91893c9cbaafa54	~미스릴 서태평양전대본부 고관용 집무실~		　～미스릴 서태평양 전대 본부 고관용 집무실～	　～耕什険　辞殿汝丞　穿企　沙採　壱淫遂　増巷叔～		50	[]	imported	
STG0260-41화후분기/ID00003/000005	stage	STG0260-41화후분기	ID00003	5	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
STG0260-41화후분기/ID00003/000006	stage	STG0260-41화후분기	ID00003	6	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	330d767e4c9a10789c2528194b7874e42b925eb52eb1aae287b2254671b70157	특이점…		…특이점…	…働戚繊…		10	[]	imported	
STG0260-41화후분기/ID00003/000007	stage	STG0260-41화후분기	ID00003	7	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	b1911efa09d3b7e1c3af0bbaf5b5bc1df198bc863efab4bf999df04acb76c797	그것을 발견할 수 있다면 시간의 감옥을 뚫을 수 있는 방법이		그것이 발견되면 시간의 감옥을 부수는 수단이	益依戚　降胃鞠檎　獣娃税　姶秦聖　採呪澗　呪舘戚		48	[]	imported	
STG0260-41화후분기/ID00003/000008	stage	STG0260-41화후분기	ID00003	8	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	92bb430614ce244653f3c81e37671e1f85f2ee621553a050297b5248755fe934	발견되는군요		발견되는 거군요	降胃鞠澗　暗浦推		16	[]	imported	
STG0260-41화후분기/ID00003/000009	stage	STG0260-41화후분기	ID00003	9	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레디	傾巨		4	[]	imported	
STG0260-41화후분기/ID00003/000010	stage	STG0260-41화후분기	ID00003	10	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	a876c907580c50cdf0059deb96da1b98ebfd8152417b673036c750de35cbd157	정확히는 신세시공 진동에 의해 탄생한 지금의 세계를		정확히는 신세시공진동으로 탄생한 지금의 세계를	舛溌備澗　重室獣因遭疑生稽　添持廃　走榎税　室域研		50	[]	imported	
STG0260-41화후분기/ID00003/000011	stage	STG0260-41화후분기	ID00003	11	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	92d88d3ac4a8e1967c2986468984492bb964347f37a6b59f2d1e9c7991b36486	수복하게 된다던데		복구한다는 것이 되겠지만	差姥廃陥澗　依戚　鞠畏走幻		26	[]	imported	
STG0260-41화후분기/ID00003/000012	stage	STG0260-41화후분기	ID00003	12	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레디	傾巨		4	[]	imported	
STG0260-41화후분기/ID00003/000013	stage	STG0260-41화후분기	ID00003	13	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	e67e793f489d3022c2a09cf4bfeec58c83dcc25c00b27a09b0c0356e8e0de1a2	이제 곧 $c는 지상으로 강하한다.		곧 $c는 지상에 강하합니다	稲　$ｃ澗　走雌拭　悪馬杯艦陥		30	"[""$c""]"	imported	
STG0260-41화후분기/ID00003/000014	stage	STG0260-41화후분기	ID00003	14	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	08a5c2ed5d1cce1652553b2420941a0b891abdda8869c54c5cb04c24cbe1d25e	보급과 정비가 있으므로 우선 연방군 극동지부에		보급과 정비가 있으므로 우선 연방군 극동지부로	左厭引　舛搾亜　赤生糠稽　酔識　尻号浦　駅疑走採稽		50	[]	imported	
STG0260-41화후분기/ID00003/000015	stage	STG0260-41화후분기	ID00003	15	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	f5f2543243d001dca0431184f1318a3d860642690eaf8ebb7621e6ad73b76c68	향하게 될 것이다		향하게 될 겁니다	狽馬惟　吃　位艦陥		18	[]	imported	
STG0260-41화후분기/ID00003/000016	stage	STG0260-41화후분기	ID00003	16	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
STG0260-41화후분기/ID00003/000017	stage	STG0260-41화후분기	ID00003	17	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	1d861321ca611bd9c8853d386268be6ca79a06dc4a5e23d75f1a5de0d4056270	뭔가 특이점 수색의 단서가 될 만한 것은		특이점 수색의 단서가 될 만한 것은	働戚繊　呪事税　舘辞亜　吃　幻廃　依精		38	[]	imported	
STG0260-41화후분기/ID00003/000018	stage	STG0260-41화후분기	ID00003	18	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	9b2091dbe6aa0083f2912fb491b0b85f921bd7c66fc383fb4d0530690f9bcea4	있어요?		있는 건가요？	赤澗　闇亜推？		14	[]	imported	
STG0260-41화후분기/ID00003/000019	stage	STG0260-41화후분기	ID00003	19	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레디	傾巨		4	[]	imported	
STG0260-41화후분기/ID00003/000020	stage	STG0260-41화후분기	ID00003	20	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	981c2aa6d9357202e1b5b51f0395eabc1f0df5baed399d1ef598674fee48b8f6	트라이아 박사의 말로는,		트라이아 박사의 말로는	闘虞戚焼　酵紫税　源稽澗		24	[]	imported	
STG0260-41화후분기/ID00003/000021	stage	STG0260-41화후분기	ID00003	21	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	aaaf978f96558a1419a885a2fabbf80291292f6782948904c0085869f43dbfbb	세계의 분기에 관련된 물건이나 장소, 사람이야말로		세계의 분기점에 관여했던 물건이나 장소,사람이	室域税　歳奄繊拭　淫食梅揮　弘闇戚蟹　舌社，紫寓戚		50	[]	imported	
STG0260-41화후분기/ID00003/000022	stage	STG0260-41화후분기	ID00003	22	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	3222b57df18647d02f289be69d0d9127d4a89a46e2d2655bd2f26d30d2883407	특이점이라더니…		특이점이라고 했지만…	働戚繊戚虞壱　梅走幻…		22	[]	imported	
STG0260-41화후분기/ID00003/000023	stage	STG0260-41화후분기	ID00003	23	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
STG0260-41화후분기/ID00003/000024	stage	STG0260-41화후분기	ID00003	24	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	cb43891a0220566ae29bd13335cd29d825c506ddf072c1bfc8518f4d9cc2ed75	세계의 명운을 쥐고 있는 것…		세계의 운명을 쥐고 있는 것…	室域税　錘誤聖　巣壱　赤澗　依…		32	[]	imported	
STG0260-41화후분기/ID00003/000025	stage	STG0260-41화후분기	ID00003	25	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	36e20c0eb4720cc737832bf5eb47aa8a46ac2f857926a1c2642e75b78495fe74	마치 $c군요		마치 $c같네요	原帖　$ｃ旭革推		16	"[""$c""]"	imported	
STG0260-41화후분기/ID00003/000026	stage	STG0260-41화후분기	ID00003	26	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	431f7b1dcd5e98ba8bb292237fcb5479e0ff15aeb6844a3332b04894bab2a667	레디		레디	傾巨		4	[]	imported	
STG0260-41화후분기/ID00003/000027	stage	STG0260-41화후분기	ID00003	27	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	0245516cbc2dd76c5c2911125980ef9c3e6cef5470d20ebdfe6ed17a1ce1f9df	확실히 그래.		확실히	溌叔備		6	[]	imported	
STG0260-41화후분기/ID00003/000028	stage	STG0260-41화후분기	ID00003	28	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	db58f6d4faa466acc64e28c68680c85b234424792adb82d2d5b24b8c7e55b652	그들의 전신인 ZEUTH나 ZEXIS는		그들의 전신인 ZEUTH나 ZEXIS는	益級税　穿重昔　ＺＥＵＴＨ蟹　ＺＥＸＩＳ澗		42	[]	imported	
STG0260-41화후분기/ID00003/000029	stage	STG0260-41화후분기	ID00003	29	01_스테이지 xlsx 모음/STG0260(41화후분기)-ID00003-script-통합.xlsx	c2627b49e766a8aa6850bf7aaa551e2e36ee2796af2e57316a20a3faa9aa512d	ee9a7836c9b7b017145cc551d45fc39da331125a808c92a3c748d5ec5b91731f	세계의 위기를 구해 온…		세계의 위기를 구해왔지…	室域税　是奄研　姥背尽走…		26	[]	imported	
