entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0045/ID00003/000002	stage	STG0045	ID00003	2	01_스테이지 xlsx 모음/STG0045(27화B)-ID00003-script-통합.xlsx	c151c0078af4b06baf2a97936bc0d31d0bf2e48bfaa1b41f82edba9471adb776	e230d17a87b83877ad8464de30ef9d38ee47ef0047d3e90483569494f8eb373c	바사라		바사라	郊紫虞		6	[]	imported	
STG0045/ID00003/000003	stage	STG0045	ID00003	3	01_스테이지 xlsx 모음/STG0045(27화B)-ID00003-script-통합.xlsx	c151c0078af4b06baf2a97936bc0d31d0bf2e48bfaa1b41f82edba9471adb776	77d9721eb295d763d3ccff771390aacb5805a0354e751b3a06a8e5ef421810cb	후...		후우…	板酔…		6	[]	imported	
STG0045/ID00003/000004	stage	STG0045	ID00003	4	01_스테이지 xlsx 모음/STG0045(27화B)-ID00003-script-통합.xlsx	c151c0078af4b06baf2a97936bc0d31d0bf2e48bfaa1b41f82edba9471adb776	5f85a7dfcca87cd4668c7000e0d11ce77dc2924916955d0a6e4de6ea07f3e7b8	카오루		카오루	朝神欠		6	[]	imported	
STG0045/ID00003/000005	stage	STG0045	ID00003	5	01_스테이지 xlsx 모음/STG0045(27화B)-ID00003-script-통합.xlsx	c151c0078af4b06baf2a97936bc0d31d0bf2e48bfaa1b41f82edba9471adb776	b913857c2504e1498a420a11d97a6c396aa8e93cc24dff72fa83fb8007fc375d	여전히, 좋은 노래야		여전히 좋은 노래네	食穿備　疏精　葛掘革		20	[]	imported	
STG0045/ID00003/000006	stage	STG0045	ID00003	6	01_스테이지 xlsx 모음/STG0045(27화B)-ID00003-script-통합.xlsx	c151c0078af4b06baf2a97936bc0d31d0bf2e48bfaa1b41f82edba9471adb776	e230d17a87b83877ad8464de30ef9d38ee47ef0047d3e90483569494f8eb373c	바사라		바사라	郊紫虞		6	[]	imported	
STG0045/ID00003/000007	stage	STG0045	ID00003	7	01_스테이지 xlsx 모음/STG0045(27화B)-ID00003-script-통합.xlsx	c151c0078af4b06baf2a97936bc0d31d0bf2e48bfaa1b41f82edba9471adb776	a99ad521a4d69411f36f2f9a8c5d63bff00f946a384e002ca5de1d9aee51a322	고마워요		고맙군	壱舷浦		6	[]	imported	
STG0045/ID00003/000008	stage	STG0045	ID00003	8	01_스테이지 xlsx 모음/STG0045(27화B)-ID00003-script-통합.xlsx	c151c0078af4b06baf2a97936bc0d31d0bf2e48bfaa1b41f82edba9471adb776	5f85a7dfcca87cd4668c7000e0d11ce77dc2924916955d0a6e4de6ea07f3e7b8	카오루		카오루	朝神欠		6	[]	imported	
STG0045/ID00003/000009	stage	STG0045	ID00003	9	01_스테이지 xlsx 모음/STG0045(27화B)-ID00003-script-통합.xlsx	c151c0078af4b06baf2a97936bc0d31d0bf2e48bfaa1b41f82edba9471adb776	dac06692de34aef2a1103379d624069736083ce0a565b725467b2ff29b6c9715	너의 노래를 들려주길 바라는 사람이 있어...		자네 노래를 들려주고 싶은 사람이 있어…	切革　葛掘研　級形爽壱　粛精　紫寓戚　赤嬢…		44	[]	imported	
STG0045/ID00003/000010	stage	STG0045	ID00003	10	01_스테이지 xlsx 모음/STG0045(27화B)-ID00003-script-통합.xlsx	c151c0078af4b06baf2a97936bc0d31d0bf2e48bfaa1b41f82edba9471adb776	b7d7ce97928e5d64e3e35c59bf19f058608d5c253fbcf533df18e01309ce911b	괜찮을까?		괜찮겠나？	右諾畏蟹？		10	[]	imported	
STG0045/ID00003/000011	stage	STG0045	ID00003	11	01_스테이지 xlsx 모음/STG0045(27화B)-ID00003-script-통합.xlsx	c151c0078af4b06baf2a97936bc0d31d0bf2e48bfaa1b41f82edba9471adb776	e230d17a87b83877ad8464de30ef9d38ee47ef0047d3e90483569494f8eb373c	바사라		바사라	郊紫虞		6	[]	imported	
STG0045/ID00003/000012	stage	STG0045	ID00003	12	01_스테이지 xlsx 모음/STG0045(27화B)-ID00003-script-통합.xlsx	c151c0078af4b06baf2a97936bc0d31d0bf2e48bfaa1b41f82edba9471adb776	d4cadcd9ca99c26aa148b1c5e96d967b3e70f90d8188a299c5a9254cf3cb5d8c	걔는 어디 있어?		그 사람은 어디 있지？	益　紫寓精　嬢巨　赤走？		24	[]	imported	
