entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0029/ID00003/000004	stage	STG0029	ID00003	4	01_스테이지 xlsx 모음/STG0029(17화B)-ID00003-script-통합.xlsx	7faecf46682ad3ae383f3ca847a1d805dde105263fac8e37317cbad08c8fbd08	39adb489d0bbdead255223c06ad3539107d89b1371fb82cfd7bee9e51bd4be96	~네엘 아가마 격납고~		　　　　　　　～넬・아가마 격납고～	　　　　　　　～楽・焼亜原　維崖壱～		36	[]	imported	
STG0029/ID00003/000005	stage	STG0029	ID00003	5	01_스테이지 xlsx 모음/STG0029(17화B)-ID00003-script-통합.xlsx	7faecf46682ad3ae383f3ca847a1d805dde105263fac8e37317cbad08c8fbd08	275b5717c58f3061ea774b405d1571941f6d20bda75c70114599ed18ce1b66c1	오드리		오드리	神球軒		6	[]	imported	
STG0029/ID00003/000006	stage	STG0029	ID00003	6	01_스테이지 xlsx 모음/STG0029(17화B)-ID00003-script-통합.xlsx	7faecf46682ad3ae383f3ca847a1d805dde105263fac8e37317cbad08c8fbd08	5b22c2459d4c3c6b45d50a16c0b9692b99b75d0fd26cef6d5210770b72eaa938	(이 함을 탄지 벌써 한달이 다 되어간다...)		(이 함에 타고,벌써 한 달 가까이 되네…)	（戚　敗拭　展壱，忽潤　廃　含　亜猿戚　鞠革…）		48	[]	imported	
STG0029/ID00003/000007	stage	STG0029	ID00003	7	01_스테이지 xlsx 모음/STG0029(17화B)-ID00003-script-통합.xlsx	7faecf46682ad3ae383f3ca847a1d805dde105263fac8e37317cbad08c8fbd08	275b5717c58f3061ea774b405d1571941f6d20bda75c70114599ed18ce1b66c1	오드리		오드리	神球軒		6	[]	imported	
STG0029/ID00003/000008	stage	STG0029	ID00003	8	01_스테이지 xlsx 모음/STG0029(17화B)-ID00003-script-통합.xlsx	7faecf46682ad3ae383f3ca847a1d805dde105263fac8e37317cbad08c8fbd08	8a64fcb732503105cc4f73379657a81925436aad701fffadbadfe5a32cbf687d	(네오 지온에 움직임은 볼 수 없지만,		(네오・지온에 움직임은 보이지 않지만,	（革神・走紳拭　崇送績精　左戚走　省走幻，		42	[]	imported	
STG0029/ID00003/000009	stage	STG0029	ID00003	9	01_스테이지 xlsx 모음/STG0029(17화B)-ID00003-script-통합.xlsx	7faecf46682ad3ae383f3ca847a1d805dde105263fac8e37317cbad08c8fbd08	b85ed7d59f14fc8396b2965b3a51ed905d09914589f7c3351d1c48f418a42d2a	내가 실종된 일로 혼란이 일어나고 있는 것일까...)		내가 실종된 것으로 혼란이 일어나고 있는 걸까)	鎧亜　叔曽吉　依生稽　肇空戚　析嬢蟹壱　赤澗　杏猿）		52	[]	imported	
STG0029/ID00003/000010	stage	STG0029	ID00003	10	01_스테이지 xlsx 모음/STG0029(17화B)-ID00003-script-통합.xlsx	7faecf46682ad3ae383f3ca847a1d805dde105263fac8e37317cbad08c8fbd08	275b5717c58f3061ea774b405d1571941f6d20bda75c70114599ed18ce1b66c1	오드리		오드리	神球軒		6	[]	imported	
STG0029/ID00003/000011	stage	STG0029	ID00003	11	01_스테이지 xlsx 모음/STG0029(17화B)-ID00003-script-통합.xlsx	7faecf46682ad3ae383f3ca847a1d805dde105263fac8e37317cbad08c8fbd08	421f2d167483b1e7e788f5eb572d9470732dc8f22a551b9264b2b56fcdea70f9	(그리고, 나는... 여기서 무엇을 할 것인가...)		(그리고,나는…여기서 무엇을 할 생각인가…)	（益軒壱，蟹澗…食奄辞　巷譲聖　拝　持唖昔亜…）		48	[]	imported	
STG0029/ID00003/000012	stage	STG0029	ID00003	12	01_스테이지 xlsx 모음/STG0029(17화B)-ID00003-script-통합.xlsx	7faecf46682ad3ae383f3ca847a1d805dde105263fac8e37317cbad08c8fbd08	b36cd8018c110f113a367f9d832d2b74705bd2e47d755b38ef810a92c5bbbe07	배너지		버나지	獄蟹走		6	[]	imported	
STG0029/ID00003/000013	stage	STG0029	ID00003	13	01_스테이지 xlsx 모음/STG0029(17화B)-ID00003-script-통합.xlsx	7faecf46682ad3ae383f3ca847a1d805dde105263fac8e37317cbad08c8fbd08	49ff5d8b1162e926d0e76ebb3bf2a3d8745f4945039fe774a4b53ed282dda275	(오드리...)		(오드리…)	（神球軒…）		12	[]	imported	
