entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0082/ID00003/000004	stage	STG0082	ID00003	4	01_스테이지 xlsx 모음/STG0082(48화C)-ID00003-script-통합.xlsx	fb903bf52f82ca943fd189bf115bc32ab840e00b13d6b31c153364d642a0a7f2	dcec8dc9499cd428ea31c214ea4cec1ee56048c0f993009aea4d40e17d32c177	~NERV 본부 내~		　　　　　　　　　～NERV본부 내～	　　　　　　　　　～ＮＥＲＶ沙採　鎧～		38	[]	imported	
STG0082/ID00003/000005	stage	STG0082	ID00003	5	01_스테이지 xlsx 모음/STG0082(48화C)-ID00003-script-통합.xlsx	fb903bf52f82ca943fd189bf115bc32ab840e00b13d6b31c153364d642a0a7f2	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0082/ID00003/000006	stage	STG0082	ID00003	6	01_스테이지 xlsx 모음/STG0082(48화C)-ID00003-script-통합.xlsx	fb903bf52f82ca943fd189bf115bc32ab840e00b13d6b31c153364d642a0a7f2	c9fe8b9427e9f7aad613c72169bf2311e6d0a5c267ee9ed0ab944aad24b97563	...신지군?		…신지 군？	…重走　浦？		12	[]	imported	
STG0082/ID00003/000007	stage	STG0082	ID00003	7	01_스테이지 xlsx 모음/STG0082(48화C)-ID00003-script-통합.xlsx	fb903bf52f82ca943fd189bf115bc32ab840e00b13d6b31c153364d642a0a7f2	eec9e9abf1a23ce26381a647741177ff47348ee93fedc5fd0432740af0649705	신지		신지	重走		4	[]	imported	
STG0082/ID00003/000008	stage	STG0082	ID00003	8	01_스테이지 xlsx 모음/STG0082(48화C)-ID00003-script-통합.xlsx	fb903bf52f82ca943fd189bf115bc32ab840e00b13d6b31c153364d642a0a7f2	ff91c8c20316d97edd6e6878c06901bb1b411280bc5b910be0e02bf4819b6648	카모치씨에게 물었습니다.		카지 씨에게 들었습니다	朝走　松拭惟　級醸柔艦陥		24	[]	imported	
STG0082/ID00003/000009	stage	STG0082	ID00003	9	01_스테이지 xlsx 모음/STG0082(48화C)-ID00003-script-통합.xlsx	fb903bf52f82ca943fd189bf115bc32ab840e00b13d6b31c153364d642a0a7f2	0ddb63944ee73ad81d4f72bee4314e2c9c7dc78f46d4a3fa9392c9fbb933c43a	...아빠한테 가는 거죠?		…아버지가 계신 곳으로 가시는 거죠？	…焼獄走亜　域重　員生稽　亜獣澗　暗倉？		40	[]	imported	
STG0082/ID00003/000010	stage	STG0082	ID00003	10	01_스테이지 xlsx 모음/STG0082(48화C)-ID00003-script-통합.xlsx	fb903bf52f82ca943fd189bf115bc32ab840e00b13d6b31c153364d642a0a7f2	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0082/ID00003/000011	stage	STG0082	ID00003	11	01_스테이지 xlsx 모음/STG0082(48화C)-ID00003-script-통합.xlsx	fb903bf52f82ca943fd189bf115bc32ab840e00b13d6b31c153364d642a0a7f2	2b12b49cb54f6d9ba842c76e3f19f165164fa5ec497409b79fee42ef44685932	저 녀석... 쓸데없는 짓을...		그 사람…쓸데없는 일을…	益　紫寓…承汽蒸澗　析聖…		26	[]	imported	
STG0082/ID00003/000012	stage	STG0082	ID00003	12	01_스테이지 xlsx 모음/STG0082(48화C)-ID00003-script-통합.xlsx	fb903bf52f82ca943fd189bf115bc32ab840e00b13d6b31c153364d642a0a7f2	eec9e9abf1a23ce26381a647741177ff47348ee93fedc5fd0432740af0649705	신지		신지	重走		4	[]	imported	
STG0082/ID00003/000013	stage	STG0082	ID00003	13	01_스테이지 xlsx 모음/STG0082(48화C)-ID00003-script-통합.xlsx	fb903bf52f82ca943fd189bf115bc32ab840e00b13d6b31c153364d642a0a7f2	0bc51b6c73735f57429a81cc941c83ef97609405bec733b124f665767376ac4b	저도... 가겠습니다		저도…갑니다	煽亀…逢艦陥		12	[]	imported	
STG0082/ID00003/000014	stage	STG0082	ID00003	14	01_스테이지 xlsx 모음/STG0082(48화C)-ID00003-script-통합.xlsx	fb903bf52f82ca943fd189bf115bc32ab840e00b13d6b31c153364d642a0a7f2	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
