entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0021/ID00003/000004	stage	STG0021	ID00003	4	01_스테이지 xlsx 모음/STG0021(10화C)-ID00003-script-통합.xlsx	129f965529d84793464a344285750f2b367a63469304040e11da7f15fce4943c	a173c668906f6f4c9f87323cbbb82c70f2ed9f208c2a624f74feb49ffc924cb7	~마크로스 쿼터 브리핑룸~		　　～마크로스・쿼터 브리핑룸～	　　～原滴稽什・汀斗　崎軒芭結～		32	[]	imported	
STG0021/ID00003/000005	stage	STG0021	ID00003	5	01_스테이지 xlsx 모음/STG0021(10화C)-ID00003-script-통합.xlsx	129f965529d84793464a344285750f2b367a63469304040e11da7f15fce4943c	7d3ac086ebfa8b25fbb8391c80cdb02398f667e31bb43f1f778f2c12ae840da4	칼리닌		칼리닌	町軒観		6	[]	imported	
STG0021/ID00003/000006	stage	STG0021	ID00003	6	01_스테이지 xlsx 모음/STG0021(10화C)-ID00003-script-통합.xlsx	129f965529d84793464a344285750f2b367a63469304040e11da7f15fce4943c	0287ee606ba396e88b1c32cb236e4a004d9abb028f6c71cfd013a9d5fd92adad	...제가 이번 작전을 설명하기 위해서		…제가 이번 작전을 설명하기 위해	…薦亜　戚腰　拙穿聖　竺誤馬奄　是背		36	[]	imported	
STG0021/ID00003/000007	stage	STG0021	ID00003	7	01_스테이지 xlsx 모음/STG0021(10화C)-ID00003-script-통합.xlsx	129f965529d84793464a344285750f2b367a63469304040e11da7f15fce4943c	6765280ab82396b686465a4117af6211f8f3149f8e77ce5676f518f97b585953	투아하 데 다낭에서 파견되었다		투아하・데・다난에서 파견된	燈焼馬・汽・陥貝拭辞　督胃吉		28	[]	imported	
STG0021/ID00003/000008	stage	STG0021	ID00003	8	01_스테이지 xlsx 모음/STG0021(10화C)-ID00003-script-통합.xlsx	129f965529d84793464a344285750f2b367a63469304040e11da7f15fce4943c	3cf4365671fa3b378f8eee50fd677cdfce51de23c71bed76f645fdfac185645b	안드레이 세르게이비치 칼리닌 소령이다		안드레이・세르게이비치・칼리닌 소좌입니다	照球傾戚・室牽惟戚搾帖・町軒観　社疎脊艦陥		42	[]	imported	
STG0021/ID00003/000009	stage	STG0021	ID00003	9	01_스테이지 xlsx 모음/STG0021(10화C)-ID00003-script-통합.xlsx	129f965529d84793464a344285750f2b367a63469304040e11da7f15fce4943c	7d3ac086ebfa8b25fbb8391c80cdb02398f667e31bb43f1f778f2c12ae840da4	칼리닌		칼리닌	町軒観		6	[]	imported	
STG0021/ID00003/000010	stage	STG0021	ID00003	10	01_스테이지 xlsx 모음/STG0021(10화C)-ID00003-script-통합.xlsx	129f965529d84793464a344285750f2b367a63469304040e11da7f15fce4943c	12d36a802d65178ea88e812bc511178fc5cec6881b353ba5f0002125f79daa18	동시에 본 작전 블랙 배틀링의 지휘도 맡는다		동시에 이 작전…블랙・배틀링의 지휘도 맡습니다	疑獣拭　戚　拙穿…鷺窟・壕堂元税　走番亀　乎柔艦陥		50	[]	imported	
STG0021/ID00003/000011	stage	STG0021	ID00003	11	01_스테이지 xlsx 모음/STG0021(10화C)-ID00003-script-통합.xlsx	129f965529d84793464a344285750f2b367a63469304040e11da7f15fce4943c	f4c56edde4ad6890f9fa91c875481829ff0c2c95aecbf70c984274a992803cc7	루카		루카	欠朝		4	[]	imported	
STG0021/ID00003/000012	stage	STG0021	ID00003	12	01_스테이지 xlsx 모음/STG0021(10화C)-ID00003-script-통합.xlsx	129f965529d84793464a344285750f2b367a63469304040e11da7f15fce4943c	e8767e58ce9fd942e2d8a5195137b4512f741f15d5494418a92e189a9f84c0b2	(역시 미스릴의 지휘관이군요.		(역시 미스릴의 지휘관이시네요	（蝕獣　耕什険税　走番淫戚獣革推		32	[]	imported	
STG0021/ID00003/000013	stage	STG0021	ID00003	13	01_스테이지 xlsx 모음/STG0021(10화C)-ID00003-script-통합.xlsx	129f965529d84793464a344285750f2b367a63469304040e11da7f15fce4943c	32cb8c1bccfaee2e1e20b977c45e0a9c37b76c10bf176cb5c5aa7bfc8ec91022	자못 역전의 용사라는 느낌입니다.)		과연 백전노장이라는 느낌입니다)	引尻　拷穿葛舌戚虞澗　汗界脊艦陥）		34	[]	imported	
STG0021/ID00003/000014	stage	STG0021	ID00003	14	01_스테이지 xlsx 모음/STG0021(10화C)-ID00003-script-통합.xlsx	129f965529d84793464a344285750f2b367a63469304040e11da7f15fce4943c	de0d4f06ac62a1b7a0bfaa692fd156f13f0a107e3eb775853dbe4e52351df319	미셸		미셸	耕斜		4	[]	imported	
