entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0231/ID00003/000004	dlc	DLC0231	ID00003	4	!DLC/DLC0323_cpk/DLC0231(DLC-23)-ID00003-script-통합.xlsx	290010a42835a8753c34994e6276553c057d2841ad63cbec4e166776df86433a	b3ecfb8e4f9b40431c79b3891d3cfb12b12d186521938f045c3825740d81dcf3	~패러다임 시티 바 'SPEAK EASY'~		　～파라다임 시티 바『SPEAK EASY』～	　～督虞陥績　獣銅　郊『ＳＰＥＡＫ　ＥＡＳＹ』～		48	[]	imported	
DLC0231/ID00003/000005	dlc	DLC0231	ID00003	5	!DLC/DLC0323_cpk/DLC0231(DLC-23)-ID00003-script-통합.xlsx	290010a42835a8753c34994e6276553c057d2841ad63cbec4e166776df86433a	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
DLC0231/ID00003/000006	dlc	DLC0231	ID00003	6	!DLC/DLC0323_cpk/DLC0231(DLC-23)-ID00003-script-통합.xlsx	290010a42835a8753c34994e6276553c057d2841ad63cbec4e166776df86433a	fe0d0424b3cb3d5e577e7f270de8cd464a44bc78f6743ba46a04d51a8fcc1deb	응? 왜 그래 자기야?		응? 무슨 일이야,허니?	誓？　巷充　析戚醤，買艦？		26	[]	imported	
DLC0231/ID00003/000007	dlc	DLC0231	ID00003	7	!DLC/DLC0323_cpk/DLC0231(DLC-23)-ID00003-script-통합.xlsx	290010a42835a8753c34994e6276553c057d2841ad63cbec4e166776df86433a	9f0d13e2b187196594cf0573e9692626bf4ba900a78aa3a490c3f8a1071766ef	안나로타		안나롯타	照蟹茎展		8	[]	imported	
DLC0231/ID00003/000008	dlc	DLC0231	ID00003	8	!DLC/DLC0323_cpk/DLC0231(DLC-23)-ID00003-script-통합.xlsx	290010a42835a8753c34994e6276553c057d2841ad63cbec4e166776df86433a	d5994fe9c56cf794aad9add076196594796b68a7b224b0ffb9b4dcf3aa89a230	...아무 생각도 안 해?		…아무 생각도 안 들어?	…焼巷　持唖亀　照　級嬢？		26	[]	imported	
DLC0231/ID00003/000009	dlc	DLC0231	ID00003	9	!DLC/DLC0323_cpk/DLC0231(DLC-23)-ID00003-script-통합.xlsx	290010a42835a8753c34994e6276553c057d2841ad63cbec4e166776df86433a	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
DLC0231/ID00003/000010	dlc	DLC0231	ID00003	10	!DLC/DLC0323_cpk/DLC0231(DLC-23)-ID00003-script-통합.xlsx	290010a42835a8753c34994e6276553c057d2841ad63cbec4e166776df86433a	f6057f86d5ff026ca885e87c85ddfdee1dabc37d40f1786cb64c276e15ea1aa5	뭐가?		뭐가?	更亜？		6	[]	imported	
DLC0231/ID00003/000011	dlc	DLC0231	ID00003	11	!DLC/DLC0323_cpk/DLC0231(DLC-23)-ID00003-script-통합.xlsx	290010a42835a8753c34994e6276553c057d2841ad63cbec4e166776df86433a	9f0d13e2b187196594cf0573e9692626bf4ba900a78aa3a490c3f8a1071766ef	안나로타		안나롯타	照蟹茎展		8	[]	imported	
DLC0231/ID00003/000012	dlc	DLC0231	ID00003	12	!DLC/DLC0323_cpk/DLC0231(DLC-23)-ID00003-script-통합.xlsx	290010a42835a8753c34994e6276553c057d2841ad63cbec4e166776df86433a	55b218f450d8519b84da9e8b35083f27f90cb3487f72f50b6e4bfbd7cbec71ce	이제 곧 차원의 우리는 완성된다…		곧 차원의 감옥이 완성돼…	稲　託据税　姶秦戚　刃失掬…		28	[]	imported	
DLC0231/ID00003/000013	dlc	DLC0231	ID00003	13	!DLC/DLC0323_cpk/DLC0231(DLC-23)-ID00003-script-통합.xlsx	290010a42835a8753c34994e6276553c057d2841ad63cbec4e166776df86433a	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	개드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
