entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0001b/ID00003/000004	stage	STG0001b	ID00003	4	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	c6f967da3d3122f850da8af109081960ceb61e5240fe7671e339c199b5e1bb42	～진다이 고등학교 2년 4조	　　　　　～진다이고교 2학년 4반～	　　　　　～진다이고교 2학년 4반～	　　　　　～遭陥戚　壱嘘　２俳鰍　４鋼～		40	[]	imported	
STG0001b/ID00003/000005	stage	STG0001b	ID00003	5	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	5522eea27f7d2d12d5887c99d046be62e139b7e41d8a08fdd04c47ebb78d7856	카나메	카나메	카나메	朝蟹五		6	[]	imported	
STG0001b/ID00003/000006	stage	STG0001b	ID00003	6	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	2e01c1d42ef1b654219d25b66efa218c532102e63b180d62d48b97094367bbfd	네,오늘의 수업도 끝납니다!	자,오늘 수업도 끝!	자,오늘 수업도 끝!	切，神潅　呪穣亀　魁！		22	[]	imported	
STG0001b/ID00003/000007	stage	STG0001b	ID00003	7	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	c36b4b2b69347750b68fa25d7eb770a32037f41f56e7fad5554b03d4ee2e3a73	아니 ~ 과연 2 학년도되면	이야~ 역시 2학년이 되면	이야~ 역시 2학년이 되면	戚醤～　蝕獣　２俳鰍戚　鞠艦		28	[]	imported	
STG0001b/ID00003/000008	stage	STG0001b	ID00003	8	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	98d2c3b9c7d515f49589ec493b80e1184daa1d92546be6e4c5c2395f5432e9f0	수학도 시비아가되고 있습니다.	수학도 심오해지는 것 같네	수학도 심오해지는 것 같네	呪俳亀　嬢形趨然革		18	[]	imported	
STG0001b/ID00003/000009	stage	STG0001b	ID00003	9	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	300b0480c85250ab67538578f8a0afec91f87332f762fb86368a2ce0d9741753	쿄코	쿄코	쿄코	底坪		4	[]	imported	
STG0001b/ID00003/000010	stage	STG0001b	ID00003	10	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	e21ba5bb76f9d39f367c5677041dadf2bd5096b695ca39d4fea3375ed944de98	가나짱,	카나 쨩,	카나 쨩,	朝蟹　損，		10	[]	imported	
STG0001b/ID00003/000011	stage	STG0001b	ID00003	11	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	3ea8c8004cdc30cb8829fc2426ab9b98cdbf8959430a7c5ca80fb8a79ddace3c	1 학년 때도 마찬가지입니다.	1학년 때도 똑같은 말 했었어	1학년 때도 똑같은 말 했었어	１俳鰍　凶亀　業旭精　源　梅醸摂焼		34	[]	imported	
STG0001b/ID00003/000012	stage	STG0001b	ID00003	12	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	300b0480c85250ab67538578f8a0afec91f87332f762fb86368a2ce0d9741753	쿄코	쿄코	쿄코	底坪		4	[]	imported	
STG0001b/ID00003/000013	stage	STG0001b	ID00003	13	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	3cf698257b1be9c423b0808feb71bb7e08992b193d0d7449266756c622dfa6a1	수학뿐만 아니라 물리와 화학도 ...	수학뿐만 아니라 물리나 화학도…	수학뿐만 아니라 물리나 화학도…	呪俳屍幻　焼艦虞　弘軒蟹　鉢俳亀…		34	[]	imported	
STG0001b/ID00003/000014	stage	STG0001b	ID00003	14	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	5522eea27f7d2d12d5887c99d046be62e139b7e41d8a08fdd04c47ebb78d7856	카나메	카나메	카나메	朝蟹五		6	[]	imported	
STG0001b/ID00003/000015	stage	STG0001b	ID00003	15	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	bba4788f74299b4abba3750c013ccaef579571f3e1a83a0dd2def56becc4d62f	우,하하하하.	우,우하하하.	우,우하하하.	生，生馬馬馬．		14	[]	imported	
STG0001b/ID00003/000016	stage	STG0001b	ID00003	16	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	a3a5a46423651db70390613029c9a5b1157cdd31688d5650c6fb0724478e71d3	…그보다 새로운 클래스의 친목을 깊게 하기 위해서도	…그것보다 새 클래스의 친목을 다지기 위해서라도	…그것보다 새 클래스의 친목을 다지기 위해서라도	…益左陥　歯鋼　庁鯉聖　陥走奄　是背		36	[]	imported	
STG0001b/ID00003/000017	stage	STG0001b	ID00003	17	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	930dfd1f1ac22e2fb12b88808df50b13ddd19975078658f63af26bfe6ff927d6	모두 노래방에서 가자?	다 같이 노래방이라도 갈까?	다 같이 노래방이라도 갈까?	陥旭戚　葛掘号戚虞亀　哀猿？		28	[]	imported	
STG0001b/ID00003/000018	stage	STG0001b	ID00003	18	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	2cea46d620cc41da9e8032da3a30c1be0d95cebc91aaece2e09562ec8bb4378f	시오리	시오리	시오리	獣神軒		6	[]	imported	
STG0001b/ID00003/000019	stage	STG0001b	ID00003	19	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	162ec6ad0e875e6410947764a87064ba43c473c202da13c55a707cb77ebaff4f	좋아,그것!	좋은데,그거!	좋은데,그거!	疏焼，益暗！		12	[]	imported	
STG0001b/ID00003/000020	stage	STG0001b	ID00003	20	01_스테이지 xlsx 모음/STG0001b(1화)-ID00003-script-통합.xlsx	980f7b1ea8bbcd1e7b86b88c62388c27c41b885dda956ff5172fa7dad2259670	23ff392333273c6c546a582c20a6ee1c1a1bcf5a720b3ae873ae865788e8cced	적당히 남자에게 말해 보자.	적당히 남자애들한테도 말 걸어볼까	적당히 남자애들한테도 말 걸어볼까	旋雁備　害切蕉級廃砺亀　源　杏嬢瑳猿		36	[]	imported	
