entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0301/ID00003/000004	dlc	DLC0301	ID00003	4	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	d10b20f6f95a862bb071e3fea72c7f2363679171e98c0323a33ee60263815bf7	~진시로 고교 그라운드~		　　　　　　　　～진다이 고교　운동장～	　　　　　　　　～遭陥戚　壱嘘　錘疑舌～		40	[]	imported	
DLC0301/ID00003/000005	dlc	DLC0301	ID00003	5	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
DLC0301/ID00003/000006	dlc	DLC0301	ID00003	6	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	f06e7553003781c1230f50bf7ff352864cc77de526b204a0f82d77caa4cf5061	...무슨 일이야, $l군?		…무슨 일이야,$l 군？	…巷充　析戚醤，$ｌ　浦？		26	"[""$l""]"	imported	
DLC0301/ID00003/000007	dlc	DLC0301	ID00003	7	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	1f35cb22f30dbb0f316e5697d679e7b969cc7fc1a0a091a04376cf3f9e6ec061	이런 곳으로 불러내서...		이런 곳에 불러내고…	戚訓　員拭　災君鎧壱…		22	[]	imported	
DLC0301/ID00003/000008	dlc	DLC0301	ID00003	8	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0301/ID00003/000009	dlc	DLC0301	ID00003	9	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
DLC0301/ID00003/000010	dlc	DLC0301	ID00003	10	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
DLC0301/ID00003/000011	dlc	DLC0301	ID00003	11	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	220e24a2c5d673fb476fd2348b1e617f48de365a71808f24dcf739b46e4c5a2e	(이 눈...		(이 눈…	（戚　勧…		10	[]	imported	
DLC0301/ID00003/000012	dlc	DLC0301	ID00003	12	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	c869d904120ebadd9f381dca9b58fb9c239827542f0aaeb081e6fa8879f353ed	나는, 이 눈에 끌리고 있어...)		나는 이 눈에 끌리고 있어…)	蟹澗　戚　勧拭　怪軒壱　赤嬢…）		32	[]	imported	
DLC0301/ID00003/000013	dlc	DLC0301	ID00003	13	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
DLC0301/ID00003/000014	dlc	DLC0301	ID00003	14	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	b4d4ae4f378a0bc9d563b5dc01c63fdbacd64f61d0f799f0407ebe90d0330635	(이 눈 속에 있는 빛...		(이 눈 속에 있는 빛…	（戚　勧　紗拭　赤澗　笹…		26	[]	imported	
DLC0301/ID00003/000015	dlc	DLC0301	ID00003	15	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	16808f5f3277b13465ca5b500f5739d86386b3fccd67f287e1c5284b244ad7fe	그것이 무엇인지를 나는 알고 싶다)		그것이 무엇인지 나는 알고 싶어)	益依戚　巷譲昔走　蟹澗　硝壱　粛嬢）		36	[]	imported	
DLC0301/ID00003/000016	dlc	DLC0301	ID00003	16	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0301/ID00003/000017	dlc	DLC0301	ID00003	17	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	b5b8c0d84b6c4cdde660fbfa47b4dc6f41890b6beb75bdfb40efccfacfa1962e	사이죠 선생님...		사이죠 선생님…	紫戚倉　識持還…		16	[]	imported	
DLC0301/ID00003/000018	dlc	DLC0301	ID00003	18	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
DLC0301/ID00003/000019	dlc	DLC0301	ID00003	19	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	82fee81cfff5d18a01a26079f9172b8415ea37f552d821959ed2e2e5a40afb24	아... 네		아…네	焼…革		6	[]	imported	
DLC0301/ID00003/000020	dlc	DLC0301	ID00003	20	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0301/ID00003/000021	dlc	DLC0301	ID00003	21	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	ada860063dc94f89f1dd82ec929b94c98f5ce5ac25c8888b5b93b89c25d06b56	그때는 그 자리 분위기에서		그때는 그 자리의 분위기 때문에	益凶澗　益　切軒税　歳是奄　凶庚拭		34	[]	imported	
DLC0301/ID00003/000022	dlc	DLC0301	ID00003	22	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	479d6ebc3f364b847d5fb5439a29915528992ee21161d73732128460639a57db	말을 꺼내지는 못했지만...		말하지 못했지만…	源馬走　公梅走幻…		18	[]	imported	
DLC0301/ID00003/000023	dlc	DLC0301	ID00003	23	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0301/ID00003/000024	dlc	DLC0301	ID00003	24	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	8adb955bae0745b416bce3e203d5907129cdbd971a00d4c05954d3556ff7444f	역시 선생님에게는 무리라고 생각합니다		역시 선생님은 무리라고 생각합니다	蝕獣　識持還精　巷軒虞壱　持唖杯艦陥		36	[]	imported	
DLC0301/ID00003/000025	dlc	DLC0301	ID00003	25	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
DLC0301/ID00003/000026	dlc	DLC0301	ID00003	26	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	e69c12427ed95369d643e763795f6b284964373a2781e5546493f5482c8f1625	내가 애들이랑 같이 싸운다는 얘기야?		내가 모두와 함께 싸운다는 이야기？	鎧亜　乞砧人　敗臆　塾錘陥澗　戚醤奄？		38	[]	imported	
DLC0301/ID00003/000027	dlc	DLC0301	ID00003	27	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0301/ID00003/000028	dlc	DLC0301	ID00003	28	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	d9fdaa680c822802bba83857b585fdc37f58616ee133f56ba575bb9f92a1195f	맞아요		맞습니다	限柔艦陥		8	[]	imported	
DLC0301/ID00003/000029	dlc	DLC0301	ID00003	29	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
DLC0301/ID00003/000030	dlc	DLC0301	ID00003	30	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	c59e7a371486bdccb21fd58bb1ce4e7d52c03c798d9857bfb4c0878cbb92b6ca	확실히 자신이 있는 것은 아니지만…		확、확실히 자신이 있는 건 아니지만…	溌，溌叔備　切重戚　赤澗　闇　焼艦走幻…		40	[]	imported	
DLC0301/ID00003/000031	dlc	DLC0301	ID00003	31	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	c57f27be81199012a1c25eb8275b841c5b0ec5c1337c8273f6c50b3c04a3f0dd	하지만 이미 결정했어		하지만 이제 결정했어	馬走幻　戚薦　衣舛梅嬢		22	[]	imported	
DLC0301/ID00003/000032	dlc	DLC0301	ID00003	32	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
DLC0301/ID00003/000033	dlc	DLC0301	ID00003	33	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	e3e33a7514ec865d63c60788fd87462a169006fa0905ec4ba815cfbee0dc904b	내가 너희들의 싸움에 참견하지 않도록		내가 너희들의 싸움에 끼어들지 않도록	鎧亜　格費級税　塾崇拭　晦嬢級走　省亀系		40	[]	imported	
DLC0301/ID00003/000034	dlc	DLC0301	ID00003	34	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	b9ac119a26b9f38e73d6c38f4cb307eed2a0f6c4de220f4adcbfc3d00ecec5b8	당신도 나를 인정해 주었으면 좋겠는데		너도 나를 인정해 줬으면 하는데	格亀　蟹研　昔舛背　早生檎　馬澗汽		34	[]	imported	
DLC0301/ID00003/000035	dlc	DLC0301	ID00003	35	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0301/ID00003/000036	dlc	DLC0301	ID00003	36	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
DLC0301/ID00003/000037	dlc	DLC0301	ID00003	37	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
DLC0301/ID00003/000038	dlc	DLC0301	ID00003	38	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	965a7d927034e225c128c0dddfe83b21f0bc1056c26716855ddd99fddd7c8064	(또, 이 눈이다...)		(또 이 눈이야…)	（暁　戚　勧戚醤…）		20	[]	imported	
DLC0301/ID00003/000039	dlc	DLC0301	ID00003	39	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0301/ID00003/000040	dlc	DLC0301	ID00003	40	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	1c17d9bed5f4abc427c7af785e55cb83515e2ed99e516c2f1e9c296b27eadc17	입으로 말해도 모르면…		말로 해도 모르겠다면…	源稽　背亀　乞牽畏陥檎…		24	[]	imported	
DLC0301/ID00003/000041	dlc	DLC0301	ID00003	41	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
DLC0301/ID00003/000042	dlc	DLC0301	ID00003	42	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	b76e9ce63c6070dd54359a5b4d99a714e31dad48ec3413ec078365cef2d268d8	뭐, 뭐...?		무、무슨…？	巷，巷充…？		12	[]	imported	
DLC0301/ID00003/000043	dlc	DLC0301	ID00003	43	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0301/ID00003/000044	dlc	DLC0301	ID00003	44	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	95b4ccfc8807a1134493ac6f99379442777ffa71986c66ca8e625ed2880846e9	오늘 밤 제2도쿄만의 마크로스 쿼터에		오늘 밤,제2도쿄만의 마크로스・쿼터에	神潅　鴻，薦２亀底幻税　原滴稽什・汀斗拭		40	[]	imported	
DLC0301/ID00003/000045	dlc	DLC0301	ID00003	45	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	5cfb0c8dfb51d440af390d6f891fdb79fd41e12c5d9e70865dd50f1396036f1f	와주세요		와 주세요	人　爽室推		10	[]	imported	
DLC0301/ID00003/000046	dlc	DLC0301	ID00003	46	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0301/ID00003/000047	dlc	DLC0301	ID00003	47	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	59911ffb1f4aa3e75c5fc9a2fdcc3ea841265838d9451383109662f289336d6d	거기서 다시 한번 이야기를 합시다		거기서 다시 한번 이야기합시다	暗奄辞　陥獣　廃腰　戚醤奄杯獣陥		32	[]	imported	
DLC0301/ID00003/000048	dlc	DLC0301	ID00003	48	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
DLC0301/ID00003/000049	dlc	DLC0301	ID00003	49	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	144ce1d2543f2c516b0cf985e56581e7678cd9b2462a3eec3b8ddf3eae4f990e	$l군...		$l 군…	$ｌ　浦…		10	"[""$l""]"	imported	
DLC0301/ID00003/000050	dlc	DLC0301	ID00003	50	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
DLC0301/ID00003/000051	dlc	DLC0301	ID00003	51	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	3a149dde00cb9a6cf3b5ad2360e7385bdd7a00cd48a7d2337be1c695b3925374	당신에게 있어서, 나는 방해가 돼...		너에게 나는 방해가 되는 거야…	格拭惟　蟹澗　号背亜　鞠澗　暗醤…		34	[]	imported	
DLC0301/ID00003/000054	dlc	DLC0301	ID00003	54	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	ff15b5fc1bb992b45c49266198bf50f33ff7b60a1db234c29898512de293ed98	　　　　　　~마크로스 쿼터 격납고~		　　　　　　～마크로스・쿼터　격납고～	　　　　　　～原滴稽什・汀斗　維崖壱～		38	[]	imported	
DLC0301/ID00003/000055	dlc	DLC0301	ID00003	55	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		ＡＧ	ＡＧ		4	[]	imported	
DLC0301/ID00003/000056	dlc	DLC0301	ID00003	56	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	e7b176b40411e1539e88144ac523c5a17514157409784a2eee41ab6500b730fe	$n상, 부탁하고 있던 것의 준비가		$n 씨,부탁받았던 것의 준비가	$ｎ　松，採店閤紹揮　依税　層搾亜		34	"[""$n""]"	imported	
DLC0301/ID00003/000057	dlc	DLC0301	ID00003	57	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	ad3f0735503c90f1a402217eee1afab4368b154f1c3a064fa371c3df990ed215	됐어요		되었습니다	鞠醸柔艦陥		10	[]	imported	
DLC0301/ID00003/000058	dlc	DLC0301	ID00003	58	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0301/ID00003/000059	dlc	DLC0301	ID00003	59	!DLC/DLC0301_cpk/DLC0301(DLC-01)-ID00003-script-통합.xlsx	b37f715dbac13e768fd4bb6426c9b52fd8d127bdcb0b26dc0ad52e4792425d51	08be59503954741e9bc351935b5debf9ad06a406f0b1cd82bdd9b5bcf5d5535d	살아나다		고맙군	壱舷浦		6	[]	imported	
