entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0055/ID00003/000004	stage	STG0055	ID00003	4	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	204c8de15874cb9f0a83c8ad58def6f290e9e6a2718520090e1a54e641a8cf98	~레울라 브릿지~		　　　　　　　　～레우루라 브리지～	　　　　　　　　～傾酔欠虞　崎軒走～		36	[]	imported	
STG0055/ID00003/000005	stage	STG0055	ID00003	5	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
STG0055/ID00003/000006	stage	STG0055	ID00003	6	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	cf51cf28c0d71d7a355d22f0ac0e750c95a03d5ff59dcc8a14aaa38c3a6a70aa	상황 보고를		상황 보고를	雌伐　左壱研		12	[]	imported	
STG0055/ID00003/000007	stage	STG0055	ID00003	7	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	9acab409f5e89f36a7124612f37726a1f7e07204efcce930f2a6d40dbb5bd0bf	프론탈		프론탈	覗経纏		6	[]	imported	
STG0055/ID00003/000008	stage	STG0055	ID00003	8	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	b75341578246b7cdbebc9735caea5e8683e504814da5f53e11bc47335b4429dd	곧 선발대는 방위부대와 접촉.		곧 선발대는 방위 부대와 접촉합니다	稲　識降企澗　号是　採企人　羨男杯艦陥		38	[]	imported	
STG0055/ID00003/000009	stage	STG0055	ID00003	9	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	236762965c30e85e8835ec8d332245eefd616625345108aae3b6566a77c7f7dc	나는 이대로 부대를 지휘해 피프스 루나를		저는 이대로 부대를 지휘하여 피프스 루나를	煽澗　戚企稽　採企研　走番馬食　杷覗什　欠蟹研		46	[]	imported	
STG0055/ID00003/000010	stage	STG0055	ID00003	10	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	8d00ebd9701cd1753b8f2fa3fda8494fad136571e71c0120e086da6b751a1edc	제압하겠습니다		제압하겠습니다	薦笑馬畏柔艦陥		14	[]	imported	
STG0055/ID00003/000011	stage	STG0055	ID00003	11	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
STG0055/ID00003/000012	stage	STG0055	ID00003	12	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	50dbdd8186d88906b7712abe62ed6a7761034351ffdc2a92979935a8bd442307	서둘러, 풀 프론탈.		서둘러라, 풀・프론탈	辞却君虞，　熱・覗経纏		22	[]	imported	
STG0055/ID00003/000013	stage	STG0055	ID00003	13	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	d4b248d40b6649f69d38e14f2dc6bc68e4704ce847a61213e24b7a3dc3adab5a	$c도, 이쪽을 향해 오고 있다		$c도 이쪽으로 향하고 있다	$ｃ亀　戚楕生稽　狽馬壱　赤陥		30	"[""$c""]"	imported	
STG0055/ID00003/000014	stage	STG0055	ID00003	14	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	9acab409f5e89f36a7124612f37726a1f7e07204efcce930f2a6d40dbb5bd0bf	프론탈		프론탈	覗経纏		6	[]	imported	
STG0055/ID00003/000015	stage	STG0055	ID00003	15	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	b0d04d50d588acd77ca11b3965f1b8e76705384fb7533f1fbf3c6939201b4024	알겠습니다.		알겠습니다	硝畏柔艦陥		10	[]	imported	
STG0055/ID00003/000016	stage	STG0055	ID00003	16	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	85cc93366a46307727c6461214ff8b2da21f7bdc550583395e7d0a4fe6694a81	그들이 도착하기 전에 피프스는 떨어뜨려 보일 수 있습니다		그들이 도착하기 전에 피프스를 함락시키겠습니다	益級戚　亀鐸馬奄　穿拭　杷覗什研　敗喰獣徹畏柔艦陥		50	[]	imported	
STG0055/ID00003/000017	stage	STG0055	ID00003	17	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	9acab409f5e89f36a7124612f37726a1f7e07204efcce930f2a6d40dbb5bd0bf	프론탈		프론탈	覗経纏		6	[]	imported	
STG0055/ID00003/000018	stage	STG0055	ID00003	18	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	abf3d06079773fb8c6087ea1e7f45a00d0f4c634f2a562941bac9ef761b334c2	그들은 지금 전력을 분산시키고 있습니다.		그들은 지금 전력을 분산시키고 있습니다	益級精　走榎　穿径聖　歳至獣徹壱　赤柔艦陥		42	[]	imported	
STG0055/ID00003/000019	stage	STG0055	ID00003	19	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	7df0af6df9831aea02ca906a229ca9b6ffc1ef12ec870cb6ed790f8fa1634ed6	덤벼드는 것 같다면, 그대로 반격하러		공격해 온다면 그대로 되받아쳐	因維背　紳陥檎　益企稽　鞠閤焼団		32	[]	imported	
STG0055/ID00003/000020	stage	STG0055	ID00003	20	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	99f58e713805d949cc08b9e3ca52a31bbc6b161086d3dd5ec0637f74aa5cc3e8	해봅시다		주겠습니다	爽畏柔艦陥		10	[]	imported	
STG0055/ID00003/000021	stage	STG0055	ID00003	21	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
STG0055/ID00003/000022	stage	STG0055	ID00003	22	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	423f8449a29a66740a0691c3eb27f9dae1a5d7d94047e0328e8218c68eb522a2	무리하지는 마.		무리는 하지 마라	巷軒澗　馬走　原虞		18	[]	imported	
STG0055/ID00003/000023	stage	STG0055	ID00003	23	01_스테이지 xlsx 모음/STG0055(37화A)-ID00003-script-통합.xlsx	524d9adc8b0b2ed38f27edc52c79be573e71ec362d9f76690b0263f16643a5a2	c5871c6f0893dbf7e1b651505015c7b7a732f6fe5526b8797de328530cf833c5	상황에 따라서는 나도 나선다		상황에 따라서는 나도 나가겠다	雌伐拭　魚虞辞澗　蟹亀　蟹亜畏陥		32	[]	imported	
