entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0033b/ID00003/000004	stage	STG0033b	ID00003	4	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	4605a71845adf5f932aa60a32c3341eff9f9cee3c2f8553ff8e56e029b10cd4d	~브뤼셀 시가지~		　　　　　　　　～브뤼셀 시가지～	　　　　　　　　～崎健漆　獣亜走～		34	[]	imported	
STG0033b/ID00003/000005	stage	STG0033b	ID00003	5	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	ac93dac5a9c744e88b32ca444d48e22ee28f11d18134f204105084d43e8cb398	데킴		데킴	汽鉄		4	[]	imported	
STG0033b/ID00003/000006	stage	STG0033b	ID00003	6	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	72292ea019178c40ece6f62a7c7dd2d7e5e8983cf914ff7f3f0aa0fc766b6a4f	이 방송을 보시는 여러분께		이 방송을 보시는 여러분께	戚　号勺聖　左獣澗　食君歳臆		28	[]	imported	
STG0033b/ID00003/000007	stage	STG0033b	ID00003	7	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	ac93dac5a9c744e88b32ca444d48e22ee28f11d18134f204105084d43e8cb398	데킴		데킴	汽鉄		4	[]	imported	
STG0033b/ID00003/000008	stage	STG0033b	ID00003	8	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	f8f32cf59250b6b0fe0f517d13ae08c3cec1af69153dd55cb36d92ccbf18602b	새로운 질서에 대하여		새로운 질서에 대해 아직도 쓸데없는 저항을	歯稽錘　霜辞拭　企背　焼送亀　承汽蒸澗　煽牌聖		46	[]	imported	
STG0033b/ID00003/000009	stage	STG0033b	ID00003	9	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	8710f2146c6380a3a4d65b1561aea83f24b113acbacb0b864ab406eb6a4676b7	쓸모없는 저항을 계속하는 어리석은 자들이 아직도 있다		계속하는 어리석은 자들이 있습니다	域紗馬澗　嬢軒汐精　切級戚　赤柔艦陥		36	[]	imported	
STG0033b/ID00003/000010	stage	STG0033b	ID00003	10	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	ac93dac5a9c744e88b32ca444d48e22ee28f11d18134f204105084d43e8cb398	데킴		데킴	汽鉄		4	[]	imported	
STG0033b/ID00003/000011	stage	STG0033b	ID00003	11	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	86f9c0b1cc8d9e86397299ca3ec1594d80fe1fc783f7440244d772373fc9027a	여기에 떠내려갈 많은 피는		여기에 흐를 많은 피는	食奄拭　斐研　弦精　杷澗		24	[]	imported	
STG0033b/ID00003/000012	stage	STG0033b	ID00003	12	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	b610dc12d251f00b03a6e162a966a7bcc81a4e1e02fc65131a2c0264b273e9af	어느 정도의 의미가 있는지…		어떤 의미가 있을까요…	嬢恐　税耕亜　赤聖猿推…		24	[]	imported	
STG0033b/ID00003/000013	stage	STG0033b	ID00003	13	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	24d663c72d9a0c09f5c5393e471db744320d351d0cbd6051ee54240144cb438d	잘 생각해 볼 일이야!		잘 생각해 보십시오！	設　持唖背　左淑獣神！		22	[]	imported	
STG0033b/ID00003/000014	stage	STG0033b	ID00003	14	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	58a3651d5dd1dbc029a238c1fc504377a5ecd620e2d9128ed4611835573ebcef	시민		시민	獣肯		4	[]	imported	
STG0033b/ID00003/000015	stage	STG0033b	ID00003	15	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	87dd7e3844092ae2f2bd2ab0a0f0546eda403c8f06f6ffa0de78f777cf2430c4	건담이가...		건담이…	闇眼戚…		8	[]	imported	
STG0033b/ID00003/000016	stage	STG0033b	ID00003	16	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	58a3651d5dd1dbc029a238c1fc504377a5ecd620e2d9128ed4611835573ebcef	시민		시민	獣肯		4	[]	imported	
STG0033b/ID00003/000017	stage	STG0033b	ID00003	17	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	a616b710b2cb010f48b0b8560454c9ac966d18983027410875313d1db0d4b32a	이제... 끝인가...		이제…끝인가…	戚薦…魁昔亜…		14	[]	imported	
STG0033b/ID00003/000018	stage	STG0033b	ID00003	18	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	3fe3a9d5ff5031b4a1a9f594cb565c8f7ef7186527690676d3e3ef2f40304c71	？？？		？？？	？？？		6	[]	imported	
STG0033b/ID00003/000019	stage	STG0033b	ID00003	19	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	aef689df5e19f611de88b7b65ebe9b294418e9ade70f7b0ddf5d7c5bae8dd460	과연 그럴까?		과연,그럴까요？	引尻，益群猿推？		16	[]	imported	
STG0033b/ID00003/000022	stage	STG0033b	ID00003	22	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	1b2ff8870cf3156c981878cac3a2a1fba084142856be588ce4ab385b8ca1b4f9	　　　　　　~평화기념관 지하쉘터~		　　　　　　～평화기념관 지하 쉘터～	　　　　　　～汝鉢奄割淫　走馬　秋斗～		38	[]	imported	
STG0033b/ID00003/000023	stage	STG0033b	ID00003	23	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	6fc98948ebc21fb99a9a47b45498307c93efee564fa5b56c68d8cde5280de8c5	나나리		나나리	蟹蟹軒		6	[]	imported	
STG0033b/ID00003/000024	stage	STG0033b	ID00003	24	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	4288013b3d381c1e67028416fab29ec225dddfe574d93dab1340c95c89212fef	히이로 님!		히이로 씨！	備戚稽　松！		12	[]	imported	
STG0033b/ID00003/000025	stage	STG0033b	ID00003	25	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	048cd9236711a4763b596dfa52c5c7fd8d2fb4104160b899f9b7f40a903daa4e	마리메이어		마리메이아	原軒五戚焼		10	[]	imported	
STG0033b/ID00003/000026	stage	STG0033b	ID00003	26	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	5fe187b145dc17fb4bc5d48ab9c837df4c557df72a81820143289188baadf053	어때요, 퀸 리리나?		어떻습니까,퀸・리리나？	嬢胸柔艦猿，蹄・軒軒蟹？		24	[]	imported	
STG0033b/ID00003/000027	stage	STG0033b	ID00003	27	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	9c342149ce66549dbc992a009267c4e2e9d0f83d279b6ad3f4ab8940918edf9c	당신을 구하러 온 자들의 명운도 풍전등화입니다		당신을 구하러 온 자들의 운명도 풍전등화입니다	雁重聖　姥馬君　紳　切級税　錘誤亀　燃穿去鉢脊艦陥		50	[]	imported	
STG0033b/ID00003/000028	stage	STG0033b	ID00003	28	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	62095fcde58ab7ded1aec29b7bf3724f9d5d63aab1131b0c51a1d062078ca8e3	리리나		리리나	軒軒蟹		6	[]	imported	
STG0033b/ID00003/000029	stage	STG0033b	ID00003	29	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	e865aae658a0c39ea6c46218c26f8e6b366e7acc100ef56854db0099defd3e3f	나는...		저는…	煽澗…		6	[]	imported	
STG0033b/ID00003/000030	stage	STG0033b	ID00003	30	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	62095fcde58ab7ded1aec29b7bf3724f9d5d63aab1131b0c51a1d062078ca8e3	리리나		리리나	軒軒蟹		6	[]	imported	
STG0033b/ID00003/000031	stage	STG0033b	ID00003	31	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	076f00353e7bf22f3b7188a24d350205a84887730f5db01dccc4bdc1013361ce	나는 도망치고 있었습니다		저는 도망치고 있었습니다	煽澗　亀諺帖壱　赤醸柔艦陥		26	[]	imported	
STG0033b/ID00003/000032	stage	STG0033b	ID00003	32	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	b2dd5d2b9df80bb73f27a7f91f573746371683728d5c615aac65821d288d84b5	마리메이어병		마리메이아병	原軒五戚焼佐		12	[]	imported	
STG0033b/ID00003/000033	stage	STG0033b	ID00003	33	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	fe1d5f6c8b50110ec13bbbe192564e12ea378ad865917ec96b5e41b3dbb14955	통신기를...!		통신기를…！	搭重奄研…！		12	[]	imported	
STG0033b/ID00003/000034	stage	STG0033b	ID00003	34	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	62095fcde58ab7ded1aec29b7bf3724f9d5d63aab1131b0c51a1d062078ca8e3	리리나		리리나	軒軒蟹		6	[]	imported	
STG0033b/ID00003/000035	stage	STG0033b	ID00003	35	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	1bd9e33a7d093ef6845bebead149dc0205c508616bd6d2493ce2acf61308d197	이 영상을 보고 계신 모든 분들께!		이 영상을 보고 있는 모든 분들께！	戚　慎雌聖　左壱　赤澗　乞窮　歳級臆！		38	[]	imported	
STG0033b/ID00003/000036	stage	STG0033b	ID00003	36	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	3c6b5ba6d731af104ddb92600be14f68f2ce4a43b341efbc90b3174c2ad48e23	평화는 누군가에게 주어지는 것이 아닙니다!		평화는 누군가에게서 받는 것이 아닙니다！	汝鉢澗　刊浦亜拭惟辞　閤澗　依戚　焼鑑艦陥！		44	[]	imported	
STG0033b/ID00003/000037	stage	STG0033b	ID00003	37	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	795ed24cb27667aa44b845b96e10193bc2cbed471f6ee1291a4f15ca293dd889	자기 자신의 힘으로 붙잡는 것입니다!		자기 자신의 힘으로 쟁취하는 것입니다！	切奄　切重税　毘生稽　戦昼馬澗　依脊艦陥！		42	[]	imported	
STG0033b/ID00003/000038	stage	STG0033b	ID00003	38	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	b2dd5d2b9df80bb73f27a7f91f573746371683728d5c615aac65821d288d84b5	마리메이어병		마리메이아병	原軒五戚焼佐		12	[]	imported	
STG0033b/ID00003/000039	stage	STG0033b	ID00003	39	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	dce8905d274ee8fe3bffe595a8a7b69ebadee2a85190ab00b91c35d0d3707390	이 자식아!		이 자식！	戚　切縦！		10	[]	imported	
STG0033b/ID00003/000040	stage	STG0033b	ID00003	40	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	5b89dc1cf1b8938b0fe8171e20a315b5f5341541394ed35be481dc71dd26cd13	제멋대로의 짓을!		멋대로 하는 짓을！	鈷企稽　馬澗　憎聖！		20	[]	imported	
STG0033b/ID00003/000041	stage	STG0033b	ID00003	41	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	6fc98948ebc21fb99a9a47b45498307c93efee564fa5b56c68d8cde5280de8c5	나나리		나나리	蟹蟹軒		6	[]	imported	
STG0033b/ID00003/000042	stage	STG0033b	ID00003	42	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	eff47a31bf794f345c24e69444fcbdc2bec031b6b7a3ebeae81c3dea64ee3a63	리리나 씨를 방해하지 않을게요!		리리나 씨를 방해하게 두지 않겠습니다！	軒軒蟹　松研　号背馬惟　砧走　省畏柔艦陥！		42	[]	imported	
STG0033b/ID00003/000043	stage	STG0033b	ID00003	43	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	b2dd5d2b9df80bb73f27a7f91f573746371683728d5c615aac65821d288d84b5	마리메이어병		마리메이아병	原軒五戚焼佐		12	[]	imported	
STG0033b/ID00003/000044	stage	STG0033b	ID00003	44	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	9b7b710f21739a313e0f727a8db2bbc54a0b0b5c94d9a3ce218352307f513d26	계집애 같으니라구!		계집애가！	域増蕉亜！		10	[]	imported	
STG0033b/ID00003/000045	stage	STG0033b	ID00003	45	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	421e68a1575375522eb1b14493424e00a2e20ef5b4121e8efb9cac935aa47b99	남자의 힘을 이길 수 있다고 생각하는 거야!		남자의 힘을 이길 수 있다고 생각하는 건가！	害切税　毘聖　戚掩　呪　赤陥壱　持唖馬澗　闇亜！		48	[]	imported	
STG0033b/ID00003/000046	stage	STG0033b	ID00003	46	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	6fc98948ebc21fb99a9a47b45498307c93efee564fa5b56c68d8cde5280de8c5	나나리		나나리	蟹蟹軒		6	[]	imported	
STG0033b/ID00003/000047	stage	STG0033b	ID00003	47	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	7625dcd9bf18fb2d67772784c57633cb3e0dfb259e0424141c5c63dda4290845	으!		윽！	盛！		4	[]	imported	
STG0033b/ID00003/000048	stage	STG0033b	ID00003	48	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	62095fcde58ab7ded1aec29b7bf3724f9d5d63aab1131b0c51a1d062078ca8e3	리리나		리리나	軒軒蟹		6	[]	imported	
STG0033b/ID00003/000049	stage	STG0033b	ID00003	49	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	b2b48492f55bb99cb34af453cfa4e6eb9cda22fc3d0c261250c9fd86c6f9237b	나나리!		나나리！	蟹蟹軒！		8	[]	imported	
STG0033b/ID00003/000050	stage	STG0033b	ID00003	50	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	ac93dac5a9c744e88b32ca444d48e22ee28f11d18134f204105084d43e8cb398	데킴		데킴	汽鉄		4	[]	imported	
STG0033b/ID00003/000051	stage	STG0033b	ID00003	51	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	de0db878435813a99f9492883b11714e88dd37d7b9b803020ef5580dd0e6a08f	전 여왕 폐하, 당신의 등장은 아직 너무 이르십니다		전 여왕 폐하,당신의 등장은 아직 이릅니다	穿　食腎　二馬，雁重税　去舌精　焼送　戚絹艦陥		46	[]	imported	
STG0033b/ID00003/000052	stage	STG0033b	ID00003	52	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	048cd9236711a4763b596dfa52c5c7fd8d2fb4104160b899f9b7f40a903daa4e	마리메이어		마리메이아	原軒五戚焼		10	[]	imported	
STG0033b/ID00003/000053	stage	STG0033b	ID00003	53	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	29375c83b22f964253d2287430c21f95430c6b24d00068ceca2de90f130d02bb	아쉬웠네요.		유감이네요	政姶戚革推		10	[]	imported	
STG0033b/ID00003/000054	stage	STG0033b	ID00003	54	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	63535ff7754313be77a29f3aeb1ffa9d85c77a1e4b150c4a3f217ff111a71e2b	당신들의 결사적인 행동도 아주 조금의 말을		당신들의 필사적인 행동도,몇 마디 말을	雁重級税　琶紫旋昔　楳疑亀，護　原巨　源聖		42	[]	imported	
STG0033b/ID00003/000055	stage	STG0033b	ID00003	55	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	5b8adc60770d4a99634d26b63b0c59023e9e2e2e97699a068de73d9fec24a786	보낸것만으로 끝나버렸습니다		보낸 것만으로 끝나버렸습니다	左浬　依幻生稽　魁蟹獄携柔艦陥		30	[]	imported	
STG0033b/ID00003/000056	stage	STG0033b	ID00003	56	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	62095fcde58ab7ded1aec29b7bf3724f9d5d63aab1131b0c51a1d062078ca8e3	리리나		리리나	軒軒蟹		6	[]	imported	
STG0033b/ID00003/000057	stage	STG0033b	ID00003	57	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	c5f85d1fd361529fc94e6bf249e0fe226351183d82ece8e7ab25ca4ee102e3b5	그거면 충분해요.		그걸로 충분합니다.당신들이 생각하는 것만큼,	益杏稽　中歳杯艦陥．雁重級戚　持唖馬澗　依幻鏑，		48	[]	imported	
STG0033b/ID00003/000058	stage	STG0033b	ID00003	58	01_스테이지 xlsx 모음/STG0033b(21화)-ID00003-script-통합.xlsx	03b3772605267b9ffbe8d33e4a5574fb32c45fc090b1ba8c9f8ca5db987d59a7	d559a66413500ff3e0c22f2e95f49d80458fe2e227ee3b13eabf74042ce6f832	당신들이 생각하는 것만큼 사람들이 약하지는 않습니다		사람들은 약하지 않습니다	紫寓級精　鉦馬走　省柔艦陥		26	[]	imported	
