entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0310/ID00003/000004	dlc	DLC0310	ID00003	4	!DLC/DLC0310_cpk/DLC0310(DLC-10)-ID00003-script-통합.xlsx	3aea499f40441b9181b605fc8827203b9d07321d91523aa2891443200a561e80	a173c668906f6f4c9f87323cbbb82c70f2ed9f208c2a624f74feb49ffc924cb7	~마크로스 쿼터 브리핑룸~		　　～마크로스・쿼터 브리핑룸～	　　～原滴稽什・汀斗　崎軒芭結～		32	[]	imported	
DLC0310/ID00003/000005	dlc	DLC0310	ID00003	5	!DLC/DLC0310_cpk/DLC0310(DLC-10)-ID00003-script-통합.xlsx	3aea499f40441b9181b605fc8827203b9d07321d91523aa2891443200a561e80	9bcbe1433ae8354ccd85f9694a2b81767eae6e5d568b6d40e1cc70115167e130	가쓰라		케이	追戚		4	[]	imported	
DLC0310/ID00003/000006	dlc	DLC0310	ID00003	6	!DLC/DLC0310_cpk/DLC0310(DLC-10)-ID00003-script-통합.xlsx	3aea499f40441b9181b605fc8827203b9d07321d91523aa2891443200a561e80	b2d0320a2bca0f050410ef2b3d4f99c6108c07d84e2e5c0208adfb953b885cf1	…그때, 나는 말해 주었어		…그때,나는 말했지	…益凶，蟹澗　源梅走		20	[]	imported	
DLC0310/ID00003/000007	dlc	DLC0310	ID00003	7	!DLC/DLC0310_cpk/DLC0310(DLC-10)-ID00003-script-통합.xlsx	3aea499f40441b9181b605fc8827203b9d07321d91523aa2891443200a561e80	f4c56edde4ad6890f9fa91c875481829ff0c2c95aecbf70c984274a992803cc7	루카		루카	欠朝		4	[]	imported	
DLC0310/ID00003/000008	dlc	DLC0310	ID00003	8	!DLC/DLC0310_cpk/DLC0310(DLC-10)-ID00003-script-통합.xlsx	3aea499f40441b9181b605fc8827203b9d07321d91523aa2891443200a561e80	1aad999f02c4f680e1cae3e3a1f4161ecdb2e8c180d169086fc30a98d1d70b6b	뭐라고요?		뭐라고요?	更虞壱推？		10	[]	imported	
DLC0310/ID00003/000009	dlc	DLC0310	ID00003	9	!DLC/DLC0310_cpk/DLC0310(DLC-10)-ID00003-script-통합.xlsx	3aea499f40441b9181b605fc8827203b9d07321d91523aa2891443200a561e80	9bcbe1433ae8354ccd85f9694a2b81767eae6e5d568b6d40e1cc70115167e130	가쓰라		케이	追戚		4	[]	imported	
DLC0310/ID00003/000010	dlc	DLC0310	ID00003	10	!DLC/DLC0310_cpk/DLC0310(DLC-10)-ID00003-script-통합.xlsx	3aea499f40441b9181b605fc8827203b9d07321d91523aa2891443200a561e80	d9007d35a8fbb22277b81dc91f0ac5ef95dd5aca05c7860ea53ef1c72dbccbce	아, 프란체스카...		아아,프란체스카…	焼焼，覗空端什朝…		18	[]	imported	
DLC0310/ID00003/000011	dlc	DLC0310	ID00003	11	!DLC/DLC0310_cpk/DLC0310(DLC-10)-ID00003-script-통합.xlsx	3aea499f40441b9181b605fc8827203b9d07321d91523aa2891443200a561e80	a5af82a32ee19f07a77866284cc090ee9462366cee6d5df99d163889f55e4ddd	너의 푸른 눈동자는 맑고 깊은 호수 같아		네 푸른 눈동자는,맑고 깊은 호수 같아	革　祢献　勧疑切澗，玄壱　燕精　硲呪　旭焼		42	[]	imported	
DLC0310/ID00003/000012	dlc	DLC0310	ID00003	12	!DLC/DLC0310_cpk/DLC0310(DLC-10)-ID00003-script-통합.xlsx	3aea499f40441b9181b605fc8827203b9d07321d91523aa2891443200a561e80	f4c56edde4ad6890f9fa91c875481829ff0c2c95aecbf70c984274a992803cc7	루카		루카	欠朝		4	[]	imported	
DLC0310/ID00003/000013	dlc	DLC0310	ID00003	13	!DLC/DLC0310_cpk/DLC0310(DLC-10)-ID00003-script-통합.xlsx	3aea499f40441b9181b605fc8827203b9d07321d91523aa2891443200a561e80	093dabcd26d990eb6d2bd664cefe18fe869b984aefb62f559b8384ee7d549dda	그, 그래서...?		그,그래서…？	益，益掘辞…？		14	[]	imported	
