entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0059/ID00003/000004	stage	STG0059	ID00003	4	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	1ba124e8909fa01a7bbe47570bf4d27517565d300fba9ab6a7db7f2dd56c9fe3	~극동지부 살롱~		　　　　　　　　　～극동지부 살롱～	　　　　　　　　　～駅疑走採　詞荊～		36	[]	imported	
STG0059/ID00003/000005	stage	STG0059	ID00003	5	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
STG0059/ID00003/000006	stage	STG0059	ID00003	6	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	e5d35cc69e58683c024a164f06c5a11e3884fe61a6e16608bd62f267bd2bfaaa	오랜만에 일본에 돌아오셨네요		오랜만에 일본에 돌아오셨네요	神沓幻拭　析沙拭　宜焼神写革推		30	[]	imported	
STG0059/ID00003/000007	stage	STG0059	ID00003	7	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
STG0059/ID00003/000008	stage	STG0059	ID00003	8	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	1c2a986758583a66ace1712214d19661363566bb420d79d473aa70a4a58a970d	진짜야.		정말이야	舛源戚醤		8	[]	imported	
STG0059/ID00003/000009	stage	STG0059	ID00003	9	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	c8871292b400fcaa14ded850cb4c96500b993f164a40def432ebce1855b676be	투아허 데 다낭의 파티에 초대받았을 텐데,		투아하・데・다난의 파티에 초대받았는데,	燈焼馬・汽・陥貝税　督銅拭　段企閤紹澗汽，		42	[]	imported	
STG0059/ID00003/000010	stage	STG0059	ID00003	10	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	9a8cf23da945e9aa8e79fe29ed048417b9d9923bd8ee8421ad7736bc9558f0df	우주에까지 나가기로 해서...		우주까지 나가게 되고…	酔爽猿走　蟹亜惟　鞠壱…		24	[]	imported	
STG0059/ID00003/000011	stage	STG0059	ID00003	11	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
STG0059/ID00003/000012	stage	STG0059	ID00003	12	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	cb0d664e4b31bc9ba6fe4eefa62bedb6b41f06f297d6c50305ffa6c464c430bc	덕분에 여름방학이 거의 끝나버렸어		덕분에 여름방학이 거의 끝나버렸어	幾歳拭　食硯号俳戚　暗税　魁蟹獄携嬢		36	[]	imported	
STG0059/ID00003/000013	stage	STG0059	ID00003	13	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	갑아		코우지	坪酔走		6	[]	imported	
STG0059/ID00003/000014	stage	STG0059	ID00003	14	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	98969238b9693b2fa2ac5b1323da7a4b655a9c9026748054604034573af1b3c2	그래서, 매번 숙제는 손대지 않고...라고		그래서,매번처럼 숙제는 손도 안 댔고…	益掘辞，古腰坦軍　寿薦澗　謝亀　照　嬉壱…		42	[]	imported	
STG0059/ID00003/000015	stage	STG0059	ID00003	15	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
STG0059/ID00003/000016	stage	STG0059	ID00003	16	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	1a5268b63786422a67482cf6dc5cf55b11f4263af73621e1bbedc3622762e25e	그래, 이게		맞아,그래	限焼，益掘		10	[]	imported	
STG0059/ID00003/000017	stage	STG0059	ID00003	17	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0059/ID00003/000018	stage	STG0059	ID00003	18	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	1a8840fce1a7770b043e772509c80b053ca88617ac822524265d6e002f5dea78	와타 군...		왓타 군…	甚展　浦…		10	[]	imported	
STG0059/ID00003/000019	stage	STG0059	ID00003	19	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	267dcd60abffc71e0742ab5bd822285430553aaa90652570567208a446255b42	선생님...저 정도로 매일 조금씩이라도 좋으니까 숙제를		선생님…그렇게,매일 조금씩이라도 숙제를	識持還…益係惟，古析　繕榎梢戚虞亀　寿薦研		42	[]	imported	
STG0059/ID00003/000020	stage	STG0059	ID00003	20	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	09de1bdbde9eccd39c89a136ce2469e0842f0f24d273667ed58a594871e570e2	하라더니...		하라고 했는데…	馬虞壱　梅澗汽…		16	[]	imported	
STG0059/ID00003/000021	stage	STG0059	ID00003	21	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
STG0059/ID00003/000022	stage	STG0059	ID00003	22	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	7c7ea46f132b0f2b74ce53a20f7ad2d7ed0a85da07dce17ad660e3531d703675	그렇게는 말하지만,		그렇게 말하지만,	益係惟　源馬走幻，		18	[]	imported	
STG0059/ID00003/000023	stage	STG0059	ID00003	23	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	333f81f63efcc6968815d8d9aa23befbca13aa6aa1f525d7c7823225a9e8a370	핀치와 쇼크의 연속으로, 매우 그런 기분에		위기와 충격의 연속이라,도저히 그럴 기분이	是奄人　中維税　尻紗戚虞，亀煽備　益群　奄歳戚		46	[]	imported	
STG0059/ID00003/000024	stage	STG0059	ID00003	24	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	7ed4ced75d4b1102fddaf83b6aae19e5c1051417a26ef3e538f76611cb7e5471	될 수 없었어		아니었어	焼艦醸嬢		8	[]	imported	
STG0059/ID00003/000025	stage	STG0059	ID00003	25	01_스테이지 xlsx 모음/STG0059(36화B)-ID00003-script-통합.xlsx	8769d3b0c117da2fd5e93648f1941aa488d36c1417ceb15fa49f230af8d4b61f	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
