entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0036/ID00003/000004	stage	STG0036	ID00003	4	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	7d13ca62df51e5bf3b06fda4a190391d0a57b89a82d37e50fee25187c342d350	~자원위성 팔라우 고관용 집무실~		　　　　　～자원위성 팔라우 고관용 집무실～	　　　　　～切据是失　独虞酔　壱淫遂　増巷叔～		46	[]	imported	
STG0036/ID00003/000005	stage	STG0036	ID00003	5	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	8944b01b1fca445c7c63ebbd810f2125c1c284915cd32dda4ffb7b022b275f55	진네만		진네만	遭革幻		6	[]	imported	
STG0036/ID00003/000006	stage	STG0036	ID00003	6	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0036/ID00003/000007	stage	STG0036	ID00003	7	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	9acab409f5e89f36a7124612f37726a1f7e07204efcce930f2a6d40dbb5bd0bf	프론탈		프론탈	覗経纏		6	[]	imported	
STG0036/ID00003/000008	stage	STG0036	ID00003	8	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	94cf14abe6194501706a5be5c53545c547466909253d183e77f33f35900ba98f	옛 공국군 최후의 보루 아바오아 쿠에		구 공국군 최후의 보루,아・바오아・쿠에	姥　因厩浦　置板税　左欠，焼・郊神焼・庭拭		42	[]	imported	
STG0036/ID00003/000009	stage	STG0036	ID00003	9	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	79c4fd7559a6a6e60bfb619ca01418990c32e178386c4f41189f97b3a3f65480	이런 방이 있었대...		이런 방이 있었다고 하더군…	戚訓　号戚　赤醸陥壱　馬希浦…		30	[]	imported	
STG0036/ID00003/000010	stage	STG0036	ID00003	10	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	9acab409f5e89f36a7124612f37726a1f7e07204efcce930f2a6d40dbb5bd0bf	프론탈		프론탈	覗経纏		6	[]	imported	
STG0036/ID00003/000011	stage	STG0036	ID00003	11	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	a343675ad5f44165ae53f9748d9b3b137afea40bdc6735407b8d3c571e7d78e9	이 팔라우 총독은 구 지온공국의 열성적인 신파로 말이죠.		이 팔라우의 총독은 구 지온 공국의 열렬한	戚　独虞酔税　恥偽精　姥　走紳　因厩税　伸慶廃		46	[]	imported	
STG0036/ID00003/000012	stage	STG0036	ID00003	12	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	23caf685c3bf89d3adcf1d3fe5979ad0414f0b62274641a14dfd1a5e7cc43bc0	남의 후의는 순순히 받아야 한다.		신봉자라서 말이지.다른 사람의 호의는 순순히	重裟切虞辞　源戚走．陥献　紫寓税　硲税澗　授授備		48	[]	imported	
STG0036/ID00003/000013	stage	STG0036	ID00003	13	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	f549a12c83ea3fd4531a97d2843623eb689dbd80af75aef71431fa083b4cc288	취미에 맞지 않아도 말이야		받아들여야 하네.취향에 맞지 않더라도 말이지	閤焼級食醤　馬革．昼狽拭　限走　省希虞亀　源戚走		48	[]	imported	
STG0036/ID00003/000014	stage	STG0036	ID00003	14	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	9acab409f5e89f36a7124612f37726a1f7e07204efcce930f2a6d40dbb5bd0bf	프론탈		프론탈	覗経纏		6	[]	imported	
STG0036/ID00003/000015	stage	STG0036	ID00003	15	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	ae9ce1b8138928b42a231ae349c56ab47b0c693953b047b5afcb362966a04bc8	그것도 지도자의 소질의 하나라고 생각하고 있다		그것도 지도자의 자질 중 하나라고 생각하고 있네	益依亀　走亀切税　切霜　掻　馬蟹虞壱　持唖馬壱　赤革		52	[]	imported	
STG0036/ID00003/000016	stage	STG0036	ID00003	16	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	8944b01b1fca445c7c63ebbd810f2125c1c284915cd32dda4ffb7b022b275f55	진네만		진네만	遭革幻		6	[]	imported	
STG0036/ID00003/000017	stage	STG0036	ID00003	17	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	cb7c5e24be53a463ba81b22b7eacb14e305c6bef39c2ddab9811019afdf9c949	총수도 마찬가지일까요...		총수도 비슷한 건가요…	恥呪亀　搾汁廃　闇亜推…		24	[]	imported	
STG0036/ID00003/000018	stage	STG0036	ID00003	18	01_스테이지 xlsx 모음/STG0036(24화A)-ID00003-script-통합.xlsx	26e75fd76850597bec1061f53b2812b7585ae134a38f63924c787dfc658e996b	9acab409f5e89f36a7124612f37726a1f7e07204efcce930f2a6d40dbb5bd0bf	프론탈		프론탈	覗経纏		6	[]	imported	
