entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0261-41화후A분기/ID00003/000002	stage	STG0261-41화후A분기	ID00003	2	01_스테이지 xlsx 모음/STG0261(41화후A분기)-ID00003-script-통합.xlsx	a992914d29d82c18cb0ec05586b6b2d68c24f82f008814604b20ed4a8e1f9911	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0261-41화후A분기/ID00003/000003	stage	STG0261-41화후A분기	ID00003	3	01_스테이지 xlsx 모음/STG0261(41화후A분기)-ID00003-script-통합.xlsx	a992914d29d82c18cb0ec05586b6b2d68c24f82f008814604b20ed4a8e1f9911	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0261-41화후A분기/ID00003/000006	stage	STG0261-41화후A분기	ID00003	6	01_스테이지 xlsx 모음/STG0261(41화후A분기)-ID00003-script-통합.xlsx	a992914d29d82c18cb0ec05586b6b2d68c24f82f008814604b20ed4a8e1f9911	f8f79cfefa9e11706140035c0318ca52eac153121c751dc58da2ded78d29a199	　　　　　　　　　　~D 트레이더~		　　　　　　　　　　～D트레이더～	　　　　　　　　　　～Ｄ闘傾戚希～		34	[]	imported	
STG0261-41화후A분기/ID00003/000007	stage	STG0261-41화후A분기	ID00003	7	01_스테이지 xlsx 모음/STG0261(41화후A분기)-ID00003-script-통합.xlsx	a992914d29d82c18cb0ec05586b6b2d68c24f82f008814604b20ed4a8e1f9911	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0261-41화후A분기/ID00003/000008	stage	STG0261-41화후A분기	ID00003	8	01_스테이지 xlsx 모음/STG0261(41화후A분기)-ID00003-script-통합.xlsx	a992914d29d82c18cb0ec05586b6b2d68c24f82f008814604b20ed4a8e1f9911	63046b6d2f79db3fb5023eea5a55a6c4248686e33f9490f6fe5199ab5a95a575	자, 메리다 섬 쪽에서도 뭔가 움직임이 있었던 것 같습니다만,		자,메리다 섬 쪽에서도 무슨 움직임이 있었던 것	切，五軒陥　雫　楕拭辞亀　巷充　崇送績戚　赤醸揮　依		52	[]	imported	
STG0261-41화후A분기/ID00003/000009	stage	STG0261-41화후A분기	ID00003	9	01_스테이지 xlsx 모음/STG0261(41화후A분기)-ID00003-script-통합.xlsx	a992914d29d82c18cb0ec05586b6b2d68c24f82f008814604b20ed4a8e1f9911	e3cc80286224fef0fc70899c04159fdecb690377bc00f43b79d1b1d046a23f39	우선 $c는 보급, 정비의 문제도 있기 때문에		같지만,일단$c는 보급,정비	旭走幻，析舘$ｃ澗　左厭，舛搾		30	"[""$c""]"	imported	
STG0261-41화후A분기/ID00003/000010	stage	STG0261-41화후A분기	ID00003	10	01_스테이지 xlsx 모음/STG0261(41화후A분기)-ID00003-script-통합.xlsx	a992914d29d82c18cb0ec05586b6b2d68c24f82f008814604b20ed4a8e1f9911	6ed8ac0dbc02edab378a426e1c4ca9c01f28546fe78aea1a44b030187fa2d372	일본에 가는것 같아요		문제도 있으니 일본으로 향하는 모양입니다	庚薦亀　赤生艦　析沙生稽　狽馬澗　乞丞脊艦陥		44	[]	imported	
STG0261-41화후A분기/ID00003/000011	stage	STG0261-41화후A분기	ID00003	11	01_스테이지 xlsx 모음/STG0261(41화후A분기)-ID00003-script-통합.xlsx	a992914d29d82c18cb0ec05586b6b2d68c24f82f008814604b20ed4a8e1f9911	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0261-41화후A분기/ID00003/000012	stage	STG0261-41화후A분기	ID00003	12	01_스테이지 xlsx 모음/STG0261(41화후A분기)-ID00003-script-통합.xlsx	a992914d29d82c18cb0ec05586b6b2d68c24f82f008814604b20ed4a8e1f9911	11d142032a3e4debabeb2596d2e84711e31a63b96eccdf0aebde1600db65404c	거기에 기다리고 있는 것은 귀신인가, 악마인가….		거기서 기다리고 있는 것은 도깨비인가,악마인가…	暗奄辞　奄陥軒壱　赤澗　依精　亀凹搾昔亜，焦原昔亜…		52	[]	imported	
STG0261-41화후A분기/ID00003/000013	stage	STG0261-41화후A분기	ID00003	13	01_스테이지 xlsx 모음/STG0261(41화후A분기)-ID00003-script-통합.xlsx	a992914d29d82c18cb0ec05586b6b2d68c24f82f008814604b20ed4a8e1f9911	c35214e527cf6dff6e25f81771b3542ad508deded4896e2d2ec6300d97fd1c2b	또는 신인가…		아니면 신인가…	焼艦檎　重昔亜…		16	[]	imported	
STG0261-41화후A분기/ID00003/000014	stage	STG0261-41화후A분기	ID00003	14	01_스테이지 xlsx 모음/STG0261(41화후A분기)-ID00003-script-통합.xlsx	a992914d29d82c18cb0ec05586b6b2d68c24f82f008814604b20ed4a8e1f9911	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0261-41화후A분기/ID00003/000015	stage	STG0261-41화후A분기	ID00003	15	01_스테이지 xlsx 모음/STG0261(41화후A분기)-ID00003-script-통합.xlsx	a992914d29d82c18cb0ec05586b6b2d68c24f82f008814604b20ed4a8e1f9911	15aeb52092e66031453961a24d831c376560f0dc4ccdca5f0b1a4f8fc356a1a0	뭔가 하는 생각에 부추겨 버리기도 하고.		같은 생각을 들게끔 해보는 거지요	旭精　持唖聖　級惟懐　背左澗　暗走推		36	[]	imported	
STG0261-41화후A분기/ID00003/000016	stage	STG0261-41화후A분기	ID00003	16	01_스테이지 xlsx 모음/STG0261(41화후A분기)-ID00003-script-통합.xlsx	a992914d29d82c18cb0ec05586b6b2d68c24f82f008814604b20ed4a8e1f9911	25ea5fdc6f5d0c6f55f38125dc5bc8a9972960d734675f91057eabedffc8fa6c	그럼 오늘도 파이팅... 장사, 장사!		그럼 오늘도 힘내서…장사,장사!	益軍　神潅亀　毘鎧辞…舌紫，舌紫！		34	[]	imported	
