entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0252-35화후B분기/ID00003/000002	stage	STG0252-35화후B분기	ID00003	2	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0252-35화후B분기/ID00003/000003	stage	STG0252-35화후B분기	ID00003	3	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0252-35화후B분기/ID00003/000006	stage	STG0252-35화후B분기	ID00003	6	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	f8f79cfefa9e11706140035c0318ca52eac153121c751dc58da2ded78d29a199	　　　　　　　　　　~D 트레이더~		　　　　　　　　　　～D트레이더～	　　　　　　　　　　～Ｄ闘傾戚希～		34	[]	imported	
STG0252-35화후B분기/ID00003/000007	stage	STG0252-35화후B분기	ID00003	7	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0252-35화후B분기/ID00003/000008	stage	STG0252-35화후B분기	ID00003	8	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	7a0139867045d5fb337772ab43fb2853b05276ca298453d11901753de5b39681	$n상은 일본으로 가시는거죠?		$n님은,일본으로 향하시는 거죠?	$ｎ還精，析沙生稽　狽馬獣澗　暗倉？		36	"[""$n""]"	imported	
STG0252-35화후B분기/ID00003/000009	stage	STG0252-35화후B분기	ID00003	9	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0252-35화후B분기/ID00003/000010	stage	STG0252-35화후B분기	ID00003	10	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	5eccc9a8ae61e1eb5a0e0a96b181a30f8f3f32e3420fa9685d7d8e39c76a5d46	그렇게 정해졌다		그렇게 결정됐어	益係惟　衣舛菊嬢		16	[]	imported	
STG0252-35화후B분기/ID00003/000011	stage	STG0252-35화후B분기	ID00003	11	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0252-35화후B분기/ID00003/000012	stage	STG0252-35화후B분기	ID00003	12	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	5ab94b4a73576f5f3f3df1b4c00071f618f58e674b552e4a6ba57e54677f1b9b	어딜 가든 꼭 제미니스와 싸우게 될 거라고		어디를 가든,분명 제미니스와 싸우게 될 거라고	嬢巨研　亜窮，歳誤　薦耕艦什人　塾酔惟　吃　暗虞壱		50	[]	imported	
STG0252-35화후B분기/ID00003/000013	stage	STG0252-35화후B분기	ID00003	13	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	0e500dafdb0087990957fe4e33bd9443f4ed7b702998587a838e8c3872723b82	생각해요		생각해요	持唖背推		8	[]	imported	
STG0252-35화후B분기/ID00003/000014	stage	STG0252-35화후B분기	ID00003	14	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0252-35화후B분기/ID00003/000015	stage	STG0252-35화후B분기	ID00003	15	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	5d1915ab756822ffc7f47cee842e0ef773bab96e5a44e73dc0f1c0e67ab676a4	그 가돌라이트라는 남자...		그 가드라이트라는 남자… 굴절되어 있지만,	益　亜球虞戚闘虞澗　害切…　閏箭鞠嬢　赤走幻，		46	[]	imported	
STG0252-35화후B분기/ID00003/000016	stage	STG0252-35화후B분기	ID00003	16	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	bf6a51c921ee69187a9a8c9a57d508cb8edf238bd2a944aa823d5beaa6d75b7d	굴절되어있지만, 상당히 제니온과 $c를		상당히 제니온과 $c를	雌雁備　薦艦紳引　$ｃ研		24	"[""$c""]"	imported	
STG0252-35화후B분기/ID00003/000017	stage	STG0252-35화후B분기	ID00003	17	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	5e54ddbf6df353d5bb1a86104919f48ccd652d7a47dc00362fa25d5363dd6223	의식하고 있었던 것 같아서요		의식하고 있었던 것 같으니까요	税縦馬壱　赤醸揮　依　旭生艦猿推		32	[]	imported	
STG0252-35화후B분기/ID00003/000018	stage	STG0252-35화후B분기	ID00003	18	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0252-35화후B분기/ID00003/000019	stage	STG0252-35화후B분기	ID00003	19	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	3e74bf22abb0901f2e442be55fe5ee3f3c4ac85d7851aa636336290d5d0ed255	바라는 바이다.		바라던 바다	郊虞揮　郊陥		12	[]	imported	
STG0252-35화후B분기/ID00003/000020	stage	STG0252-35화후B분기	ID00003	20	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	687a29fc9163eda9d4e0899680d2cd3643cd3ecaeb4a72b84ccbb054f9b6d4df	이번에는 우리들의 제니온을 만만하게 본 녀석을		이번에는 우리 제니온을 얕본 녀석을	戚腰拭澗　酔軒　薦艦紳聖　乗沙　橿汐聖		38	[]	imported	
STG0252-35화후B분기/ID00003/000021	stage	STG0252-35화후B분기	ID00003	21	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	527970b3920b567d5e2bf4f9a0bc0d5c29a2b0aff0b0c3b8f985801e2d928ce7	후회하게 해줄 차례다		후회하게 만들 차례다	板噺馬惟　幻級　託景陥		22	[]	imported	
STG0252-35화후B분기/ID00003/000022	stage	STG0252-35화후B분기	ID00003	22	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0252-35화후B분기/ID00003/000023	stage	STG0252-35화후B분기	ID00003	23	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	8f8af692652c9e06fe3f2dc44d4596640b37890e8b4510f3bde6360b5ddcf72f	알겠습니다!		알겠습니다!	硝畏柔艦陥！		12	[]	imported	
STG0252-35화후B분기/ID00003/000024	stage	STG0252-35화후B분기	ID00003	24	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	1849393a49c3a9c21c9b951c9c19ad7a664c5d10dc6e8f846bef374fb40569db	나도 불타고 왔어요!		저도 뜨거워졌어요!	煽亀　襟暗趨然嬢推！		20	[]	imported	
STG0252-35화후B분기/ID00003/000025	stage	STG0252-35화후B분기	ID00003	25	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0252-35화후B분기/ID00003/000026	stage	STG0252-35화후B분기	ID00003	26	01_스테이지 xlsx 모음/STG0252(35화후B분기)-ID00003-script-통합.xlsx	53021c5a6abd6b71831e7f66575cf7994b6c432408f298b8946da3f2dc2f8cb8	831f3d00ad0e535f3d6828ee9ce9ac4df4d8bf330d3d2c705878ea0ce2a669fd	그러면 오늘도 파이팅... 장사, 장사!		그럼 오늘도 힘내서…장사,장사!	益軍　神潅亀　毘鎧辞…舌紫，舌紫！		34	[]	imported	
