entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0315/ID00003/000004	dlc	DLC0315	ID00003	4	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	75c2df393cfa6f60583b427222fc0cbe2780cc86f8e5a314ad16700866069580	~메리다섬 미스릴 서태평양전대본부 집무실~		～메리다섬  미스릴 서태평양 전대본부  집무실～	～五軒陥雫　　耕什険　辞殿汝丞　穿企沙採　　増巷叔～		52	[]	imported	
DLC0315/ID00003/000005	dlc	DLC0315	ID00003	5	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
DLC0315/ID00003/000006	dlc	DLC0315	ID00003	6	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
DLC0315/ID00003/000007	dlc	DLC0315	ID00003	7	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	6723de6793ab3c3c6eaffd9b7ade49006811707639a00de366a37256a8e9af1b	마오		마오	原神		4	[]	imported	
DLC0315/ID00003/000008	dlc	DLC0315	ID00003	8	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	175b155c484c791cdfdafd811648c6fc731d6ad7e3d785ef03b5d00d914a6f93	야, 테사...		있잖아,텟사…	赤摂焼，倒紫…		14	[]	imported	
DLC0315/ID00003/000009	dlc	DLC0315	ID00003	9	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
DLC0315/ID00003/000010	dlc	DLC0315	ID00003	10	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
DLC0315/ID00003/000011	dlc	DLC0315	ID00003	11	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	6723de6793ab3c3c6eaffd9b7ade49006811707639a00de366a37256a8e9af1b	마오		마오	原神		4	[]	imported	
DLC0315/ID00003/000012	dlc	DLC0315	ID00003	12	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	f7bbdc97be0461bd3ca4189ce6e33b2f84d34962b7d469ee513511a5f1f810b0	언니는...		있잖아…	赤摂焼…		8	[]	imported	
DLC0315/ID00003/000013	dlc	DLC0315	ID00003	13	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
DLC0315/ID00003/000014	dlc	DLC0315	ID00003	14	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	c38328b3a24f8da1ae172f4ffb9f8fb28744bc24ccbee1fa686facef8d55f2f7	…멜리사.		…멜리사	…午軒紫		8	[]	imported	
DLC0315/ID00003/000015	dlc	DLC0315	ID00003	15	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	4ab82091252be233a673743d75e716387d3c3ac73576fb4c4db9723ee5f3f101	확실히 나는 당신과 식사하러 가기로 약속을 했고,		확실히 저는 당신과 식사 약속을 했고	溌叔備　煽澗　雁重引　縦紫　鉦紗聖　梅壱		40	[]	imported	
DLC0315/ID00003/000016	dlc	DLC0315	ID00003	16	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	de9d46e896ebe0b472ee882f074d8ca793b51acaa50f53f0037d3c5f3426ab23	그 약속으로 이곳에 입실하는 것을 허락했습니다		그 만남의 장소로서,여기 입실을 허가했습니다	益　幻害税　舌社稽辞，食奄　脊叔聖　買亜梅柔艦陥		48	[]	imported	
DLC0315/ID00003/000017	dlc	DLC0315	ID00003	17	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
DLC0315/ID00003/000018	dlc	DLC0315	ID00003	18	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	05f7ae6a2315823f15727c6f7c6bea71092d2c51a29499fe8272fdc3da2f9ed3	하지만 음주와 흡연을 허락한 기억은 없어요!		하지만,음주와 흡연을 허가한 기억은 없습니다！	馬走幻，製爽人　罷尻聖　買亜廃　奄常精　蒸柔艦陥！		50	[]	imported	
DLC0315/ID00003/000019	dlc	DLC0315	ID00003	19	!DLC/DLC0315_cpk/DLC0315(DLC-15)-ID00003-script-통합.xlsx	8f0ee40cd0aab693785bbdc2a683b2dbc5f27bf32eaae4b0d157c188a9574ccf	6723de6793ab3c3c6eaffd9b7ade49006811707639a00de366a37256a8e9af1b	마오		마오	原神		4	[]	imported	
