entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0232-16화후B분기/ID00003/000002	stage	STG0232-16화후B분기	ID00003	2	01_스테이지 xlsx 모음/STG0232(16화후B분기)-ID00003-script-통합.xlsx	90b329fbdc311220ad5b6c66c6d3039a64386aaa43722d88135098c73c20c1a6	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0232-16화후B분기/ID00003/000003	stage	STG0232-16화후B분기	ID00003	3	01_스테이지 xlsx 모음/STG0232(16화후B분기)-ID00003-script-통합.xlsx	90b329fbdc311220ad5b6c66c6d3039a64386aaa43722d88135098c73c20c1a6	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0232-16화후B분기/ID00003/000006	stage	STG0232-16화후B분기	ID00003	6	01_스테이지 xlsx 모음/STG0232(16화후B분기)-ID00003-script-통합.xlsx	90b329fbdc311220ad5b6c66c6d3039a64386aaa43722d88135098c73c20c1a6	f8f79cfefa9e11706140035c0318ca52eac153121c751dc58da2ded78d29a199	　　　　　　　　　　～D트레이더～		　　　　　　　　　　～D트레이더～	　　　　　　　　　　～Ｄ闘傾戚希～		34	[]	imported	
STG0232-16화후B분기/ID00003/000007	stage	STG0232-16화후B분기	ID00003	7	01_스테이지 xlsx 모음/STG0232(16화후B분기)-ID00003-script-통합.xlsx	90b329fbdc311220ad5b6c66c6d3039a64386aaa43722d88135098c73c20c1a6	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	AG		AG	ＡＧ		4	[]	imported	
STG0232-16화후B분기/ID00003/000008	stage	STG0232-16화후B분기	ID00003	8	01_스테이지 xlsx 모음/STG0232(16화후B분기)-ID00003-script-통합.xlsx	90b329fbdc311220ad5b6c66c6d3039a64386aaa43722d88135098c73c20c1a6	2123058de5b7432b71a54874934e329dc5a5e35c74a8db380cf5ec864690a97b	자, $n 님들은		자, $n 님들은	切，　$ｎ　還級精		18	"[""$n""]"	imported	
STG0232-16화후B분기/ID00003/000009	stage	STG0232-16화후B분기	ID00003	9	01_스테이지 xlsx 모음/STG0232(16화후B분기)-ID00003-script-통합.xlsx	90b329fbdc311220ad5b6c66c6d3039a64386aaa43722d88135098c73c20c1a6	b2ea26f667fa2e7029e06fcbc2274b50c1b4cce81e209c76230e21b4a212f611	소스케 님의 안내로 외출하는 모양이군요		소스케 님의 안내로 외출하는 모양이군요	社什追　還税　照鎧稽　須窒馬澗　乞丞戚浦推		42	[]	imported	
STG0232-16화후B분기/ID00003/000010	stage	STG0232-16화후B분기	ID00003	10	01_스테이지 xlsx 모음/STG0232(16화후B분기)-ID00003-script-통합.xlsx	90b329fbdc311220ad5b6c66c6d3039a64386aaa43722d88135098c73c20c1a6	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	AG		AG	ＡＧ		4	[]	imported	
STG0232-16화후B분기/ID00003/000011	stage	STG0232-16화후B분기	ID00003	11	01_스테이지 xlsx 모음/STG0232(16화후B분기)-ID00003-script-통합.xlsx	90b329fbdc311220ad5b6c66c6d3039a64386aaa43722d88135098c73c20c1a6	7cb688eccb47b4ce8e14d9869115a3f4ca15534f3d94b25a1624a2116978c728	이런, 카나메 님은 아니지만		이런, 카나메 님은 아니지만	戚訓，　朝蟹五　還精　焼艦走幻		30	[]	imported	
STG0232-16화후B분기/ID00003/000012	stage	STG0232-16화후B분기	ID00003	12	01_스테이지 xlsx 모음/STG0232(16화후B분기)-ID00003-script-통합.xlsx	90b329fbdc311220ad5b6c66c6d3039a64386aaa43722d88135098c73c20c1a6	99c332f7d3934f90691dbb8eedaac4afe3927647fc0a8cdc21f0785a4a082b29	상당히 불안이 남습니다…		상당히 불안이 남습니다…	雌雁備　災照戚　害柔艦陥…		26	[]	imported	
STG0232-16화후B분기/ID00003/000013	stage	STG0232-16화후B분기	ID00003	13	01_스테이지 xlsx 모음/STG0232(16화후B분기)-ID00003-script-통합.xlsx	90b329fbdc311220ad5b6c66c6d3039a64386aaa43722d88135098c73c20c1a6	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	AG		AG	ＡＧ		4	[]	imported	
STG0232-16화후B분기/ID00003/000014	stage	STG0232-16화후B분기	ID00003	14	01_스테이지 xlsx 모음/STG0232(16화후B분기)-ID00003-script-통합.xlsx	90b329fbdc311220ad5b6c66c6d3039a64386aaa43722d88135098c73c20c1a6	a83f7f70ce0d986fa7a14058cd1a0138e026e07a6aca4c7077b757ae51683f78	뭐 예상대로라면 예상대로지만요		뭐 예상대로라면 예상대로지만요	更　森雌企稽虞檎　森雌企稽走幻推		32	[]	imported	
STG0232-16화후B분기/ID00003/000015	stage	STG0232-16화후B분기	ID00003	15	01_스테이지 xlsx 모음/STG0232(16화후B분기)-ID00003-script-통합.xlsx	90b329fbdc311220ad5b6c66c6d3039a64386aaa43722d88135098c73c20c1a6	4ff91a4d945a16b1c87e1acdb56f009193acc228aee743ad31b4f63bb7068596	그럼 저는 오늘도 기운차게… 장사, 장사!		그럼 저는 오늘도 기운차게… 장사, 장사!	益軍　煽澗　神潅亀　奄錘託惟…　舌紫，　舌紫！		46	[]	imported	
