entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0052/Sheet1/000002	stage	STG0052	Sheet1	2	01_스테이지 xlsx 모음/STG0052(34화)-ID00003-ID00007-sjis.xlsx	865bf7b6f54adc0a6a531df4ddc88fa4f5511cff95c514d37e7f97668a59c4b9	43a08088108323f3641eac24bb9b434165fb92c4f23841b03e6a4f27b08e08f2		낙원의 감시자	낙원의 감시자	開据税⑲姶獣切	64		"[""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	blocked	제어 토큰 불일치(추가=⑲)
STG0052/Sheet1/000003	stage	STG0052	Sheet1	3	01_스테이지 xlsx 모음/STG0052(34화)-ID00003-ID00007-sjis.xlsx	865bf7b6f54adc0a6a531df4ddc88fa4f5511cff95c514d37e7f97668a59c4b9	2e69c550b16ff4f5960b513ca9c399987aa8ce92bdaeb6d3e67367d1b170516b		슬픈 남겨진 사람들	슬픈 남겨진 사람들	十蚤⑲害移遭⑲紫寓級	64		"[""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	blocked	제어 토큰 불일치(추가=⑲,⑲)
STG0052/Sheet1/000004	stage	STG0052	Sheet1	4	01_스테이지 xlsx 모음/STG0052(34화)-ID00003-ID00007-sjis.xlsx	865bf7b6f54adc0a6a531df4ddc88fa4f5511cff95c514d37e7f97668a59c4b9	eaf58d85aaf1a5cefd22c006e5c10f0ac9640f1ea2ac6f1206aca8dd5c3b12c6		그러니, 적어도 당신들만이라도……	그러니, 적어도 당신들만이라도……	益君艦，旋嬢亀⑲雁重級幻戚虞亀……	1152		"[""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	blocked	제어 토큰 불일치(추가=⑲)
STG0052/ID00003/000004	stage	STG0052	ID00003	4	01_스테이지 xlsx 모음/STG0052(34화)-ID00003-script-통합.xlsx	b3573e478e2b544f241046b4bfb258c85a638a763788b2723982a84a729bd3ab	bd519ae2b01ebda5b8d731cdb5902e778ba7896d25fcd9442f205012e9ae53d8	~프톨레마이오스 2개 브리핑룸~		　　　～프톨레마이오스 2개 브리핑룸～	　　　～覗島傾原戚神什　２鯵　崎軒芭結～		40	[]	imported	
STG0052/ID00003/000005	stage	STG0052	ID00003	5	01_스테이지 xlsx 모음/STG0052(34화)-ID00003-script-통합.xlsx	b3573e478e2b544f241046b4bfb258c85a638a763788b2723982a84a729bd3ab	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0052/ID00003/000006	stage	STG0052	ID00003	6	01_스테이지 xlsx 모음/STG0052(34화)-ID00003-script-통합.xlsx	b3573e478e2b544f241046b4bfb258c85a638a763788b2723982a84a729bd3ab	ad1fd301b25441b3661855874249d6ecfe1dbafadface06d89ad63cdf4060ebb	이상이 우리가 패러다임 시티에서 조우한		…이상이 우리들이 패러다임 시티에서 조우한	…戚雌戚　酔軒級戚　鳶君陥績　獣銅拭辞　繕酔廃		46	[]	imported	
STG0052/ID00003/000007	stage	STG0052	ID00003	7	01_스테이지 xlsx 모음/STG0052(34화)-ID00003-script-통합.xlsx	b3573e478e2b544f241046b4bfb258c85a638a763788b2723982a84a729bd3ab	e018cba8cfbc7e5a0e74cc79959031ade1b299b904fa9d46224890964bc7d236	일련의 사건들에 대한 자세한 내용입니다		일련의 사건의 상세 내역입니다	析恵税　紫闇税　雌室　鎧蝕脊艦陥		32	[]	imported	
STG0052/ID00003/000008	stage	STG0052	ID00003	8	01_스테이지 xlsx 모음/STG0052(34화)-ID00003-script-통합.xlsx	b3573e478e2b544f241046b4bfb258c85a638a763788b2723982a84a729bd3ab	7264a67e4a6d3193167a415524605430081376b98dd87cd62cadc9bf34ddef44	테사		텟사	倒紫		4	[]	imported	
STG0052/ID00003/000009	stage	STG0052	ID00003	9	01_스테이지 xlsx 모음/STG0052(34화)-ID00003-script-통합.xlsx	b3573e478e2b544f241046b4bfb258c85a638a763788b2723982a84a729bd3ab	6140662eab4cffd0e6deae945c4d44cdae50c80a50e759325376ecca05a2ed51	수고 많으셨습니다。		수고하셨습니다	呪壱馬写柔艦陥		14	[]	imported	
STG0052/ID00003/000010	stage	STG0052	ID00003	10	01_스테이지 xlsx 모음/STG0052(34화)-ID00003-script-통합.xlsx	b3573e478e2b544f241046b4bfb258c85a638a763788b2723982a84a729bd3ab	b6d82d1abf65c90678aaac6ca2899c3e965008deb3b87dab4302667bcb0d1da3	일단은 이렇게 무사히 여러분이 귀환하셨다는 걸		우선 이렇게 무사히 여러분이 귀환하신 것을	酔識　戚係惟　巷紫備　食君歳戚　瑛発馬重　依聖		46	[]	imported	
