entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0308/ID00003/000004	dlc	DLC0308	ID00003	4	!DLC/DLC0308_cpk/DLC0308(DLC-08)-ID00003-script-통합.xlsx	70d82848915e54c8483a218c3810d34ad4ece8b54ac90dd3cc6cc354fc6e0f3c	b1c14da0f0d5a6173b3dc41b62238db1298cca4c39a01b9e8449f8e9605a331a	~넬 아가마 브리핑룸~		　　　～넬・아가마 브리핑룸～	　　　～楽・焼亜原　崎軒芭結～		30	[]	imported	
DLC0308/ID00003/000005	dlc	DLC0308	ID00003	5	!DLC/DLC0308_cpk/DLC0308(DLC-08)-ID00003-script-통합.xlsx	70d82848915e54c8483a218c3810d34ad4ece8b54ac90dd3cc6cc354fc6e0f3c	fc7931c25e37b8b170dced5d7d48995dd0fb0a34946fbea7c5f3298dafcf5423	신		신	重		2	[]	imported	
DLC0308/ID00003/000006	dlc	DLC0308	ID00003	6	!DLC/DLC0308_cpk/DLC0308(DLC-08)-ID00003-script-통합.xlsx	70d82848915e54c8483a218c3810d34ad4ece8b54ac90dd3cc6cc354fc6e0f3c	3da13e2b4273ad5471bf27e5d05c3c3d789a6860baab4219f4b58bf66ed8b063	그럼 히이로는 사이드4의 사건 전에도		…그럼,히이로는 사이드4의 사건 전에도	…益軍，備戚稽澗　紫戚球４税　紫闇　穿拭亀		42	[]	imported	
DLC0308/ID00003/000007	dlc	DLC0308	ID00003	7	!DLC/DLC0308_cpk/DLC0308(DLC-08)-ID00003-script-통합.xlsx	70d82848915e54c8483a218c3810d34ad4ece8b54ac90dd3cc6cc354fc6e0f3c	c9272bfa0c258fe9dbb434b0162e7384655f519fd394fe9ac6f0942d04c6978a	찰나랑 만나고 있었어?		세츠나와 만났었던 건가?	室苧蟹人　幻概醸揮　闇亜？		26	[]	imported	
DLC0308/ID00003/000008	dlc	DLC0308	ID00003	8	!DLC/DLC0308_cpk/DLC0308(DLC-08)-ID00003-script-통합.xlsx	70d82848915e54c8483a218c3810d34ad4ece8b54ac90dd3cc6cc354fc6e0f3c	7a03d8b917cd4eb72df60734e6a993fcc7d22977e4b93342f637fc125fc8ab8e	히이로		히이로	備戚稽		6	[]	imported	
DLC0308/ID00003/000009	dlc	DLC0308	ID00003	9	!DLC/DLC0308_cpk/DLC0308(DLC-08)-ID00003-script-통합.xlsx	70d82848915e54c8483a218c3810d34ad4ece8b54ac90dd3cc6cc354fc6e0f3c	83017950e58bfb6f2a36486c275421b8120cead0ea0665068262cf6d33a9a3b0	아아……		응…	誓…		4	[]	imported	
DLC0308/ID00003/000010	dlc	DLC0308	ID00003	10	!DLC/DLC0308_cpk/DLC0308(DLC-08)-ID00003-script-통합.xlsx	70d82848915e54c8483a218c3810d34ad4ece8b54ac90dd3cc6cc354fc6e0f3c	a23753fe36e82b72471f5b64e2aa17ae4dbd83447327d0e2425facf6b5639b07	화		화	鉢		2	[]	imported	
DLC0308/ID00003/000011	dlc	DLC0308	ID00003	11	!DLC/DLC0308_cpk/DLC0308(DLC-08)-ID00003-script-통합.xlsx	70d82848915e54c8483a218c3810d34ad4ece8b54ac90dd3cc6cc354fc6e0f3c	bd9cb6a81414056d5066dcf6e3ed7fcb1bd7de6fdd25c19503fa5c9b145e8d9c	그런 일이 있었다면,		그런 일이 있었다면	益訓　析戚　赤醸陥檎		20	[]	imported	
DLC0308/ID00003/000012	dlc	DLC0308	ID00003	12	!DLC/DLC0308_cpk/DLC0308(DLC-08)-ID00003-script-통합.xlsx	70d82848915e54c8483a218c3810d34ad4ece8b54ac90dd3cc6cc354fc6e0f3c	5bceac4ceb029106223155a8f17653a523c0793d446bdabb68769456dde87fe2	얘기해줘도 좋았잖아...		말해줬어도 좋았잖아…	源背早嬢亀　疏紹摂焼…		22	[]	imported	
DLC0308/ID00003/000013	dlc	DLC0308	ID00003	13	!DLC/DLC0308_cpk/DLC0308(DLC-08)-ID00003-script-통합.xlsx	70d82848915e54c8483a218c3810d34ad4ece8b54ac90dd3cc6cc354fc6e0f3c	190f638ba39892254a944d2a0f9527021e515af3a2cc6a1ec9e1bbeebd4307fc	듀오		듀오	朽神		4	[]	imported	
DLC0308/ID00003/000014	dlc	DLC0308	ID00003	14	!DLC/DLC0308_cpk/DLC0308(DLC-08)-ID00003-script-통합.xlsx	70d82848915e54c8483a218c3810d34ad4ece8b54ac90dd3cc6cc354fc6e0f3c	22a13d419d5dd929dcf7caa854da59f1e760b051e1971395e8b7d727ad213f50	뭐.. 얘한테 그런 마음 씀씀이를 구해도		뭐… 녀석에게 그런 배려를 바라는 것도	更…　橿汐拭惟　益訓　壕形研　郊虞澗　依亀		42	[]	imported	
DLC0308/ID00003/000015	dlc	DLC0308	ID00003	15	!DLC/DLC0308_cpk/DLC0308(DLC-08)-ID00003-script-통합.xlsx	70d82848915e54c8483a218c3810d34ad4ece8b54ac90dd3cc6cc354fc6e0f3c	27ed240bc51a43d42572c096ed1ade34209e895223552cfc1808dcad63208c03	헛수고란 말이야		무리라는 거지	巷軒虞澗　暗走		14	[]	imported	
DLC0308/ID00003/000016	dlc	DLC0308	ID00003	16	!DLC/DLC0308_cpk/DLC0308(DLC-08)-ID00003-script-통합.xlsx	70d82848915e54c8483a218c3810d34ad4ece8b54ac90dd3cc6cc354fc6e0f3c	9f6eb77d0cdcada3c71fcdb67d8f4d15f15485eb3534fa9b6669026eaa997fec	카밀		카미유	朝耕政		6	[]	imported	
