entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0222-9화후B분기/ID00003/000002	stage	STG0222-9화후B분기	ID00003	2	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n			$ｎ		4	"[""$n""]"	imported	
STG0222-9화후B분기/ID00003/000003	stage	STG0222-9화후B분기	ID00003	3	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………			………		6	[]	imported	
STG0222-9화후B분기/ID00003/000006	stage	STG0222-9화후B분기	ID00003	6	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	f8f79cfefa9e11706140035c0318ca52eac153121c751dc58da2ded78d29a199	　　　　　　　　　　~D 트레이더~			　　　　　　　　　　～Ｄ闘傾戚希～		34	[]	imported	
STG0222-9화후B분기/ID00003/000007	stage	STG0222-9화후B분기	ID00003	7	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ			ＡＧ		4	[]	imported	
STG0222-9화후B분기/ID00003/000008	stage	STG0222-9화후B분기	ID00003	8	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	6cfd263a2e2c4e314e116bc7ef0cfe405416fb1595f42fa4a77c043aa10525b2	들었어요, $n씨.			級醸嬢推，$ｎ　松		18	"[""$n""]"	imported	
STG0222-9화후B분기/ID00003/000009	stage	STG0222-9화후B분기	ID00003	9	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	f1a93eb85b065fc85e3ff073643bbb7f268feb56ef8c05f0dce2ddb33230dfb3	일본에 남으시다면서요			析沙拭　害生重陥檎辞推		22	[]	imported	
STG0222-9화후B분기/ID00003/000010	stage	STG0222-9화후B분기	ID00003	10	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n			$ｎ		4	"[""$n""]"	imported	
STG0222-9화후B분기/ID00003/000011	stage	STG0222-9화후B분기	ID00003	11	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	83017950e58bfb6f2a36486c275421b8120cead0ea0665068262cf6d33a9a3b0	아아……			焼焼…		6	[]	imported	
STG0222-9화후B분기/ID00003/000012	stage	STG0222-9화후B분기	ID00003	12	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ			ＡＧ		4	[]	imported	
STG0222-9화후B분기/ID00003/000013	stage	STG0222-9화후B분기	ID00003	13	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	b23256e44db7f8575fdbc2488bb250e5912a06ded8c62ff063ce829d86f751d5	하지만 쿼터도 넬 아가마도			馬走幻，汀斗亀　楽・焼亜原亀		28	[]	imported	
STG0222-9화후B분기/ID00003/000014	stage	STG0222-9화후B분기	ID00003	14	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	38c688d9b3989805823c8039f5007d1cf6a06ee24eb291bedf5a785e47ebf7ae	다른 행동이 된다면, 나도 모함이 없네요			魚稽　楳疑廃陥檎，煽費級…乞敗戚　蒸摂焼推		42	[]	imported	
STG0222-9화후B분기/ID00003/000015	stage	STG0222-9화후B분기	ID00003	15	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n			$ｎ		4	"[""$n""]"	imported	
STG0222-9화후B분기/ID00003/000016	stage	STG0222-9화후B분기	ID00003	16	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	3e7aa29e7c31795811b5469d94923c2fc4d8b3e0436ef95d09c869f729975100	이즈의 크러셔대 기지에서			戚綜税　滴掘偲企　奄走拭辞		26	[]	imported	
STG0222-9화후B분기/ID00003/000017	stage	STG0222-9화후B분기	ID00003	17	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	13ccaa0faa9601ecd3dbebcfb11abb106e783ffee552662a8f251811ae596837	직접 출동이 되겠지			郊稽　窒疑馬惟　吃　暗醤		24	[]	imported	
STG0222-9화후B분기/ID00003/000018	stage	STG0222-9화후B분기	ID00003	18	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ			ＡＧ		4	[]	imported	
STG0222-9화후B분기/ID00003/000019	stage	STG0222-9화후B분기	ID00003	19	01_스테이지 xlsx 모음/STG0222(9화후B분기)-ID00003-script-통합.xlsx	96cbeeb06704eaa14df1accff2242dd5ea013031c030c272d3108d0863a37d7b	d81a4130687379bd757666894c7a2a59c43fb7b1eef585eb256fb7608ab9eb11	그럼, 나…이즈(伊豆)에 부재중이신가요?			益軍，煽…戚綜拭　害澗　闇亜推？		32	[]	imported	
