entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0077/ID00003/000004	stage	STG0077	ID00003	4	01_스테이지 xlsx 모음/STG0077(48화A)-ID00003-script-통합.xlsx	0eb7d50cf63ad2341ffebf6a4049203e257ffdc522ce65566f24921651b698c1	bb1f6297724e9620197fcfc50088861365af445bc5a7efa6d137fafb0f3ca1b0	~로난 마세나스 사저~		　　　　　　　～로난・마세나스 사저～	　　　　　　　～稽貝・原室蟹什　紫煽～		38	[]	imported	
STG0077/ID00003/000005	stage	STG0077	ID00003	5	01_스테이지 xlsx 모음/STG0077(48화A)-ID00003-script-통합.xlsx	0eb7d50cf63ad2341ffebf6a4049203e257ffdc522ce65566f24921651b698c1	003dca48a5271e813a28dd7e63fbc0318f4ad8b97ad93c2e97cd1c2eb6fbd672	미네바		미네바	耕革郊		6	[]	imported	
STG0077/ID00003/000006	stage	STG0077	ID00003	6	01_스테이지 xlsx 모음/STG0077(48화A)-ID00003-script-통합.xlsx	0eb7d50cf63ad2341ffebf6a4049203e257ffdc522ce65566f24921651b698c1	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0077/ID00003/000007	stage	STG0077	ID00003	7	01_스테이지 xlsx 모음/STG0077(48화A)-ID00003-script-통합.xlsx	0eb7d50cf63ad2341ffebf6a4049203e257ffdc522ce65566f24921651b698c1	8f97154540e5549f38768c706329ae1d14cf275cd2c0b8b77a34f1e73612996a	리디		리디	軒巨		4	[]	imported	
STG0077/ID00003/000008	stage	STG0077	ID00003	8	01_스테이지 xlsx 모음/STG0077(48화A)-ID00003-script-통합.xlsx	0eb7d50cf63ad2341ffebf6a4049203e257ffdc522ce65566f24921651b698c1	0cc96bea300a94515a14a6c43d3b3450bd81cb80b1f01b5579e47174ebbaee17	…유니콘은 네오디온에게 포획되었다고 한다		…유니콘은 네오・지온에게 포획당했다고 한다	…政艦嬬精　革神・走紳拭惟　匂塙雁梅陥壱　廃陥		46	[]	imported	
STG0077/ID00003/000009	stage	STG0077	ID00003	9	01_스테이지 xlsx 모음/STG0077(48화A)-ID00003-script-통합.xlsx	0eb7d50cf63ad2341ffebf6a4049203e257ffdc522ce65566f24921651b698c1	003dca48a5271e813a28dd7e63fbc0318f4ad8b97ad93c2e97cd1c2eb6fbd672	미네바		미네바	耕革郊		6	[]	imported	
STG0077/ID00003/000010	stage	STG0077	ID00003	10	01_스테이지 xlsx 모음/STG0077(48화A)-ID00003-script-통합.xlsx	0eb7d50cf63ad2341ffebf6a4049203e257ffdc522ce65566f24921651b698c1	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0077/ID00003/000011	stage	STG0077	ID00003	11	01_스테이지 xlsx 모음/STG0077(48화A)-ID00003-script-통합.xlsx	0eb7d50cf63ad2341ffebf6a4049203e257ffdc522ce65566f24921651b698c1	8f97154540e5549f38768c706329ae1d14cf275cd2c0b8b77a34f1e73612996a	리디		리디	軒巨		4	[]	imported	
STG0077/ID00003/000012	stage	STG0077	ID00003	12	01_스테이지 xlsx 모음/STG0077(48화A)-ID00003-script-통합.xlsx	0eb7d50cf63ad2341ffebf6a4049203e257ffdc522ce65566f24921651b698c1	1d1b3b5b4ada660973f3db6ff860621f19053bce385ddba7567d2ab8f63416f7	상자의 행방이 걱정돼?		상자의 행방이 걱정되는 건가?	雌切税　楳号戚　案舛鞠澗　闇亜？		32	[]	imported	
STG0077/ID00003/000013	stage	STG0077	ID00003	13	01_스테이지 xlsx 모음/STG0077(48화A)-ID00003-script-통합.xlsx	0eb7d50cf63ad2341ffebf6a4049203e257ffdc522ce65566f24921651b698c1	fd64ad722cfef3d14b38b714d242aa66c83c191410e9aa2c64f442dd4c0304b3	아니면 바나지가...		아니면 버나지가…	焼艦檎　獄蟹走亜…		18	[]	imported	
STG0077/ID00003/000014	stage	STG0077	ID00003	14	01_스테이지 xlsx 모음/STG0077(48화A)-ID00003-script-통합.xlsx	0eb7d50cf63ad2341ffebf6a4049203e257ffdc522ce65566f24921651b698c1	003dca48a5271e813a28dd7e63fbc0318f4ad8b97ad93c2e97cd1c2eb6fbd672	미네바		미네바	耕革郊		6	[]	imported	
