entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0309/ID00003/000004	dlc	DLC0309	ID00003	4	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	e55fb77d95cc837aaa2f7db922eeecbd725f0e670f41a60fdd1159d1994d77e3	~라카이람 브리핑룸~		　　　　～라・카이람　브리핑룸～	　　　　～虞・朝戚寓　崎軒芭結～		32	[]	imported	
DLC0309/ID00003/000005	dlc	DLC0309	ID00003	5	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	0809e902288fd530b039e4e7fab7574e60ab089cc228349e4cb8bad432f0a05b	아무로		아무로	焼巷稽		6	[]	imported	
DLC0309/ID00003/000006	dlc	DLC0309	ID00003	6	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	659885866cf262fb7d57606b5e0015d3256bf3896e13697e17eb77d530ec6c59	마음의 케어?		마음의 케어?	原製税　追嬢？		14	[]	imported	
DLC0309/ID00003/000007	dlc	DLC0309	ID00003	7	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	312cbf08471d115ce4c64d4d13c26244573ad89cf655bedb2fe047a3fe92fb5f	브라이트		브라이트	崎虞戚闘		8	[]	imported	
DLC0309/ID00003/000008	dlc	DLC0309	ID00003	8	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	0b56532f07ce7754ff2f1f8589318a316f83f6608fa3116b2ae1a7c44251d1ec	진무소의 죽음에 젊은 친구들이 동요하고 있는 것이지		진・무소우의 죽음에 젊은 친구들이 동요하고 있어	遭・巷社酔税　宋製拭　線精　庁姥級戚　疑推馬壱　赤嬢		52	[]	imported	
DLC0309/ID00003/000009	dlc	DLC0309	ID00003	9	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	312cbf08471d115ce4c64d4d13c26244573ad89cf655bedb2fe047a3fe92fb5f	브라이트		브라이트	崎虞戚闘		8	[]	imported	
DLC0309/ID00003/000010	dlc	DLC0309	ID00003	10	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	294d2a55b226d9e2f948705c94c070f72811c58df111a8796bc9a5ba009751e4	엘리먼트는 부동총사령의 특훈으로 어떻게 되었으나,		엘리먼트 쪽은 후도 총사령관의 특훈으로 어떻게든	燭軒胡闘　楕精　板亀　恥紫敬淫税　働汎生稽　嬢胸惟窮		52	[]	imported	
DLC0309/ID00003/000011	dlc	DLC0309	ID00003	11	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	44c5c01295aaa296a661b92c0abf51ed5daf710db199ade5bbdbcc4052274170	아직 다 채우지 않은 사람도 있다		되었지만 아직 극복하지 못한 자들도 있어	鞠醸走幻　焼送　駅差馬走　公廃　切級亀　赤嬢		44	[]	imported	
DLC0309/ID00003/000012	dlc	DLC0309	ID00003	12	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	0809e902288fd530b039e4e7fab7574e60ab089cc228349e4cb8bad432f0a05b	아무로		아무로	焼巷稽		6	[]	imported	
DLC0309/ID00003/000013	dlc	DLC0309	ID00003	13	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	d6337f000abb4a88beab0e6dfa792d3540436c420dcc8fe5d6932d408a6762e4	그건 아는데 그 역할을 내가 하는 거야?		그건 알겠지만,그 역할을 내가 하는 건가?	益闇　硝畏走幻，益　蝕拝聖　鎧亜　馬澗　闇亜？		46	[]	imported	
DLC0309/ID00003/000014	dlc	DLC0309	ID00003	14	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	312cbf08471d115ce4c64d4d13c26244573ad89cf655bedb2fe047a3fe92fb5f	브라이트		브라이트	崎虞戚闘		8	[]	imported	
DLC0309/ID00003/000015	dlc	DLC0309	ID00003	15	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	b79d462f5ddd230a5c36fe56be5eb19c79c92e98d77f4244b95feb209d0fd3ce	또 누가 있지?		다른 누가 있지?	陥献　刊亜　赤走？		18	[]	imported	
DLC0309/ID00003/000016	dlc	DLC0309	ID00003	16	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	0809e902288fd530b039e4e7fab7574e60ab089cc228349e4cb8bad432f0a05b	아무로		아무로	焼巷稽		6	[]	imported	
DLC0309/ID00003/000017	dlc	DLC0309	ID00003	17	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	0a29ff163512e2afd5e8596813ab781e0ea1e9bb25fa0a3a91673d0152145b5b	하지만…		하지만…	馬走幻…		8	[]	imported	
DLC0309/ID00003/000018	dlc	DLC0309	ID00003	18	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	312cbf08471d115ce4c64d4d13c26244573ad89cf655bedb2fe047a3fe92fb5f	브라이트		브라이트	崎虞戚闘		8	[]	imported	
DLC0309/ID00003/000019	dlc	DLC0309	ID00003	19	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	c6970363d5ad7af70aabc608ea6fb1115b2be9a7658066c8023a465e25391ae5	너도 언제까지나 소년병도 아닐세.		너도 언제까지나 소년병일 수는 없잖아	格亀　情薦猿走蟹　社鰍佐析　呪澗　蒸摂焼		40	[]	imported	
DLC0309/ID00003/000020	dlc	DLC0309	ID00003	20	!DLC/DLC0309_cpk/DLC0309(DLC-09)-ID00003-script-통합.xlsx	67ba88b909a8aa6009568e4673fc1adb554f02814544bf68950f17b9f96ebee7	b05eee5176177e935934a65908f7b4b0596f6edc6036b14929a352b7f8d23923	직함도 론도 벨의 모빌 슈트 대대장이다		직함도 론도・벨의 모빌슈트 부대 대장이라고	送敗亀　経亀・婚税　乞柵輯闘　採企　企舌戚虞壱		46	[]	imported	
