entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0004/ID00003/000004	stage	STG0004	ID00003	4	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	80523c77dfcf5f8368c0938aeccd6875eb03e604444d955153f95a3596d68377	～다케오 제너럴 컴퍼니～	　　　　　~타케오 제너럴 컴퍼니～	　　　　　~타케오 제너럴 컴퍼니～	　　　　　～展追神　薦格群　陳遁艦～		36	[]	imported	
STG0004/ID00003/000005	stage	STG0004	ID00003	5	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타	왓타	왓타	甚展		4	[]	imported	
STG0004/ID00003/000006	stage	STG0004	ID00003	6	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	c32fbe7bd474644e77d0a3c832e68876d6c336b1cf85d3a688df3e96ae35930c	이봐,전무…	저기,전무…	저기,전무…	煽奄　穿巷…		12	[]	imported	
STG0004/ID00003/000007	stage	STG0004	ID00003	7	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	938f70355a57ce58d607b309a4e407b1168931c603ae2c126e7d5442f761263b	감코우지	카키코우지	카키코우지	朝徹坪酔走		10	[]	imported	
STG0004/ID00003/000008	stage	STG0004	ID00003	8	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	9ef10439d1aa835566e369d34fc48a7aa68712a62d51003721d65415ea16825f	무엇입니까,사장?	무슨 일이십니까,사장님?	무슨 일이십니까,사장님?	巷充　析戚淑艦猿，紫舌還？		26	[]	imported	
STG0004/ID00003/000009	stage	STG0004	ID00003	9	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타	왓타	왓타	甚展		4	[]	imported	
STG0004/ID00003/000010	stage	STG0004	ID00003	10	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	034d0fa6bc53248482d5cbdb56deeb707b3d242b1ebf1b2b6d2fb80bd1cc100b	요즘,히마군요…	요즘,한가하지…	요즘,한가하지…	推葬　廃亜馬走…		16	[]	imported	
STG0004/ID00003/000011	stage	STG0004	ID00003	11	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	938f70355a57ce58d607b309a4e407b1168931c603ae2c126e7d5442f761263b	감코우지	카키코우지	카키코우지	朝徹坪酔走		10	[]	imported	
STG0004/ID00003/000012	stage	STG0004	ID00003	12	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	cdb6e9dc2683034fd91627f3da3e386c942064c845bc295180b726e180bb2599	일 요청이 없으면 어쩔 수 없습니다.	일이 들어오지 않는 이상,어쩔 수 없지 않습니까.	일이 들어오지 않는 이상,어쩔 수 없지 않습니까.	析税　税軽亜　蒸澗　戚雌　嬢多　呪　蒸走　省柔艦猿		50	[]	imported	
STG0004/ID00003/000013	stage	STG0004	ID00003	13	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타	왓타	왓타	甚展		4	[]	imported	
STG0004/ID00003/000014	stage	STG0004	ID00003	14	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	2b2562e6ff365824114b50a230e4d1b2a143c9e260cccb001f44390e3c655d61	마사타로는 다양하게 바쁘고 있는데?	쇼타로는 이것저것 바쁘게 지내는데?	쇼타로는 이것저것 바쁘게 지내는데?	珠展稽澗　食君　亜走稽　郊孜惟　走鎧澗汽？		42	[]	imported	
STG0004/ID00003/000015	stage	STG0004	ID00003	15	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	20bf01ad41f81658c24587e3c1b3801f1d6a91f53582f842b40e66bd535c95d2	아츠이	아츠이	아츠이	焼苧戚		6	[]	imported	
STG0004/ID00003/000016	stage	STG0004	ID00003	16	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	d2472877a160d184bfb45540ac1d8bd5a0819d522e5ad16d9bfd11c384e7f370	마사타로 군은 ICPO의 수사관이고.	쇼타로 군은 ICP의 수사관이니까요.	쇼타로 군은 ICP의 수사관이니까요.	珠展稽浦精　ＩＣＰＯ税　呪紫淫戚艦猿推		38	[]	imported	
STG0004/ID00003/000017	stage	STG0004	ID00003	17	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	929d601618248c204a10f41e910710549280750bbd5c330dfc13fc184c879cea	나쁜 사람이 나타나면 바빠질 것입니다.	악당이 나타나면 바빠지겠죠.	악당이 나타나면 바빠지겠죠.	焦雁戚　蟹展蟹檎　郊匙走畏倉		28	[]	imported	
STG0004/ID00003/000018	stage	STG0004	ID00003	18	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	938f70355a57ce58d607b309a4e407b1168931c603ae2c126e7d5442f761263b	감코우지	카키코우지	카키코우지	朝徹坪酔走		10	[]	imported	
STG0004/ID00003/000019	stage	STG0004	ID00003	19	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	2e32279a7a8d33f713209ba6bca9c7badfaac80287dc1be5793731b0b92e57d6	그에 비해 우리는 기업이니까요.	그에 비해,저희는 기업입니다.	그에 비해,저희는 기업입니다.	益拭　搾背　煽費澗　奄穣戚艦猿推		32	[]	imported	
STG0004/ID00003/000020	stage	STG0004	ID00003	20	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	6fca56b220d2fe2ff1d14736e5d0a9b9149aa988633eacff3ff02e9e3721b55c	의뢰도 아닌데 트라이더를 발진시키기 위해서는	의뢰도 없는데 트라이더를 출동시킬 수는	의뢰도 없는데 트라이더를 출동시킬 수는	税軽亀　蒸澗汽　闘虞戚希研		26	[]	imported	
STG0004/ID00003/000021	stage	STG0004	ID00003	21	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	3cf22ace7b7724560c05812101b11c65bf4197423991eaebae4df4dd0be20b52	갑자기	없습니다.	없습니다.	降遭獣迭　呪澗　蒸柔艦陥		24	[]	imported	
STG0004/ID00003/000022	stage	STG0004	ID00003	22	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타	왓타	왓타	甚展		4	[]	imported	
STG0004/ID00003/000023	stage	STG0004	ID00003	23	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	15cbd8a2b3a63d0ac7422b257d9e8913cffaa851ef31a03747b3ff36ebe7e9bf	하지만…	하지만…	하지만…	馬走幻…		8	[]	imported	
STG0004/ID00003/000024	stage	STG0004	ID00003	24	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	938f70355a57ce58d607b309a4e407b1168931c603ae2c126e7d5442f761263b	감코우지	카키코우지	카키코우지	朝徹坪酔走		10	[]	imported	
STG0004/ID00003/000025	stage	STG0004	ID00003	25	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	faecdaf8af8fe69f220ddc98b0fb00bbf9196d00404535a2c90d2e23186bdad3	기분은 알겠습니다,사장	마음은 이해합니다,사장님.	마음은 이해합니다,사장님.	原製精　戚背杯艦陥，紫舌還		26	[]	imported	
STG0004/ID00003/000026	stage	STG0004	ID00003	26	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	20bf01ad41f81658c24587e3c1b3801f1d6a91f53582f842b40e66bd535c95d2	아츠이	아츠이	아츠이	焼苧戚		6	[]	imported	
STG0004/ID00003/000027	stage	STG0004	ID00003	27	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	9d218ce3e135c04d9ce035e75f0ce8c099dabc5b55508043e7fb3ff982ea06d0	그러나 트라이더의 한 번 출동에 드는 비용은	하지만,트라이더를 한번 출동시키는데 드는 비용은	하지만,트라이더를 한번 출동시키는데 드는 비용은	馬走幻　闘虞戚希　廃　腰　窒疑馬澗　汽　球澗　搾遂精		52	[]	imported	
STG0004/ID00003/000028	stage	STG0004	ID00003	28	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	cd1ff70de2185b65d57c973cf6f1476eabe5aa51172b888d255a5e9badf3cf3d	아무리 싸게 견적해도 100만엔입니다	아무리 적게 잡아도 100만 엔입니다.	아무리 적게 잡아도 100만 엔입니다.	焼巷軒　塾惟　説焼亀　１００幻　殖脊艦陥		40	[]	imported	
STG0004/ID00003/000029	stage	STG0004	ID00003	29	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타	왓타	왓타	甚展		4	[]	imported	
STG0004/ID00003/000030	stage	STG0004	ID00003	30	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	339cfc1ccce40e6edd0208bbe8e57b26a15902162853f914c691d1c759b70dae	히쿠만 맙! !	백만!?!?!?	백만!?!?!?	拷幻？！？！		12	[]	imported	
STG0004/ID00003/000031	stage	STG0004	ID00003	31	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타	왓타	왓타	甚展		4	[]	imported	
STG0004/ID00003/000032	stage	STG0004	ID00003	32	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	a9ac839d361d907524ed79bf5464d9e7e28a34ecc5926e573fb554ff179f2ff4	흠…!	윽…!	윽…!	盛…！		6	[]	imported	
STG0004/ID00003/000033	stage	STG0004	ID00003	33	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	938f70355a57ce58d607b309a4e407b1168931c603ae2c126e7d5442f761263b	감코우지	카키코우지	카키코우지	朝徹坪酔走		10	[]	imported	
STG0004/ID00003/000034	stage	STG0004	ID00003	34	01_스테이지 xlsx 모음/STG0004(4화)-ID00003-script-통합.xlsx	c1e4fcdb403cc854e212c0de9e056a58f4cfbb64456f721d30f374ec87c07667	4bd55866324ba8d0f749de4d4787f341146b7cc00ec906c5c4ccdbef6e139986	무슨 일이야,사장! ?	왜 그러십니까,사장님!?	왜 그러십니까,사장님!?	訊　益君淑艦猿，紫舌還！？		26	[]	imported	
