entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0317/ID00003/000004	dlc	DLC0317	ID00003	4	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	dfd6a59dc64cad13901ed3f385dce37ce2f7442587438410c12fb936500ecce1	~드래곤즈 하이브 격납고~		　　　　　　　～드래곤즈 하이브 격납고～	　　　　　　　～球掘逸綜　馬戚崎　維崖壱～		42	[]	imported	
DLC0317/ID00003/000005	dlc	DLC0317	ID00003	5	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	갑아		코우지	坪酔走		6	[]	imported	
DLC0317/ID00003/000006	dlc	DLC0317	ID00003	6	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	c79f68329d81dd512f4db1c6c06eeac6a141eee3b99970451d20a9a5eb725b1b	간다 $n!		간다,$n！	娃陥，$ｎ！		12	"[""$n""]"	imported	
DLC0317/ID00003/000007	dlc	DLC0317	ID00003	7	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0317/ID00003/000008	dlc	DLC0317	ID00003	8	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	7eb54f7865464801ccf68da869016406074b8af94eb40d6135571bc0fe1e9aa6	봐줄 필요 없어, 갑아!		봐주지 않겠다,코우지！	坐爽走　省畏陥，坪酔走！		24	[]	imported	
DLC0317/ID00003/000009	dlc	DLC0317	ID00003	9	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	ffcb16ddb06f2d28280d96b46848a45a3f88edc84b30007dd57facc6aca65c4e	카렌		카렌	朝兄		4	[]	imported	
DLC0317/ID00003/000010	dlc	DLC0317	ID00003	10	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	6a3a2f452be3b33edee19de964c7167df6302a9b4949314035c5764af0fa7b72	잘 이어지네.		잘도 계속하는구나	設亀　域紗馬澗姥蟹		18	[]	imported	
DLC0317/ID00003/000011	dlc	DLC0317	ID00003	11	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	c9a6acf9cc42523d12c898792715c7bbb5bdbe1bfaa7053cdbb618a4889c0c20	갑아와 $n의 짝꿍…		코우지와 $n의 연습…	坪酔走人　$ｎ税　尻柔…		24	"[""$n""]"	imported	
DLC0317/ID00003/000012	dlc	DLC0317	ID00003	12	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	fa9340198eeaa266f350a59c09940fabea3390fb9800cf2afc7cba1324d1e800	알토		알토	硝塘		4	[]	imported	
DLC0317/ID00003/000013	dlc	DLC0317	ID00003	13	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	40acb2b55aea102f837188cd5388162e45c1bbc08712c34d0aa94d90e45ca940	둘 다 지기 싫어하니까.		둘 다,지기 싫어하는 성격이니까	却　陥，走奄　夙嬢馬澗　失維戚艦猿		34	[]	imported	
DLC0317/ID00003/000014	dlc	DLC0317	ID00003	14	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	d6ec764f10fefa670770d4128a9a4a6d2d8d7ee0a50d80d8e875bbc6cf8f7a3b	어느 쪽이 소리를 낼 때까지 끝나지 않을 거야		어느 쪽이든 소리를 지를 때까지 끝나지 않겠지	嬢汗　楕戚窮　社軒研　走研　凶猿走　魁蟹走　省畏走		50	[]	imported	
DLC0317/ID00003/000015	dlc	DLC0317	ID00003	15	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	6f42d8c360d18f29d6f3eb31b4566d00027dcf6d3990efd479a16ce8c1f811ed	소스케		소스케	社什追		6	[]	imported	
DLC0317/ID00003/000016	dlc	DLC0317	ID00003	16	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	34f6a4789423b1bc108b3819de8839f048453c8e08a99a64cbe6b4d78d4e5785	그냥 보기도 심심해		그냥 보고 있는 것도 따분하군	益撹　左壱　赤澗　依亀　魚歳馬浦		32	[]	imported	
DLC0317/ID00003/000017	dlc	DLC0317	ID00003	17	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
DLC0317/ID00003/000018	dlc	DLC0317	ID00003	18	!DLC/DLC0317_cpk/DLC0317(DLC-17)-ID00003-script-통합.xlsx	a3e36c0346da592b05bf4dd972afcd1a6af9ab1036312c1dc78e9bbfe9063895	6225551f102a8311a932896eff25d4fc22a4533279c46665e59b3a2cefc4f3b2	이, 싫어...!		시,싫어…！	獣，夙嬢…！		12	[]	imported	
