entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0018/ID00003/000002	stage	STG0018	ID00003	2	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	c0cef5a5cb41b06ebb757b4c6ffa2124f05b0ba3b653995e67d760c3c381af6e	타케루		타케루	展追欠		6	[]	imported	
STG0018/ID00003/000003	stage	STG0018	ID00003	3	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	9215c7106b4bfb97d57fec11a16a39b49b35bca71b1160ec10de459767f30543	크...으...!		크…으으…！	滴…生生…！		12	[]	imported	
STG0018/ID00003/000004	stage	STG0018	ID00003	4	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	c0cef5a5cb41b06ebb757b4c6ffa2124f05b0ba3b653995e67d760c3c381af6e	타케루		타케루	展追欠		6	[]	imported	
STG0018/ID00003/000005	stage	STG0018	ID00003	5	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	9d15cbc5fdf3c3dfd94888a02831f04fa54d60e0dc365be694bb959202025dae	세상이... 끝나...?		세계가…끝나는…？	室域亜…魁蟹澗…？		18	[]	imported	
STG0018/ID00003/000006	stage	STG0018	ID00003	6	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	674a821d507c808123661cff177e7bb45c846c13fb8db3b806e831c785687419	오...		오는…	神澗…		6	[]	imported	
STG0018/ID00003/000007	stage	STG0018	ID00003	7	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	c0cef5a5cb41b06ebb757b4c6ffa2124f05b0ba3b653995e67d760c3c381af6e	타케루		타케루	展追欠		6	[]	imported	
STG0018/ID00003/000008	stage	STG0018	ID00003	8	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	e42f3af90d679a0125ad4df240ba43cebd80a1d3307b3eb86528e93e975e557f	저거는... 텐시...		저건…천사…	煽闇…探紫…		12	[]	imported	
STG0018/ID00003/000011	stage	STG0018	ID00003	11	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	1b8ef832bd3a4a02934c4167d128edcb48582c8c27d9eb83ffbd25afd73cdf03	　　　　　　　~드래곤즈 하이브 살롱~		　　　　　　　～드래곤즈 하이브 살롱～	　　　　　　　～球掘逸綜　馬戚崎　詞荊～		40	[]	imported	
STG0018/ID00003/000012	stage	STG0018	ID00003	12	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	갑아		코우지	坪酔走		6	[]	imported	
STG0018/ID00003/000013	stage	STG0018	ID00003	13	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	f4e8842ddd96de226bbe62dea733e31529fa9d0d1bfbf3bd8cc63e2a4920badc	악몽?		악몽？	焦功？		6	[]	imported	
STG0018/ID00003/000014	stage	STG0018	ID00003	14	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	c0cef5a5cb41b06ebb757b4c6ffa2124f05b0ba3b653995e67d760c3c381af6e	타케루		타케루	展追欠		6	[]	imported	
STG0018/ID00003/000015	stage	STG0018	ID00003	15	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	ebda7a839a63318453a0e4625efba4ee380997a4c7021bb7783033415f98a4e5	아아… 요즘 매일같이 보는구나		아아…요즘 들어 매일같이 꾸는 꿈이야	焼焼…推葬　級嬢　古析旭戚　荷澗　嘩戚醤		40	[]	imported	
STG0018/ID00003/000016	stage	STG0018	ID00003	16	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	e32e3400ee24e0130cb7a5e3e01ec572b6365ff99509b8e15bb055c0e2b2bde4	나오토		나오토	蟹神塘		6	[]	imported	
STG0018/ID00003/000017	stage	STG0018	ID00003	17	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	6c1f0a696159088447d6cdb979a6d8bc4fa36f886ffc6aa00e1071c13f0a827e	타케루가 그런 꿈을 꾼다는 건...		타케루가 그런 꿈을 꾼다는 건…	展追欠亜　益訓　嘩聖　菓陥澗　闇…		34	[]	imported	
STG0018/ID00003/000018	stage	STG0018	ID00003	18	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	7e58d43b6bed639412e18ff936ea987dfe59c8524e3b9b526a3595a5c7ce3322	아키라		아키라	焼徹虞		6	[]	imported	
STG0018/ID00003/000019	stage	STG0018	ID00003	19	01_스테이지 xlsx 모음/STG0018(11화B)-ID00003-script-통합.xlsx	6cde4309010fdccf57f60095cf031aaffddd48e1f8556e847903c6e6bbe1a3a6	c3c16b19c51df6e2faae74205a74c10254daa203df4a7604cdd98009d598eae4	무슨 예지야?		뭔가 예지 같은 건가？	杭亜　森走　旭精　闇亜？		24	[]	imported	
