entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0038/ID00003/000002	stage	STG0038	ID00003	2	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	e230d17a87b83877ad8464de30ef9d38ee47ef0047d3e90483569494f8eb373c	바사라		바사라	郊紫虞		6	[]	imported	
STG0038/ID00003/000003	stage	STG0038	ID00003	3	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	77d9721eb295d763d3ccff771390aacb5805a0354e751b3a06a8e5ef421810cb	후...		후우…	板酔…		6	[]	imported	
STG0038/ID00003/000004	stage	STG0038	ID00003	4	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	5f85a7dfcca87cd4668c7000e0d11ce77dc2924916955d0a6e4de6ea07f3e7b8	카오루		카오루	朝神欠		6	[]	imported	
STG0038/ID00003/000005	stage	STG0038	ID00003	5	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	b913857c2504e1498a420a11d97a6c396aa8e93cc24dff72fa83fb8007fc375d	여전히, 좋은 노래야		변함없이 좋은 노래야	痕敗蒸戚　疏精　葛掘醤		22	[]	imported	
STG0038/ID00003/000006	stage	STG0038	ID00003	6	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	e230d17a87b83877ad8464de30ef9d38ee47ef0047d3e90483569494f8eb373c	바사라		바사라	郊紫虞		6	[]	imported	
STG0038/ID00003/000007	stage	STG0038	ID00003	7	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	a99ad521a4d69411f36f2f9a8c5d63bff00f946a384e002ca5de1d9aee51a322	고마워요		고맙군	壱舷浦		6	[]	imported	
STG0038/ID00003/000008	stage	STG0038	ID00003	8	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	5f85a7dfcca87cd4668c7000e0d11ce77dc2924916955d0a6e4de6ea07f3e7b8	카오루		카오루	朝神欠		6	[]	imported	
STG0038/ID00003/000009	stage	STG0038	ID00003	9	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	dac06692de34aef2a1103379d624069736083ce0a565b725467b2ff29b6c9715	너의 노래를 들려주길 바라는 사람이 있어...		네 노래를 들려주고 싶은 사람이 있어…	革　葛掘研　級形爽壱　粛精　紫寓戚　赤嬢…		42	[]	imported	
STG0038/ID00003/000010	stage	STG0038	ID00003	10	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	b7d7ce97928e5d64e3e35c59bf19f058608d5c253fbcf533df18e01309ce911b	괜찮을까?		괜찮을까?	右諾聖猿？		10	[]	imported	
STG0038/ID00003/000011	stage	STG0038	ID00003	11	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	e230d17a87b83877ad8464de30ef9d38ee47ef0047d3e90483569494f8eb373c	바사라		바사라	郊紫虞		6	[]	imported	
STG0038/ID00003/000012	stage	STG0038	ID00003	12	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	d4cadcd9ca99c26aa148b1c5e96d967b3e70f90d8188a299c5a9254cf3cb5d8c	걔는 어디 있어?		그 사람은 어디에 있지?	益　紫寓精　嬢巨拭　赤走？		26	[]	imported	
STG0038/ID00003/000013	stage	STG0038	ID00003	13	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	5f85a7dfcca87cd4668c7000e0d11ce77dc2924916955d0a6e4de6ea07f3e7b8	카오루		카오루	朝神欠		6	[]	imported	
STG0038/ID00003/000014	stage	STG0038	ID00003	14	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	5986a02a22078bbf4a4539ef71cc766bdc99c3b7cfb64f922fdea80c09556082	저기야		저기야	煽奄醤		6	[]	imported	
STG0038/ID00003/000015	stage	STG0038	ID00003	15	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	e230d17a87b83877ad8464de30ef9d38ee47ef0047d3e90483569494f8eb373c	바사라		바사라	郊紫虞		6	[]	imported	
STG0038/ID00003/000016	stage	STG0038	ID00003	16	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	a908898f36c6b9e47d5472a8ce2cb62467e7606ad2cf9266650c8b967784464f	…！		…！	…！		4	[]	imported	
STG0038/ID00003/000019	stage	STG0038	ID00003	19	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	ec4718a1721508b1e6fd581010ea257f5b80b11b419dc5864acf7748f4f37afd	　　　　　　　~21세기 경비 보장 본사 앞~		　　　　　　～21세기경비보장 본사 앞～	　　　　　　～２１室奄井搾左舌　沙紫　蒋～		42	[]	imported	
STG0038/ID00003/000020	stage	STG0038	ID00003	20	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	39df5d55bcea256e3bfc54caab3e090088ec4d1ce06e842c18c5a88ece8981ed	아카기		아카기	焼朝奄		6	[]	imported	
STG0038/ID00003/000021	stage	STG0038	ID00003	21	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	441d0437f4ce4cfe9a8af258da775f04d1d50986ed8c93ef41c5ed13370a86c0	좋아... 다들 제 시간에 모였네		좋아…모두 시간 맞춰 모였구나	疏焼…乞砧　獣娃　限仲　乞心姥蟹		32	[]	imported	
STG0038/ID00003/000022	stage	STG0038	ID00003	22	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	왓타		왓타	甚展		4	[]	imported	
STG0038/ID00003/000023	stage	STG0038	ID00003	23	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	d7dc2c584dab1c79c1051244bd1990da52c55f4f5fffd94bd0097c76a51bd1ca	그럼!		물론!	弘経！		6	[]	imported	
STG0038/ID00003/000024	stage	STG0038	ID00003	24	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	bc12c4aa6da6aef15712230ad0fbf17fca2b523be1569f615625b651b3c50a4e	제대로 카오루도 맥기도 있네		착하게 카오루쨩이랑 마키쨩도 있잖아	鐸馬惟　朝神欠損戚櫛　原徹損亀　赤摂焼		38	[]	imported	
STG0038/ID00003/000025	stage	STG0038	ID00003	25	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	39df5d55bcea256e3bfc54caab3e090088ec4d1ce06e842c18c5a88ece8981ed	아카기		아카기	焼朝奄		6	[]	imported	
STG0038/ID00003/000026	stage	STG0038	ID00003	26	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	1c811e054755430f63ee4a0607d873ea1978b497982eee760fe8e4174a9df987	그럼 이보다 우리는		그럼 이제부터 우리는	益軍　戚薦採斗　酔軒澗		22	[]	imported	
STG0038/ID00003/000027	stage	STG0038	ID00003	27	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	e3cf03f969696852acd63caa378c8cb6694e77493bb204f29953e47e1717fd2b	오다이바 행사장에서 열리고 있는 고대문명전에		오다이바 이벤트 회장에서 열리고 있는	神陥戚郊　戚坤闘　噺舌拭辞　伸軒壱　赤澗		40	[]	imported	
STG0038/ID00003/000028	stage	STG0038	ID00003	28	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	3c0e67eaae95bb2a98092a7638eccaacd9ae72c973447b32883df08344d7d168	출발한다!		고대 문명전에 출발한다!	壱企　庚誤穿拭　窒降廃陥！		26	[]	imported	
STG0038/ID00003/000029	stage	STG0038	ID00003	29	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	왓타		왓타	甚展		4	[]	imported	
STG0038/ID00003/000030	stage	STG0038	ID00003	30	01_스테이지 xlsx 모음/STG0038(26화A)-ID00003-script-통합.xlsx	c2eb2364d153c6b24f58bade39916baf9cff97cc6d5e76561ccc206c71355e52	7a203e81316f3a8bccbdd4475679636a3a67d551d12bf4c3205e0b07c317faf9	헤헤... 나 기대되고 기대되고		헤헤…나,기대돼서 기대돼서	伯伯…蟹，奄企掬辞　奄企掬辞		28	[]	imported	
