entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0088a/ID00003/000004	stage	STG0088a	ID00003	4	01_스테이지 xlsx 모음/STG0088a(54화A)-ID00003-script-통합.xlsx	fc9496c2d446ac6536780e954f9418cb8f3d7f3a4e15b0008588c69e47dc7419	fda57735d7ad465ad238fa0393b279fff132fe2c3b659b20876059a3579adc67	~패러다임시티~		　　　　　　　　　～파라다임 시티～	　　　　　　　　　～督虞陥績　獣銅～		36	[]	imported	
STG0088a/ID00003/000005	stage	STG0088a	ID00003	5	01_스테이지 xlsx 모음/STG0088a(54화A)-ID00003-script-통합.xlsx	fc9496c2d446ac6536780e954f9418cb8f3d7f3a4e15b0008588c69e47dc7419	9bcbe1433ae8354ccd85f9694a2b81767eae6e5d568b6d40e1cc70115167e130	가쓰라		케이	追戚		4	[]	imported	
STG0088a/ID00003/000006	stage	STG0088a	ID00003	6	01_스테이지 xlsx 모음/STG0088a(54화A)-ID00003-script-통합.xlsx	fc9496c2d446ac6536780e954f9418cb8f3d7f3a4e15b0008588c69e47dc7419	23d82a9ad137cf7068362c3cdb30c38481c64059e176bc51f133761f1fe2061e	여기는...!?		여기는…！？	食奄澗…！？		12	[]	imported	
STG0088a/ID00003/000007	stage	STG0088a	ID00003	7	01_스테이지 xlsx 모음/STG0088a(54화A)-ID00003-script-통합.xlsx	fc9496c2d446ac6536780e954f9418cb8f3d7f3a4e15b0008588c69e47dc7419	77ecd82a49bb1af43ee55410c3504d77a6e47e801b68ed6e271c630d4a192de1	아오이		아오이	焼神戚		6	[]	imported	
STG0088a/ID00003/000008	stage	STG0088a	ID00003	8	01_스테이지 xlsx 모음/STG0088a(54화A)-ID00003-script-통합.xlsx	fc9496c2d446ac6536780e954f9418cb8f3d7f3a4e15b0008588c69e47dc7419	1e8fd376dc665d9aaba80d5ac9bc48c0166ad3e3d896e9a3f175f397ce091d94	혹시... 패러다임 시티...?		설마…파라다임 시티…？	竺原…督虞陥績　獣銅…？		24	[]	imported	
STG0088a/ID00003/000009	stage	STG0088a	ID00003	9	01_스테이지 xlsx 모음/STG0088a(54화A)-ID00003-script-통합.xlsx	fc9496c2d446ac6536780e954f9418cb8f3d7f3a4e15b0008588c69e47dc7419	ffcb16ddb06f2d28280d96b46848a45a3f88edc84b30007dd57facc6aca65c4e	카렌		카렌	朝兄		4	[]	imported	
STG0088a/ID00003/000010	stage	STG0088a	ID00003	10	01_스테이지 xlsx 모음/STG0088a(54화A)-ID00003-script-통합.xlsx	fc9496c2d446ac6536780e954f9418cb8f3d7f3a4e15b0008588c69e47dc7419	de4223b5f9dd6769446278e6d036ed941fe2ca086046b047c0c1277d41c511c1	낮에도 어두운 하늘.. 영화의 세트같은 거리..		낮에도 어두운 하늘…영화 세트 같은 거리…	碍拭亀　嬢砧錘　馬潅…慎鉢　室闘　旭精　暗軒…		46	[]	imported	
STG0088a/ID00003/000011	stage	STG0088a	ID00003	11	01_스테이지 xlsx 모음/STG0088a(54화A)-ID00003-script-통합.xlsx	fc9496c2d446ac6536780e954f9418cb8f3d7f3a4e15b0008588c69e47dc7419	9a98324f9f34a13285e8d1db0058a963b0aea31a4c65b89d77555e1a49ecf60a	틀림없군		틀림없어	堂顕蒸嬢		8	[]	imported	
STG0088a/ID00003/000012	stage	STG0088a	ID00003	12	01_스테이지 xlsx 모음/STG0088a(54화A)-ID00003-script-통합.xlsx	fc9496c2d446ac6536780e954f9418cb8f3d7f3a4e15b0008588c69e47dc7419	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
STG0088a/ID00003/000013	stage	STG0088a	ID00003	13	01_스테이지 xlsx 모음/STG0088a(54화A)-ID00003-script-통합.xlsx	fc9496c2d446ac6536780e954f9418cb8f3d7f3a4e15b0008588c69e47dc7419	8350b372a5d76f4bdd32945b0470005c09e40f49170b53a3b36c5d64fbcf996d	우리... 우주에서 싸우고 있었는데...		우리들…우주에서 싸우고 있었는데…	酔軒級…酔爽拭辞　塾酔壱　赤醸澗汽…		36	[]	imported	
STG0088a/ID00003/000014	stage	STG0088a	ID00003	14	01_스테이지 xlsx 모음/STG0088a(54화A)-ID00003-script-통합.xlsx	fc9496c2d446ac6536780e954f9418cb8f3d7f3a4e15b0008588c69e47dc7419	5d8f0b3aa3f1a4ce388aad5858920595a92674479226361a60b3000f030303e0	왜 이런 곳에 있지?		어째서 이런 곳에 있는 거야?	嬢属辞　戚訓　員拭　赤澗　暗醤？		32	[]	imported	
