entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0014/ID00003/000004	stage	STG0014	ID00003	4	01_스테이지 xlsx 모음/STG0014(11화A)-ID00003-script-통합.xlsx	0b8656f9a5bdfcf9286e733c372af05f813607f1dacba83f677ac55db332e5cc	93e1d0e05d5557aedbc8ff74d09e8cbc9f70058f20776c4f9305c6817aa3ee6a	~인더스트리얼7 애너하임공전실습시설~		　　～인더스트리얼7 애너하임 공전 실습시설～	　　～昔希什闘軒杖７　蕉格馬績　因穿　叔柔獣竺～		48	[]	imported	
STG0014/ID00003/000005	stage	STG0014	ID00003	5	01_스테이지 xlsx 모음/STG0014(11화A)-ID00003-script-통합.xlsx	0b8656f9a5bdfcf9286e733c372af05f813607f1dacba83f677ac55db332e5cc	9b908470c2bfc560370a80ca34247f6bc41997db9e85709141df72702e2ef34c	타쿠야		타쿠야	展庭醤		6	[]	imported	
STG0014/ID00003/000006	stage	STG0014	ID00003	6	01_스테이지 xlsx 모음/STG0014(11화A)-ID00003-script-통합.xlsx	0b8656f9a5bdfcf9286e733c372af05f813607f1dacba83f677ac55db332e5cc	cf12b7982077fb5dbf4ac5f5e29746bd8b8f8fa761a4a47e05f2855e96178c02	역시, 쁘띠모비를 사용한 실습은 즐거워.		역시,쁘띠모비를 사용한 실습은 즐겁네	蝕獣，孜苦乞搾研　紫遂廃　叔柔精　荘位革		40	[]	imported	
STG0014/ID00003/000007	stage	STG0014	ID00003	7	01_스테이지 xlsx 모음/STG0014(11화A)-ID00003-script-통합.xlsx	0b8656f9a5bdfcf9286e733c372af05f813607f1dacba83f677ac55db332e5cc	cebe0355b292bfdd937969408eea79115e470f83f883b1d027a22505d67cb63f	피곤하지만		피곤하지만	杷逸馬走幻		10	[]	imported	
STG0014/ID00003/000008	stage	STG0014	ID00003	8	01_스테이지 xlsx 모음/STG0014(11화A)-ID00003-script-통합.xlsx	0b8656f9a5bdfcf9286e733c372af05f813607f1dacba83f677ac55db332e5cc	8519acbef64d76c09015c515a4aa88411615337e077d686ab3ebbcacdf39d5bf	사지		사지	紫走		4	[]	imported	
STG0014/ID00003/000009	stage	STG0014	ID00003	9	01_스테이지 xlsx 모음/STG0014(11화A)-ID00003-script-통합.xlsx	0b8656f9a5bdfcf9286e733c372af05f813607f1dacba83f677ac55db332e5cc	482c24f1cf397723c75d5598044d096c51e67281539a098ee442f592c1bd6073	교실에서의 좌학과는 달리, 우주의 넓이를 실감할 수 있으니까		교실과 달리,우주의 광활함을 실감할 수 있으니까	嘘叔引　含軒，酔爽税　韻醗敗聖　叔姶拝　呪　赤生艦猿		52	[]	imported	
STG0014/ID00003/000010	stage	STG0014	ID00003	10	01_스테이지 xlsx 모음/STG0014(11화A)-ID00003-script-통합.xlsx	0b8656f9a5bdfcf9286e733c372af05f813607f1dacba83f677ac55db332e5cc	39c9d8efde6d077cd46c9bb45a6cfb8dcb98376999a97c99a71448d06929387b	미콧		미코토	耕坪塘		6	[]	imported	
STG0014/ID00003/000011	stage	STG0014	ID00003	11	01_스테이지 xlsx 모음/STG0014(11화A)-ID00003-script-통합.xlsx	0b8656f9a5bdfcf9286e733c372af05f813607f1dacba83f677ac55db332e5cc	c27300d188689f5792358ebb44320c9f1fd8d4d9e12ffcd3f472b6d76f4555de	그건 그렇고 사지 씨는 대단하네요.		그런데 사지씨는 정말 대단하네요	益訓汽　紫走松澗　舛源　企舘馬革推		34	[]	imported	
STG0014/ID00003/000012	stage	STG0014	ID00003	12	01_스테이지 xlsx 모음/STG0014(11화A)-ID00003-script-통합.xlsx	0b8656f9a5bdfcf9286e733c372af05f813607f1dacba83f677ac55db332e5cc	6317fed59df76b9cac7f3e5faa987329d4b3f610a65b3854f5b39cd066bd1e23	갑작스러운 트러블의 대처도 빠르고		갑작스러운 트러블에 대한 대처도 빠르고	逢拙什君錘　闘君鷺拭　企廃　企坦亀　匙牽壱		42	[]	imported	
STG0014/ID00003/000013	stage	STG0014	ID00003	13	01_스테이지 xlsx 모음/STG0014(11화A)-ID00003-script-통합.xlsx	0b8656f9a5bdfcf9286e733c372af05f813607f1dacba83f677ac55db332e5cc	8519acbef64d76c09015c515a4aa88411615337e077d686ab3ebbcacdf39d5bf	사지		사지	紫走		4	[]	imported	
