entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0060/ID00003/000004	stage	STG0060	ID00003	4	01_스테이지 xlsx 모음/STG0060(37화B)-ID00003-script-통합.xlsx	86a298a8095a8cf5e018295407ebf99dcb989402cc755146e84c252a4dd76b16	39088efdf1718240a69ee5693841d404a6fb3718424ef6202fcce85f7ea9c255	~시키시마야 리빙~		　　　　　　　　～시키시마 가・거실～	　　　　　　　　～獣徹獣原　亜・暗叔～		38	[]	imported	
STG0060/ID00003/000005	stage	STG0060	ID00003	5	01_스테이지 xlsx 모음/STG0060(37화B)-ID00003-script-통합.xlsx	86a298a8095a8cf5e018295407ebf99dcb989402cc755146e84c252a4dd76b16	97ce3f75e2f5a683ba78d2a3e6ca7e9e05b8741ac7c3c6f0f56280eddd4554a9	매키		마키	原徹		4	[]	imported	
STG0060/ID00003/000006	stage	STG0060	ID00003	6	01_스테이지 xlsx 모음/STG0060(37화B)-ID00003-script-통합.xlsx	86a298a8095a8cf5e018295407ebf99dcb989402cc755146e84c252a4dd76b16	c4998464741f1d1c01bfc676615013320637ff40ba9c53ed5f2d096cda8995d5	어서 오세요, 正太太郎군		어서 와,쇼타로 군	嬢辞　人，珠展稽　浦		20	[]	imported	
STG0060/ID00003/000007	stage	STG0060	ID00003	7	01_스테이지 xlsx 모음/STG0060(37화B)-ID00003-script-통합.xlsx	86a298a8095a8cf5e018295407ebf99dcb989402cc755146e84c252a4dd76b16	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
STG0060/ID00003/000008	stage	STG0060	ID00003	8	01_스테이지 xlsx 모음/STG0060(37화B)-ID00003-script-통합.xlsx	86a298a8095a8cf5e018295407ebf99dcb989402cc755146e84c252a4dd76b16	7f4e97275411af9283593f9ffa4eebd01cef39d9407d6ea50974c7038a7e4e38	다녀왔습니다, 맥기		다녀왔어,마키	陥橿尽嬢，原徹		14	[]	imported	
STG0060/ID00003/000009	stage	STG0060	ID00003	9	01_스테이지 xlsx 모음/STG0060(37화B)-ID00003-script-통합.xlsx	86a298a8095a8cf5e018295407ebf99dcb989402cc755146e84c252a4dd76b16	97ce3f75e2f5a683ba78d2a3e6ca7e9e05b8741ac7c3c6f0f56280eddd4554a9	매키		마키	原徹		4	[]	imported	
STG0060/ID00003/000010	stage	STG0060	ID00003	10	01_스테이지 xlsx 모음/STG0060(37화B)-ID00003-script-통합.xlsx	86a298a8095a8cf5e018295407ebf99dcb989402cc755146e84c252a4dd76b16	37cd03aad17d9f51ee1e1c7a4f89192445b22621967e3aa12dc014289cf80c1d	계속 힘들었나봐.		계속 힘들었던 것 같네	域紗　毘級醸揮　依　旭革		24	[]	imported	
STG0060/ID00003/000011	stage	STG0060	ID00003	11	01_스테이지 xlsx 모음/STG0060(37화B)-ID00003-script-통합.xlsx	86a298a8095a8cf5e018295407ebf99dcb989402cc755146e84c252a4dd76b16	66ecf82a68255a727208f18af6dccb9c4fa7277e968312ebe80bf5afad0afe51	이곳에 돌아오신게 여름방학의 마지막 날이라니		이쪽으로 돌아온 게 여름방학 마지막 날이라니	戚楕生稽　宜焼紳　惟　食硯号俳　原走厳　劾戚虞艦		48	[]	imported	
STG0060/ID00003/000012	stage	STG0060	ID00003	12	01_스테이지 xlsx 모음/STG0060(37화B)-ID00003-script-통합.xlsx	86a298a8095a8cf5e018295407ebf99dcb989402cc755146e84c252a4dd76b16	8901a56c7f8da3d30a2a50b963ec7f4dbc0289899381f3a558a3e4737feeb483	쇼오타로우		쇼타로	珠展稽		6	[]	imported	
STG0060/ID00003/000013	stage	STG0060	ID00003	13	01_스테이지 xlsx 모음/STG0060(37화B)-ID00003-script-통합.xlsx	86a298a8095a8cf5e018295407ebf99dcb989402cc755146e84c252a4dd76b16	02505480db44ccd3d1dd73bd53a2f91369e2c6f3edc050e39c9f5268b4e140d6	여러가지 일이 있었으니까		여러 가지 일이 있었으니까	食君　亜走　析戚　赤醸生艦猿		28	[]	imported	
