entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0084/ID00003/000002	stage	STG0084	ID00003	2	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	13ce7349ce048ceb07eab24b463754a30c4abc3b49e1088394df38f842466b11	우주 마왕		우주마왕	酔爽原腎		8	[]	imported	
STG0084/ID00003/000003	stage	STG0084	ID00003	3	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	41af5091fb5782c699ea4d1b1b3fd0b09a199b5d026a71a23d436a102804f881	독수리를 불렀나, 오륜포스 명부의 왕?		나를 불렀느냐,올림포스 명계의 왕?	蟹研　災袈汗劃，臣顕匂什　誤域税　腎？		38	[]	imported	
STG0084/ID00003/000004	stage	STG0084	ID00003	4	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	e6bc5f84276d9e1f20df3c809b080da3aaa1466ed82597e1423be4ea6ed847b7	하데스		하데스	馬汽什		6	[]	imported	
STG0084/ID00003/000005	stage	STG0084	ID00003	5	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	b3829168864aac9bfb2bea097b34cbb967a798ea10dd553b55af4318fe1137b1	암흑의 화신이여.		어둠의 화신이여	嬢客税　鉢重戚食		16	[]	imported	
STG0084/ID00003/000006	stage	STG0084	ID00003	6	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	2a47de5a302a58b63f3e948e93b295243320ebdb79bc321cd20cf5fa0099f48c	네놈이 나를 부른 것이 아니냐?		네놈이 나를 부른 것이 아니냐?	革叶戚　蟹研　採献　依戚　焼艦劃？		34	[]	imported	
STG0084/ID00003/000007	stage	STG0084	ID00003	7	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	a8a168177d4aee7a960464ae189b4741a0e3ed1daa50ef26cc9152372f5c4eac	미카게		미카게	耕朝惟		6	[]	imported	
STG0084/ID00003/000008	stage	STG0084	ID00003	8	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	f150fd26248daa31f27539ff5794a3cc96ffa926b454c05df96cf603812fe530	이거는...		이것은…	戚依精…		8	[]	imported	
STG0084/ID00003/000009	stage	STG0084	ID00003	9	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	13ce7349ce048ceb07eab24b463754a30c4abc3b49e1088394df38f842466b11	우주 마왕		우주마왕	酔爽原腎		8	[]	imported	
STG0084/ID00003/000010	stage	STG0084	ID00003	10	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	211e0b4d1cfc20ebb1a0fb27bf1240f92655fa11b2fb9888745f94a1f464bd6b	아무래도 네놈도 호출을 받은 모양이군		보아하니 너도 부름을 받은 모양이군	左焼馬艦　格亀　採硯聖　閤精　乞丞戚浦		38	[]	imported	
STG0084/ID00003/000011	stage	STG0084	ID00003	11	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	a8a168177d4aee7a960464ae189b4741a0e3ed1daa50ef26cc9152372f5c4eac	미카게		미카게	耕朝惟		6	[]	imported	
STG0084/ID00003/000012	stage	STG0084	ID00003	12	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	0e5101942e5710c111df6d7cd48e4ff899c4b514c399435c234ef7528337dde6	후…누구의 소행인지는, 대략의 짐작은 하고 있다		후… 누구의 짓인지는 대충 짐작이 가지만	板…　刊姥税　憎昔走澗　企中　像拙戚　亜走幻		44	[]	imported	
STG0084/ID00003/000013	stage	STG0084	ID00003	13	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	e6bc5f84276d9e1f20df3c809b080da3aaa1466ed82597e1423be4ea6ed847b7	하데스		하데스	馬汽什		6	[]	imported	
STG0084/ID00003/000014	stage	STG0084	ID00003	14	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	8a25f2c1aad9a069871353ab096d21788477e246eaa82375a5066afe97c721b9	뭐 됐어.		뭐 좋다	更　疏陥		8	[]	imported	
STG0084/ID00003/000015	stage	STG0084	ID00003	15	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	833f64187a09808d1c70b197dea01be2150d310e645229ac455774630d12e77c	이렇게 한자리에 모인 것도 무슨 인연...		이렇게 한자리에 모인 것도 인연이니…	戚係惟　廃切軒拭　乞昔　依亀　昔尻戚艦…		40	[]	imported	
STG0084/ID00003/000016	stage	STG0084	ID00003	16	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	75d9fed229cf066f49c0eeac97c754fd3213aebeb28e8cac380864dcd7bfb382	조금 이야기를 하지 않을까		잠시 이야기를 나누지 않겠는가	節獣　戚醤奄研　蟹刊走　省畏澗亜		32	[]	imported	
STG0084/ID00003/000017	stage	STG0084	ID00003	17	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	13ce7349ce048ceb07eab24b463754a30c4abc3b49e1088394df38f842466b11	우주 마왕		우주마왕	酔爽原腎		8	[]	imported	
STG0084/ID00003/000018	stage	STG0084	ID00003	18	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	12521953384bc51dff3671fa44939fd5422447d057c71b60331275eafda852b5	저 푸른 별에 대한 점유권은		저 푸른 별에 대한 점유권은	煽　祢献　紺拭　企廃　繊政映精		30	[]	imported	
STG0084/ID00003/000019	stage	STG0084	ID00003	19	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	0e5b81f4368b0a1f8d3d0341eb6a21906a0dead5bdf7fa2b6f59c14d5a650579	오륜포스의 신에게 있다.		올림포스 신들에게 있다	臣顕匂什　重級拭惟　赤陥		24	[]	imported	
STG0084/ID00003/000020	stage	STG0084	ID00003	20	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	0d2d172b7616fed1ac4e57dc244ef7eb77d2d68135fd1ce6755cd42f8580514b	독수리에게서는 할 말이 없다		나에게서는 할 말이 없다	蟹拭惟辞澗　拝　源戚　蒸陥		26	[]	imported	
STG0084/ID00003/000021	stage	STG0084	ID00003	21	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	a8a168177d4aee7a960464ae189b4741a0e3ed1daa50ef26cc9152372f5c4eac	미카게		미카게	耕朝惟		6	[]	imported	
STG0084/ID00003/000022	stage	STG0084	ID00003	22	01_스테이지 xlsx 모음/STG0084(50화A)-ID00003-script-통합.xlsx	901bb73b27ba28ed8719918b87d00fc003706e87d02e828e1d162b1b3384a36b	07471a8615ef0eb2188e6e3a6494eeaa3f01ec26eb3d6185b34e8aabe1ef5ee4	마왕이라는 이름을 가진 당신으로서는 기특한 일이다		마왕이라는 이름을 가진 네놈치고는 겸손하군	原腎戚虞澗　戚硯聖　亜遭　革叶帖壱澗　謂謝馬浦		46	[]	imported	
