entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0305/ID00003/000004	dlc	DLC0305	ID00003	4	!DLC/DLC0305_cpk/DLC0305(DLC-05)-ID00003-script-통합.xlsx	41a47b4581458af837386b6947d3b56297724e7629be2b87d8d1edd043931178	ff15b5fc1bb992b45c49266198bf50f33ff7b60a1db234c29898512de293ed98	~마크로스 쿼터 격납고~		　　　　　　～마크로스・쿼터 격납고～	　　　　　　～原滴稽什・汀斗　維崖壱～		38	[]	imported	
DLC0305/ID00003/000005	dlc	DLC0305	ID00003	5	!DLC/DLC0305_cpk/DLC0305(DLC-05)-ID00003-script-통합.xlsx	41a47b4581458af837386b6947d3b56297724e7629be2b87d8d1edd043931178	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
DLC0305/ID00003/000006	dlc	DLC0305	ID00003	6	!DLC/DLC0305_cpk/DLC0305(DLC-05)-ID00003-script-통합.xlsx	41a47b4581458af837386b6947d3b56297724e7629be2b87d8d1edd043931178	136ebf07b88f0d16874f63cc54b116a73874bc80242c6f270883527fae7ec207	어때요, $n씨?		어떻습니까,$n 씨? GAI 모드의 기동 방법…	嬢胸柔艦猿，$ｎ　松？　ＧＡＩ　乞球税　奄疑　号狛…		52	"[""$n""]"	imported	
DLC0305/ID00003/000007	dlc	DLC0305	ID00003	7	!DLC/DLC0305_cpk/DLC0305(DLC-05)-ID00003-script-통합.xlsx	41a47b4581458af837386b6947d3b56297724e7629be2b87d8d1edd043931178	e3cacd70764bb078991af7120e8a4922d0a7a8a5e07c1ea9bb666a0d9ada5c59	GAI 모드 부팅 방법… 뭔가 실마리가 잡혔나요?		뭔가 실마리가 잡혔습니까?	杭亜　叔原軒亜　説縛柔艦猿？		28	[]	imported	
DLC0305/ID00003/000008	dlc	DLC0305	ID00003	8	!DLC/DLC0305_cpk/DLC0305(DLC-05)-ID00003-script-통합.xlsx	41a47b4581458af837386b6947d3b56297724e7629be2b87d8d1edd043931178	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0305/ID00003/000009	dlc	DLC0305	ID00003	9	!DLC/DLC0305_cpk/DLC0305(DLC-05)-ID00003-script-통합.xlsx	41a47b4581458af837386b6947d3b56297724e7629be2b87d8d1edd043931178	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
DLC0305/ID00003/000010	dlc	DLC0305	ID00003	10	!DLC/DLC0305_cpk/DLC0305(DLC-05)-ID00003-script-통합.xlsx	41a47b4581458af837386b6947d3b56297724e7629be2b87d8d1edd043931178	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
DLC0305/ID00003/000011	dlc	DLC0305	ID00003	11	!DLC/DLC0305_cpk/DLC0305(DLC-05)-ID00003-script-통합.xlsx	41a47b4581458af837386b6947d3b56297724e7629be2b87d8d1edd043931178	d44b92551ba581b2162ed12849f866804d819e62afd8922c6c8ebb7d04407844	그 상태로는 잘 안 된 것 같군요		그 상태로는,잘 안 된 것 같군요	益　雌殿稽澗，設　照　吉　依　旭浦推		36	[]	imported	
DLC0305/ID00003/000012	dlc	DLC0305	ID00003	12	!DLC/DLC0305_cpk/DLC0305(DLC-05)-ID00003-script-통합.xlsx	41a47b4581458af837386b6947d3b56297724e7629be2b87d8d1edd043931178	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
DLC0305/ID00003/000013	dlc	DLC0305	ID00003	13	!DLC/DLC0305_cpk/DLC0305(DLC-05)-ID00003-script-통합.xlsx	41a47b4581458af837386b6947d3b56297724e7629be2b87d8d1edd043931178	811f2e169896325deadfd654d342e1acefad6aaf01bb907cadcbe268f8b8639e	좀 잠자코 있어라		좀 조용히 해	岨　繕遂備　背		14	[]	imported	
