entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0012/ID00003/000004	stage	STG0012	ID00003	4	01_스테이지 xlsx 모음/STG0012(9화B)-ID00003-script-통합.xlsx	fe16ad6af66d6ada4a88694586df164b9ad2c25a819b98b27f7817cb030750ab	ff15b5fc1bb992b45c49266198bf50f33ff7b60a1db234c29898512de293ed98	~마크로스 쿼터 격납고~		　　　　　　～마크로스 쿼터 격납고～	　　　　　　～原滴稽什　汀斗　維崖壱～		38	[]	imported	
STG0012/ID00003/000005	stage	STG0012	ID00003	5	01_스테이지 xlsx 모음/STG0012(9화B)-ID00003-script-통합.xlsx	fe16ad6af66d6ada4a88694586df164b9ad2c25a819b98b27f7817cb030750ab	8f97154540e5549f38768c706329ae1d14cf275cd2c0b8b77a34f1e73612996a	리디		리디	軒巨		4	[]	imported	
STG0012/ID00003/000006	stage	STG0012	ID00003	6	01_스테이지 xlsx 모음/STG0012(9화B)-ID00003-script-통합.xlsx	fe16ad6af66d6ada4a88694586df164b9ad2c25a819b98b27f7817cb030750ab	81838e58ec7857e6806f2c65b5c9bb1a5a382d333737099c82d9cf29c59706c1	네가 그 AT의 조종사인가?		네가 그 AT 라이더였나	革亜　益　ＡＴ　虞戚希心蟹		26	[]	imported	
STG0012/ID00003/000007	stage	STG0012	ID00003	7	01_스테이지 xlsx 모음/STG0012(9화B)-ID00003-script-통합.xlsx	fe16ad6af66d6ada4a88694586df164b9ad2c25a819b98b27f7817cb030750ab	c8fcffe4982175603e8ce1014be2e8a057c5451d79dff8196c199dd358a3f211	키리코		키리코	徹軒坪		6	[]	imported	
STG0012/ID00003/000008	stage	STG0012	ID00003	8	01_스테이지 xlsx 모음/STG0012(9화B)-ID00003-script-통합.xlsx	fe16ad6af66d6ada4a88694586df164b9ad2c25a819b98b27f7817cb030750ab	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0012/ID00003/000009	stage	STG0012	ID00003	9	01_스테이지 xlsx 모음/STG0012(9화B)-ID00003-script-통합.xlsx	fe16ad6af66d6ada4a88694586df164b9ad2c25a819b98b27f7817cb030750ab	8f97154540e5549f38768c706329ae1d14cf275cd2c0b8b77a34f1e73612996a	리디		리디	軒巨		4	[]	imported	
STG0012/ID00003/000010	stage	STG0012	ID00003	10	01_스테이지 xlsx 모음/STG0012(9화B)-ID00003-script-통합.xlsx	fe16ad6af66d6ada4a88694586df164b9ad2c25a819b98b27f7817cb030750ab	dc55e4055f44d248802579b7aa79b9d3e125bb4aac5e8e7ece861c09a41ac4b9	나는 리디 마세나스 소위다.		나는 리디 마세나스 소위다	蟹澗　軒巨　原室蟹什　社是陥		28	[]	imported	
STG0012/ID00003/000011	stage	STG0012	ID00003	11	01_스테이지 xlsx 모음/STG0012(9화B)-ID00003-script-통합.xlsx	fe16ad6af66d6ada4a88694586df164b9ad2c25a819b98b27f7817cb030750ab	91361839d7ae5d287908fd1da3749674205a35c291daa1c170c7a91a2e099f8c	앞으로 감사드립니다.		앞으로 잘 부탁한다	蒋生稽　設　採店廃陥		20	[]	imported	
STG0012/ID00003/000012	stage	STG0012	ID00003	12	01_스테이지 xlsx 모음/STG0012(9화B)-ID00003-script-통합.xlsx	fe16ad6af66d6ada4a88694586df164b9ad2c25a819b98b27f7817cb030750ab	c8fcffe4982175603e8ce1014be2e8a057c5451d79dff8196c199dd358a3f211	키리코		키리코	徹軒坪		6	[]	imported	
STG0012/ID00003/000013	stage	STG0012	ID00003	13	01_스테이지 xlsx 모음/STG0012(9화B)-ID00003-script-통합.xlsx	fe16ad6af66d6ada4a88694586df164b9ad2c25a819b98b27f7817cb030750ab	aed20bc3e6b50cf5e2ec7bcffd40023921183c26c598cc68eb7a998ca2cb396d	키리코 큐비다.		키리코 큐비다	徹軒坪　泥搾陥		14	[]	imported	
