entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0093a/ID00003/000002	stage	STG0093a	ID00003	2	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	갑아		코우지	坪酔走		6	[]	imported	
STG0093a/ID00003/000003	stage	STG0093a	ID00003	3	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	b2d9cc8a46fefc6e2294e73bc87acd689b780e709d347a5c581a3c30800cd7d2	여기는...!		여기는…！	食奄澗…！		10	[]	imported	
STG0093a/ID00003/000004	stage	STG0093a	ID00003	4	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	갑아		코우지	坪酔走		6	[]	imported	
STG0093a/ID00003/000005	stage	STG0093a	ID00003	5	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	05bb0dd78eecf5ece74a0ccd9ace6d16d9b501de8d5063864f42574493f0f289	내가 하데스에게 당해서 사경을 헤매고 있을 때,		내가 하데스에게 당해서 생사의 경계를 헤매고	鎧亜　馬汽什拭惟　雁背辞　持紫税　井域研　伯古壱		48	[]	imported	
STG0093a/ID00003/000006	stage	STG0093a	ID00003	6	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	73255cfbfc3351499c6b323132c7e94e00571249c476823828e481abcf6427ae	제우스랑 만난 공간인가...?		있을 때 제우스와 만났던 공간인가…？	赤聖　凶　薦酔什人　幻概揮　因娃昔亜…？		40	[]	imported	
STG0093a/ID00003/000007	stage	STG0093a	ID00003	7	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	1ed80c8151b5f09e401cc9635a9674630bcdcb7279a99d69b88df997b12496b9	제우스		제우스	薦酔什		6	[]	imported	
STG0093a/ID00003/000008	stage	STG0093a	ID00003	8	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	b039f2dd4607879ac00262eb19453cb55e50b88108b1190837f8241d526ac276	…맞다, 투구갑아		…그렇다,카부토 코우지	…益係陥，朝採塘　坪酔走		24	[]	imported	
STG0093a/ID00003/000009	stage	STG0093a	ID00003	9	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	갑아		코우지	坪酔走		6	[]	imported	
STG0093a/ID00003/000010	stage	STG0093a	ID00003	10	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	1a3616a89fc744761f36a54a5798d7b4786c8ac7d41985e0efe137490fdb0a8c	제우스...!		제우스…！	薦酔什…！		10	[]	imported	
STG0093a/ID00003/000011	stage	STG0093a	ID00003	11	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	1ed80c8151b5f09e401cc9635a9674630bcdcb7279a99d69b88df997b12496b9	제우스		제우스	薦酔什		6	[]	imported	
STG0093a/ID00003/000012	stage	STG0093a	ID00003	12	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	acaec5da072265e4e36b264e9f9916d19ee3c287072bfc753c23ef1727d69c67	지구 인류는 곧 자력으로, 여기에…		지구인류는 곧 스스로의 힘으로,여기…	走姥昔嫌澗　稲　什什稽税　毘生稽，食奄…		40	[]	imported	
STG0093a/ID00003/000013	stage	STG0093a	ID00003	13	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	f00b217aca76f5fe5140604bc0de88e29e3bc06d0cc2e2743a819a5be3ee2c98	시간과 공간을 초월한 우주로 올 수 있게 되는		시간과 공간을 초월한 우주에 올 수 있게 된다	獣娃引　因娃聖　段杉廃　酔爽拭　臣　呪　赤惟　吉陥		50	[]	imported	
STG0093a/ID00003/000014	stage	STG0093a	ID00003	14	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	52bd0a2936b436a63dbe00f151a8f57c024dcef550db227bd5269e070c0e4abd	갑아		코우지	坪酔走		6	[]	imported	
STG0093a/ID00003/000015	stage	STG0093a	ID00003	15	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	8ec8ca497bf44070f5e0eb8840f125f13a859b77806b9ac3208f7d04449548c6	무슨 일이야?		무슨 소리야?	巷充　社軒醤？		14	[]	imported	
STG0093a/ID00003/000016	stage	STG0093a	ID00003	16	01_스테이지 xlsx 모음/STG0093a(54화B)-ID00003-script-통합.xlsx	9412d279899640b66359ff192959073c5801f6a0bfc77b62996dca4ebc041023	1ed80c8151b5f09e401cc9635a9674630bcdcb7279a99d69b88df997b12496b9	제우스		제우스	薦酔什		6	[]	imported	
