entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0314/ID00003/000004	dlc	DLC0314	ID00003	4	!DLC/DLC0314_cpk/DLC0314(DLC-14)-ID00003-script-통합.xlsx	c22f894e3815579a7b33b0291f93d28dfc93b92ed0e56d56532f939dff6c026d	a173c668906f6f4c9f87323cbbb82c70f2ed9f208c2a624f74feb49ffc924cb7	~마크로스 쿼터 브리핑룸~		　　～마크로스・쿼터 브리핑룸～	　　～原滴稽什・汀斗　崎軒芭結～		32	[]	imported	
DLC0314/ID00003/000005	dlc	DLC0314	ID00003	5	!DLC/DLC0314_cpk/DLC0314(DLC-14)-ID00003-script-통합.xlsx	c22f894e3815579a7b33b0291f93d28dfc93b92ed0e56d56532f939dff6c026d	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
DLC0314/ID00003/000006	dlc	DLC0314	ID00003	6	!DLC/DLC0314_cpk/DLC0314(DLC-14)-ID00003-script-통합.xlsx	c22f894e3815579a7b33b0291f93d28dfc93b92ed0e56d56532f939dff6c026d	d329ebf882df85df654f68b504cc5156883314c66fa786814c1735b88ee28435	…라는 거야, 이게		…그런 이유 때문이야,이게	…益訓　戚政　凶庚戚醤，戚惟		28	[]	imported	
DLC0314/ID00003/000007	dlc	DLC0314	ID00003	7	!DLC/DLC0314_cpk/DLC0314(DLC-14)-ID00003-script-통합.xlsx	c22f894e3815579a7b33b0291f93d28dfc93b92ed0e56d56532f939dff6c026d	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
DLC0314/ID00003/000008	dlc	DLC0314	ID00003	8	!DLC/DLC0314_cpk/DLC0314(DLC-14)-ID00003-script-통합.xlsx	c22f894e3815579a7b33b0291f93d28dfc93b92ed0e56d56532f939dff6c026d	7be41918fef0c02fb16bc12f36b868a4061d6b5f79e34ce2e2037b5e6ece79fe	알아요, 그 기분		알겠어요,그 마음	硝畏嬢推，益　原製		18	[]	imported	
DLC0314/ID00003/000009	dlc	DLC0314	ID00003	9	!DLC/DLC0314_cpk/DLC0314(DLC-14)-ID00003-script-통합.xlsx	c22f894e3815579a7b33b0291f93d28dfc93b92ed0e56d56532f939dff6c026d	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
DLC0314/ID00003/000010	dlc	DLC0314	ID00003	10	!DLC/DLC0314_cpk/DLC0314(DLC-14)-ID00003-script-통합.xlsx	c22f894e3815579a7b33b0291f93d28dfc93b92ed0e56d56532f939dff6c026d	194050ee924f3180ad479608e9c8cf8db000af9a13c3069de56283fd69164702	역시, 스즈네 선생님께 이야기하길 잘했어		역시,스즈네 선생님께 이야기하길 잘했어	蝕獣，什綜革　識持還臆　戚醤奄馬掩　設梅嬢		42	[]	imported	
DLC0314/ID00003/000011	dlc	DLC0314	ID00003	11	!DLC/DLC0314_cpk/DLC0314(DLC-14)-ID00003-script-통합.xlsx	c22f894e3815579a7b33b0291f93d28dfc93b92ed0e56d56532f939dff6c026d	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
DLC0314/ID00003/000012	dlc	DLC0314	ID00003	12	!DLC/DLC0314_cpk/DLC0314(DLC-14)-ID00003-script-통합.xlsx	c22f894e3815579a7b33b0291f93d28dfc93b92ed0e56d56532f939dff6c026d	56106cc38f4db14a2c4c89baf303668df8d3e8b721965097d7f810d578dffb53	저도 비슷한 문제로 항상 고민하고 있으니까요		저도 비슷한 문제로 항상 고민하고 있으니까요	煽亀　搾汁廃　庚薦稽　牌雌　壱肯馬壱　赤生艦猿推		48	[]	imported	
DLC0314/ID00003/000013	dlc	DLC0314	ID00003	13	!DLC/DLC0314_cpk/DLC0314(DLC-14)-ID00003-script-통합.xlsx	c22f894e3815579a7b33b0291f93d28dfc93b92ed0e56d56532f939dff6c026d	6c721c04f9896b796d8b8934096270e378e4ca02cef2acfd10f977cb67aa80ef	노리코		노리코	葛軒坪		6	[]	imported	
