entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0097/ID00003/000002	stage	STG0097	ID00003	2	01_스테이지 xlsx 모음/STG0097(58화)-ID00003-script-통합.xlsx	96be7411ac2b17fe6d88f5bea0937bfd7db1d7db73ce7177a92213ef4ec89e82	af441cd351d1b34015435c39155813c44a7720e762b1cc4f65d035551f78a79a	킹		킹	天		2	[]	imported	
STG0097/ID00003/000003	stage	STG0097	ID00003	3	01_스테이지 xlsx 모음/STG0097(58화)-ID00003-script-통합.xlsx	96be7411ac2b17fe6d88f5bea0937bfd7db1d7db73ce7177a92213ef4ec89e82	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0097/ID00003/000004	stage	STG0097	ID00003	4	01_스테이지 xlsx 모음/STG0097(58화)-ID00003-script-통합.xlsx	96be7411ac2b17fe6d88f5bea0937bfd7db1d7db73ce7177a92213ef4ec89e82	92cabe635b04a042f6f42cf8105339b21504a712e2c78e8c3c0eefdacc0a7c19	퀸		퀸	蹄		2	[]	imported	
STG0097/ID00003/000005	stage	STG0097	ID00003	5	01_스테이지 xlsx 모음/STG0097(58화)-ID00003-script-통합.xlsx	96be7411ac2b17fe6d88f5bea0937bfd7db1d7db73ce7177a92213ef4ec89e82	099530e16b09e38a90922625d916bd648abc342f78e01ba2856c6ace3137e2cd	이 결과에 불만이라도?		이 결과에 불만이라도 있나요?	戚　衣引拭　災幻戚虞亀　赤蟹推？		32	[]	imported	
STG0097/ID00003/000006	stage	STG0097	ID00003	6	01_스테이지 xlsx 모음/STG0097(58화)-ID00003-script-통합.xlsx	96be7411ac2b17fe6d88f5bea0937bfd7db1d7db73ce7177a92213ef4ec89e82	af441cd351d1b34015435c39155813c44a7720e762b1cc4f65d035551f78a79a	킹		킹	天		2	[]	imported	
STG0097/ID00003/000007	stage	STG0097	ID00003	7	01_스테이지 xlsx 모음/STG0097(58화)-ID00003-script-통합.xlsx	96be7411ac2b17fe6d88f5bea0937bfd7db1d7db73ce7177a92213ef4ec89e82	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0097/ID00003/000008	stage	STG0097	ID00003	8	01_스테이지 xlsx 모음/STG0097(58화)-ID00003-script-통합.xlsx	96be7411ac2b17fe6d88f5bea0937bfd7db1d7db73ce7177a92213ef4ec89e82	92cabe635b04a042f6f42cf8105339b21504a712e2c78e8c3c0eefdacc0a7c19	퀸		퀸	蹄		2	[]	imported	
STG0097/ID00003/000009	stage	STG0097	ID00003	9	01_스테이지 xlsx 모음/STG0097(58화)-ID00003-script-통합.xlsx	96be7411ac2b17fe6d88f5bea0937bfd7db1d7db73ce7177a92213ef4ec89e82	d5b392e212bf6ed6d137b384c9167a4df0ef199e968a243fb4cc2eca42618fc9	인류가 선택한 미래…		인류가 선택한 미래…	昔嫌亜　識澱廃　耕掘…		22	[]	imported	
STG0097/ID00003/000010	stage	STG0097	ID00003	10	01_스테이지 xlsx 모음/STG0097(58화)-ID00003-script-통합.xlsx	96be7411ac2b17fe6d88f5bea0937bfd7db1d7db73ce7177a92213ef4ec89e82	fd906d16ebdae77d7c2a7a3db10dda0230095d478863c67126c7150fdce354a5	확실히 그것은 크로노의 교리에 반하는 것이군요		확실히 그것은 크로노의 교리에 반하는 것이군요	溌叔備　益依精　滴稽葛税　嘘軒拭　鋼馬澗　依戚浦推		50	[]	imported	
STG0097/ID00003/000011	stage	STG0097	ID00003	11	01_스테이지 xlsx 모음/STG0097(58화)-ID00003-script-통합.xlsx	96be7411ac2b17fe6d88f5bea0937bfd7db1d7db73ce7177a92213ef4ec89e82	af441cd351d1b34015435c39155813c44a7720e762b1cc4f65d035551f78a79a	킹		킹	天		2	[]	imported	
STG0097/ID00003/000012	stage	STG0097	ID00003	12	01_스테이지 xlsx 모음/STG0097(58화)-ID00003-script-통합.xlsx	96be7411ac2b17fe6d88f5bea0937bfd7db1d7db73ce7177a92213ef4ec89e82	21051fb842da54781b83386514194cfb1a2b31e1343584c237f81a08df57d9c0	미워해야 할 것은 개혁파다…		증오스러운 것은 개혁파다…	装神什君錘　依精　鯵舶督陥…		28	[]	imported	
STG0097/ID00003/000013	stage	STG0097	ID00003	13	01_스테이지 xlsx 모음/STG0097(58화)-ID00003-script-통합.xlsx	96be7411ac2b17fe6d88f5bea0937bfd7db1d7db73ce7177a92213ef4ec89e82	af441cd351d1b34015435c39155813c44a7720e762b1cc4f65d035551f78a79a	킹		킹	天		2	[]	imported	
STG0097/ID00003/000014	stage	STG0097	ID00003	14	01_스테이지 xlsx 모음/STG0097(58화)-ID00003-script-통합.xlsx	96be7411ac2b17fe6d88f5bea0937bfd7db1d7db73ce7177a92213ef4ec89e82	82fc009300a30f47851588010647f4ea66e89376bc774ece7a74c1387b94bec0	$c의 존재 뒤에서		$c의 존재 이면에서	$ｃ税　糎仙　戚檎拭辞		22	"[""$c""]"	imported	
STG0097/ID00003/000015	stage	STG0097	ID00003	15	01_스테이지 xlsx 모음/STG0097(58화)-ID00003-script-통합.xlsx	96be7411ac2b17fe6d88f5bea0937bfd7db1d7db73ce7177a92213ef4ec89e82	9ff1bed64bc27a580826b1c0a361f84cb00f8e1bcf7da5453d4057e844add3c8	시공수복 준비를 돕고 있었다니…		시공수복 준비의 도움을 주고 있었다니…	獣因呪差　層搾税　亀崇聖　爽壱　赤醸陥艦…		42	[]	imported	
