entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0230-16화후분기/ID00003/000004	stage	STG0230-16화후분기	ID00003	4	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	ab19980663f47aae4b850f2223f08d332efdf1838493679ab5589630078e66ee	~극동지부기지 살롱~		　　　　　　　　～극동지부 기지 살롱～	　　　　　　　　～駅疑走採　奄走　詞荊～		40	[]	imported	
STG0230-16화후분기/ID00003/000005	stage	STG0230-16화후분기	ID00003	5	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
STG0230-16화후분기/ID00003/000006	stage	STG0230-16화후분기	ID00003	6	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	ede499de1914396743c280bf161f9ccbb5f55c59d04f372759cdd82e5ea12d5c	재난이었지, 카츠라씨도		재난이었네,카츠라기도	仙貝戚醸革，朝苧虞奄亀		22	[]	imported	
STG0230-16화후분기/ID00003/000007	stage	STG0230-16화후분기	ID00003	7	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	9bcbe1433ae8354ccd85f9694a2b81767eae6e5d568b6d40e1cc70115167e130	가쓰라		카츠라기	朝苧虞奄		8	[]	imported	
STG0230-16화후분기/ID00003/000008	stage	STG0230-16화후분기	ID00003	8	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	f83dc60bd90d04c4d70779401dc8d0f6999229bba9d4538b83ad5950965b90f2	나는 ADW로부터 귀환한 직후의 시공간 진동에서는,		나는 ADW에서 귀환 직후 시공진동에서는,	蟹澗　ＡＤＷ拭辞　瑛発　送板　獣因遭疑拭辞澗，		46	[]	imported	
STG0230-16화후분기/ID00003/000009	stage	STG0230-16화후분기	ID00003	9	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	578e21c290aaf57f13d840173c53938285c5963a97a48300fa66e8d533268c40	"이쪽의 세계로 뛰지않고, 무사히 ""팩토리""와"		이쪽 세계로 넘어가지 않고,무사히 《팩토리》와	戚楕　室域稽　角嬢亜走　省壱，巷紫備　《苫塘軒》人		50	[]	imported	
STG0230-16화후분기/ID00003/000010	stage	STG0230-16화후분기	ID00003	10	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	bc5e62d26331848a5a131d02b6943d7ed6912df324313e13e718c4df8735c2e1	합류할 수 있었구나...		합류할 수 있었는데…	杯嫌拝　呪　赤醸澗汽…		22	[]	imported	
STG0230-16화후분기/ID00003/000011	stage	STG0230-16화후분기	ID00003	11	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	9bcbe1433ae8354ccd85f9694a2b81767eae6e5d568b6d40e1cc70115167e130	가쓰라		카츠라기	朝苧虞奄		8	[]	imported	
STG0230-16화후분기/ID00003/000012	stage	STG0230-16화후분기	ID00003	12	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	52359a88b7d137079c6393e3e73ef58e298eb77fe620570e1a6f9ae049b8e715	이걸로 밋지와 함께		이걸로 밈지와 함께 자유로운	戚杏稽　航走人　敗臆　切政稽錘		30	[]	imported	
STG0230-16화후분기/ID00003/000013	stage	STG0230-16화후분기	ID00003	13	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	0f05cc0fdca8fc101ce3561b77e3bd0187537413bff211c012b8ecedc11903b5	제멋대로인 캐러밴 직업으로 돌아갈 수 있다고 생각했는데		캐러밴업으로 돌아갈 수 있을 거라 생각했는데	蝶君濠穣生稽　宜焼哀　呪　赤聖　暗虞　持唖梅澗汽		48	[]	imported	
STG0230-16화후분기/ID00003/000014	stage	STG0230-16화후분기	ID00003	14	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	10d55ec15fcf10d4eb46597d1e77059b3e642bff725380b04c062968244aa1ca	또다시 시공 진동에 휘말리다니		또 시공진동에 휘말리다니	暁　獣因遭疑拭　番源軒陥艦		26	[]	imported	
STG0230-16화후분기/ID00003/000015	stage	STG0230-16화후분기	ID00003	15	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0230-16화후분기/ID00003/000016	stage	STG0230-16화후분기	ID00003	16	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	d7088aa59566abc1d4584ea3dcd7b25d6beaea09c2f7f5d3f97f8a0441e94901	(이 사람도, UCW에서는 ZEUTH로서 싸워서,		（이 사람도,UCW에서는 ZEUTH로서 싸우고,	（戚　紫寓亀，ＵＣＷ拭辞澗　ＺＥＵＴＨ稽辞　塾酔壱，		52	[]	imported	
STG0230-16화후분기/ID00003/000017	stage	STG0230-16화후분기	ID00003	17	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	6eb2874091e8e53ec2d6847d910224e97dee4412c39c4cc7cca314f6523f2b00	ADW에서는 ZEXIS의 일원이었나...)		ADW에서는 ZEXIS의 일원이었던 건가…）	ＡＤＷ拭辞澗　ＺＥＸＩＳ税　析据戚醸揮　闇亜…）		48	[]	imported	
STG0230-16화후분기/ID00003/000018	stage	STG0230-16화후분기	ID00003	18	01_스테이지 xlsx 모음/STG0230(16화후분기)-ID00003-script-통합.xlsx	0ec2070df8f12f1a02a1ea66348310df4c944cef076b78cbfebe922a0a02d826	9bcbe1433ae8354ccd85f9694a2b81767eae6e5d568b6d40e1cc70115167e130	가쓰라		카츠라기	朝苧虞奄		8	[]	imported	
