entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0088b/ID00003/000004	stage	STG0088b	ID00003	4	01_스테이지 xlsx 모음/STG0088b(54화A)-ID00003-script-통합.xlsx	cde42d6474230f8b436401d47f45db4bc447f00a9219125a3ee75002f7de2c26	ff15b5fc1bb992b45c49266198bf50f33ff7b60a1db234c29898512de293ed98	~마크로스 쿼터 격납고~		　　　　　　～마크로스 쿼터 격납고～	　　　　　　～原滴稽什　汀斗　維崖壱～		38	[]	imported	
STG0088b/ID00003/000005	stage	STG0088b	ID00003	5	01_스테이지 xlsx 모음/STG0088b(54화A)-ID00003-script-통합.xlsx	cde42d6474230f8b436401d47f45db4bc447f00a9219125a3ee75002f7de2c26	9bcbe1433ae8354ccd85f9694a2b81767eae6e5d568b6d40e1cc70115167e130	가쓰라		케이	追戚		4	[]	imported	
STG0088b/ID00003/000006	stage	STG0088b	ID00003	6	01_스테이지 xlsx 모음/STG0088b(54화A)-ID00003-script-통합.xlsx	cde42d6474230f8b436401d47f45db4bc447f00a9219125a3ee75002f7de2c26	f5082fde97462249ad6c368ec68275363cc27a3e8faec0b469d8fb4dfd7742fa	그럼 그 엔젤은		…그럼,그 엔젤은	…益軍，益　殖践精		18	[]	imported	
STG0088b/ID00003/000007	stage	STG0088b	ID00003	7	01_스테이지 xlsx 모음/STG0088b(54화A)-ID00003-script-통합.xlsx	cde42d6474230f8b436401d47f45db4bc447f00a9219125a3ee75002f7de2c26	a6a9410891179093fd6ea6bd90ebf262625ae8d94a93889cef898dbf65b33039	패러다임 시티의 존재 그 자체였다는 거야?		패러다임 시티의 존재 그 자체였다는 건가?	鳶君陥績　獣銅税　糎仙　益　切端心陥澗　闇亜？		46	[]	imported	
STG0088b/ID00003/000008	stage	STG0088b	ID00003	8	01_스테이지 xlsx 모음/STG0088b(54화A)-ID00003-script-통합.xlsx	cde42d6474230f8b436401d47f45db4bc447f00a9219125a3ee75002f7de2c26	dc0e2044a9ad5cdce06319958004716ee429e349f5ef44f7cb886ba6b3b2198e	로저		로저	稽煽		4	[]	imported	
STG0088b/ID00003/000009	stage	STG0088b	ID00003	9	01_스테이지 xlsx 모음/STG0088b(54화A)-ID00003-script-통합.xlsx	cde42d6474230f8b436401d47f45db4bc447f00a9219125a3ee75002f7de2c26	dbbb5420001ad1e1a6fba12dfcb7c6ff24ab6ce737f2d22e12fa6cae29a7cd5f	고든 로즈워터는		고든 로즈워터는	壱窮　稽綜趨斗澗		16	[]	imported	
STG0088b/ID00003/000010	stage	STG0088b	ID00003	10	01_스테이지 xlsx 모음/STG0088b(54화A)-ID00003-script-통합.xlsx	cde42d6474230f8b436401d47f45db4bc447f00a9219125a3ee75002f7de2c26	acff2f896bdfa619e437c6d9d359626329bdb1ace28afba86ccd96c3fc1b8346	그렇게 추측하더라		그렇게 추측하고 있었지	益係惟　蓄著馬壱　赤醸走		24	[]	imported	
STG0088b/ID00003/000011	stage	STG0088b	ID00003	11	01_스테이지 xlsx 모음/STG0088b(54화A)-ID00003-script-통합.xlsx	cde42d6474230f8b436401d47f45db4bc447f00a9219125a3ee75002f7de2c26	190f638ba39892254a944d2a0f9527021e515af3a2cc6a1ec9e1bbeebd4307fc	듀오		듀오	朽神		4	[]	imported	
STG0088b/ID00003/000012	stage	STG0088b	ID00003	12	01_스테이지 xlsx 모음/STG0088b(54화A)-ID00003-script-통합.xlsx	cde42d6474230f8b436401d47f45db4bc447f00a9219125a3ee75002f7de2c26	b0aa0623f1aa37fceb6b87a6608901cfee62df0e20fca53970fa7dc2df5d6707	거리의 존재가 한사람인 인간이란...		거리의 존재가 한 사람의 인간이라니…	暗軒税　糎仙亜　廃　紫寓税　昔娃戚虞艦…		40	[]	imported	
STG0088b/ID00003/000013	stage	STG0088b	ID00003	13	01_스테이지 xlsx 모음/STG0088b(54화A)-ID00003-script-통합.xlsx	cde42d6474230f8b436401d47f45db4bc447f00a9219125a3ee75002f7de2c26	e033711952ea8375a1c5c830c6461498e50fe735139d5ae8956e82b07721af37	힐데		힐데	枇汽		4	[]	imported	
STG0088b/ID00003/000014	stage	STG0088b	ID00003	14	01_스테이지 xlsx 모음/STG0088b(54화A)-ID00003-script-통합.xlsx	cde42d6474230f8b436401d47f45db4bc447f00a9219125a3ee75002f7de2c26	7dd683f6795782340c9da69ec3eb131c18e63fbcd19d7bd25d95b30208808ec4	잘 이해가 안 되는데...		잘 이해가 안 되는데요…	設　戚背亜　照　鞠澗汽推…		26	[]	imported	
STG0088b/ID00003/000015	stage	STG0088b	ID00003	15	01_스테이지 xlsx 모음/STG0088b(54화A)-ID00003-script-통합.xlsx	cde42d6474230f8b436401d47f45db4bc447f00a9219125a3ee75002f7de2c26	dc0e2044a9ad5cdce06319958004716ee429e349f5ef44f7cb886ba6b3b2198e	로저		로저	稽煽		4	[]	imported	
