entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0054/ID00003/000004	stage	STG0054	ID00003	4	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	626003296b5b75764071e338fbb515f498f5f8eed649365acafb8647f306970b	~샤아 아즈나블 개인실~		　　　　　～샤아・아즈나블 개인실～	　　　　　～時焼・焼綜蟹鷺　鯵昔叔～		36	[]	imported	
STG0054/ID00003/000005	stage	STG0054	ID00003	5	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
STG0054/ID00003/000006	stage	STG0054	ID00003	6	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0054/ID00003/000007	stage	STG0054	ID00003	7	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	8d17effa01e40912cd0e383bdff7bd35e3121d977e7526dd77c63076a8b3bdf2	트라이아		트라이아	闘虞戚焼		8	[]	imported	
STG0054/ID00003/000008	stage	STG0054	ID00003	8	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	0d776853effe02a7cf58a898b9e00372e524d170b1fa00d1a047d3097f741bfa	이상이지만 내가 아는 한 이터니티 플랫의		…이상이 제가 아는 한 이터니티・플랫의	…戚雌戚　薦亜　焼澗　廃　戚斗艦銅・巴熊税		42	[]	imported	
STG0054/ID00003/000009	stage	STG0054	ID00003	9	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	bb2f59c68a89886f779679c60a4966045d6bffa3a6617cdc05a4d3291f022cea	정보야		정보입니다	舛左脊艦陥		10	[]	imported	
STG0054/ID00003/000010	stage	STG0054	ID00003	10	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
STG0054/ID00003/000011	stage	STG0054	ID00003	11	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	f7d7bbb70426c96c4f5b95fed1f932b023b4f2f526693c011340093d6ada46f8	미안한데, 트라이아(トライ博士ア、) 박사님.		미안하군,트라이아 박사	耕照馬浦，闘虞戚焼　酵紫		24	[]	imported	
STG0054/ID00003/000012	stage	STG0054	ID00003	12	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	d7dddb0bad9e1a19eb5ac443d9eebc061a967382fca440b5469c2926f8e59351	연방과 네오디온을 양다리에 걸친 듯한 흉내를		연방과 네오・지온 양쪽에 걸치는 짓을	尻号引　革神・走紳　丞楕拭　杏帖澗　憎聖		40	[]	imported	
STG0054/ID00003/000013	stage	STG0054	ID00003	13	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	efe793dc680243e23ad0d0cd6e382128c1606d4e54854b99357f85862a562472	받고		시켜서	獣佃辞		6	[]	imported	
STG0054/ID00003/000014	stage	STG0054	ID00003	14	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	8d17effa01e40912cd0e383bdff7bd35e3121d977e7526dd77c63076a8b3bdf2	트라이아		트라이아	闘虞戚焼		8	[]	imported	
STG0054/ID00003/000015	stage	STG0054	ID00003	15	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	acb14ba1977a327231a54507cad37efec27a3b13750b9e8350e6ae6f73ddf2ad	신경 쓰지 마.		신경 쓰지 마십시오	重井　床走　原淑獣神		20	[]	imported	
STG0054/ID00003/000016	stage	STG0054	ID00003	16	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	d40c52568c5ccc43a1175167b8cba8f7bcf1ebf7fc3e25eac2c4ee92cd500c5e	나로 치면, 전쟁의 행방에는		저는 전쟁의 향방에는	煽澗　穿戦税　狽号拭澗		22	[]	imported	
STG0054/ID00003/000017	stage	STG0054	ID00003	17	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	7c6f4b49b7499a1a10a208445fa36a8dcd6182f0a9a838646c4144992032b5eb	그다지 관심도 없고 말야		그다지 관심 없으니까요	益陥走　淫宿　蒸生艦猿推		24	[]	imported	
STG0054/ID00003/000018	stage	STG0054	ID00003	18	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	8d17effa01e40912cd0e383bdff7bd35e3121d977e7526dd77c63076a8b3bdf2	트라이아		트라이아	闘虞戚焼		8	[]	imported	
STG0054/ID00003/000019	stage	STG0054	ID00003	19	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	9e82df1ae632c991703dbda9972a0bed0470e0a3d68bb4c46e3c490ab794e89a	그렇다고 해도, 귀찮은 일은 좋아하지 않는다.		라고는 해도 귀찮은 일은 싫습니다	虞壱澗　背亀　瑛諾精　析精　夙柔艦陥		36	[]	imported	
STG0054/ID00003/000020	stage	STG0054	ID00003	20	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	23cdc71a26fcdeb324c0047e864fb0e463820c4a027fb498d18355c8a151dc2a	나의 이야기로 전쟁을 그만둘 생각을 해주었다면		제 이야기로 전쟁을 그만둘 생각이 들었다면	薦　戚醤奄稽　穿戦聖　益幻却　持唖戚　級醸陥檎		46	[]	imported	
STG0054/ID00003/000021	stage	STG0054	ID00003	21	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	a594723a215ac3a7ac88c914193d463eb372d60cabf5eebd57051ccbaa334cf5	만만세다		더할 나위 없이 좋겠지만	希拝　蟹是　蒸戚　疏畏走幻		26	[]	imported	
STG0054/ID00003/000022	stage	STG0054	ID00003	22	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	c7401752e5f951aa2af913ac0b4e7c3ad533ada544db2c132b892582ffc38632	샤아		샤아	時焼		4	[]	imported	
STG0054/ID00003/000023	stage	STG0054	ID00003	23	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	14f708ae140df8ac76e0aac386ae17cffacda3de300a9471bfde4648cb07e90a	유감스럽게도 그것은 없다		유감스럽지만,그럴 일은 없겠지	政姶什郡走幻，益群　析精　蒸畏走		32	[]	imported	
STG0054/ID00003/000024	stage	STG0054	ID00003	24	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	8d17effa01e40912cd0e383bdff7bd35e3121d977e7526dd77c63076a8b3bdf2	트라이아		트라이아	闘虞戚焼		8	[]	imported	
STG0054/ID00003/000025	stage	STG0054	ID00003	25	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	b238bba77c66007ff25724bb07884787acf8e8e980b8582102d71cfd1ff926e4	좋아.		괜찮습니다	右諾柔艦陥		10	[]	imported	
STG0054/ID00003/000026	stage	STG0054	ID00003	26	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	5defff103a6c031f06924aa7a585102ae9b2838fedff78702a6476eb05d75eaf	처음부터 기대는 하지 않고 있다		처음부터 기대하지 않았습니다	坦製採斗　奄企馬走　省紹柔艦陥		30	[]	imported	
STG0054/ID00003/000027	stage	STG0054	ID00003	27	01_스테이지 xlsx 모음/STG0054(36화A)-ID00003-script-통합.xlsx	bfd07e0a591d10599cbfeec8a41d77e87abdadec3d223420ebb133de8de3718d	8d17effa01e40912cd0e383bdff7bd35e3121d977e7526dd77c63076a8b3bdf2	트라이아		트라이아	闘虞戚焼		8	[]	imported	
