entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0023/ID00003/000004	stage	STG0023	ID00003	4	01_스테이지 xlsx 모음/STG0023(12화C)-ID00003-script-통합.xlsx	d653cee38adf974f10932bd86d776a3ec134d44cdec0edcd9f9b7a49c3abdcbc	de52c17cab97b591c9f6b888af3c1adbd813f6c99769895cbdb7d5cbbc4db963	~아·코바의 거리~		　　　　　　　　　　～아・코바 거리～	　　　　　　　　　　～焼・坪郊　暗軒～		38	[]	imported	
STG0023/ID00003/000005	stage	STG0023	ID00003	5	01_스테이지 xlsx 모음/STG0023(12화C)-ID00003-script-통합.xlsx	d653cee38adf974f10932bd86d776a3ec134d44cdec0edcd9f9b7a49c3abdcbc	b48c56a27cc91b14b336c3322df2d1c233d6db35baa97558ab0d8733346c39a0	관객		관객	淫梓		4	[]	imported	
STG0023/ID00003/000006	stage	STG0023	ID00003	6	01_스테이지 xlsx 모음/STG0023(12화C)-ID00003-script-통합.xlsx	d653cee38adf974f10932bd86d776a3ec134d44cdec0edcd9f9b7a49c3abdcbc	fdec5911fc583f0ab3223c9254156ff5445fb3e1eb8ba39332087e4d4804614b	>어우, 들었구나!		오오,들었어!	神神，級醸嬢！		14	[]	imported	
STG0023/ID00003/000007	stage	STG0023	ID00003	7	01_스테이지 xlsx 모음/STG0023(12화C)-ID00003-script-통합.xlsx	d653cee38adf974f10932bd86d776a3ec134d44cdec0edcd9f9b7a49c3abdcbc	26b59c237ff1025618cdb056764191de1e900c881b4b980e0cb376b63674c8f4	그 말도 안 되는 버틀링 이야기!		소문의 그 엄청난 배틀링 이야기!	社庚税　益　畳短貝　壕堂元　戚醤奄！		36	[]	imported	
STG0023/ID00003/000008	stage	STG0023	ID00003	8	01_스테이지 xlsx 모음/STG0023(12화C)-ID00003-script-통합.xlsx	d653cee38adf974f10932bd86d776a3ec134d44cdec0edcd9f9b7a49c3abdcbc	b48c56a27cc91b14b336c3322df2d1c233d6db35baa97558ab0d8733346c39a0	관객		관객	淫梓		4	[]	imported	
STG0023/ID00003/000009	stage	STG0023	ID00003	9	01_스테이지 xlsx 모음/STG0023(12화C)-ID00003-script-통합.xlsx	d653cee38adf974f10932bd86d776a3ec134d44cdec0edcd9f9b7a49c3abdcbc	54fa0d4aaafc906e02b5be467cf22eefe95492bc8d0b89c5291f41b10655c591	당연하지!		당연하지!	雁尻馬走！		10	[]	imported	
STG0023/ID00003/000010	stage	STG0023	ID00003	10	01_스테이지 xlsx 모음/STG0023(12화C)-ID00003-script-통합.xlsx	d653cee38adf974f10932bd86d776a3ec134d44cdec0edcd9f9b7a49c3abdcbc	b4e65c34f73157e6b9accf7e10d3745ed271c63072e064456cc543b527e06172	아스트라기우스 최대의 육전무기,		아스트라기우스 최대의 육전병기,	焼什闘虞奄酔什　置企税　整穿佐奄，		34	[]	imported	
STG0023/ID00003/000011	stage	STG0023	ID00003	11	01_스테이지 xlsx 모음/STG0023(12화C)-ID00003-script-통합.xlsx	d653cee38adf974f10932bd86d776a3ec134d44cdec0edcd9f9b7a49c3abdcbc	5b833f85b6ede2da76d8866bc4b4a0de16beb71284fe78b6bd4126a1b8ccf75b	지상전함이 나온대!		지상전함이 나온다지!	走雌穿敗戚　蟹紳陥走！		22	[]	imported	
STG0023/ID00003/000012	stage	STG0023	ID00003	12	01_스테이지 xlsx 모음/STG0023(12화C)-ID00003-script-통합.xlsx	d653cee38adf974f10932bd86d776a3ec134d44cdec0edcd9f9b7a49c3abdcbc	b48c56a27cc91b14b336c3322df2d1c233d6db35baa97558ab0d8733346c39a0	관객		관객	淫梓		4	[]	imported	
STG0023/ID00003/000013	stage	STG0023	ID00003	13	01_스테이지 xlsx 모음/STG0023(12화C)-ID00003-script-통합.xlsx	d653cee38adf974f10932bd86d776a3ec134d44cdec0edcd9f9b7a49c3abdcbc	7ccb068da37abf9c56d9d6ebdd6903c1432c1e70abb110403b255a492a35d52d	그것을 맞이하여 쏘는 것은 극악무도한 불량배 집단!		그걸 맞이하는 건 극악무도한 악당 집단!	益杏　限戚馬澗　闇　駅焦巷亀廃　焦雁　増舘！		44	[]	imported	
