entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0019/ID00003/000002	stage	STG0019	ID00003	2	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	eec9e9abf1a23ce26381a647741177ff47348ee93fedc5fd0432740af0649705	신지		신지	重走		4	[]	imported	
STG0019/ID00003/000003	stage	STG0019	ID00003	3	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0019/ID00003/000004	stage	STG0019	ID00003	4	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0019/ID00003/000005	stage	STG0019	ID00003	5	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	7666d4b492b22061ec2ee3e012ea2533610941203641aacfc16697b0de5f21e7	좋아, 신지야?		좋아,신지 군?	疏焼，重走　浦？		16	[]	imported	
STG0019/ID00003/000006	stage	STG0019	ID00003	6	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	726f122e78a7be157d8809f8e64b57193793b9abc5e4380acf643e8ca9177d0f	나는 시뮬레이션을 시작할 것이다		시뮬레이션을 시작할게	獣皇傾戚芝聖　獣拙拝惟		22	[]	imported	
STG0019/ID00003/000007	stage	STG0019	ID00003	7	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	eec9e9abf1a23ce26381a647741177ff47348ee93fedc5fd0432740af0649705	신지		신지	重走		4	[]	imported	
STG0019/ID00003/000008	stage	STG0019	ID00003	8	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	8f90d85ec13a0b1b12d81203f2f3262ca156028a94aeaf91ae52fcd5a9de4170	네		네	革		2	[]	imported	
STG0019/ID00003/000009	stage	STG0019	ID00003	9	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0019/ID00003/000010	stage	STG0019	ID00003	10	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	764856220e523580070b31689096cafddad98cca1a309945d920f71257ba78f2	사도에게는 반드시 코어라고 불리는 부위가 있어.		사도에게는 반드시 코어라고 불리는 부위가 있어	紫亀拭惟澗　鋼球獣　坪嬢虞壱　災軒澗　採是亜　赤嬢		50	[]	imported	
STG0019/ID00003/000011	stage	STG0019	ID00003	11	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	427f03d3d2ff2a4b4c4c5225c695e5b159c7b9d66b55b72861dd483128ee2f03	그 파괴가 사도를 물리적으로 섬멸할 수 있는 유일한 수단이야.		물리적으로 전멸시킬 수 있는 유일한 수단이야	弘軒旋生稽　穿瑚獣迭　呪　赤澗　政析廃　呪舘戚醤		48	[]	imported	
STG0019/ID00003/000012	stage	STG0019	ID00003	12	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	f32d0b7dd5ca872b8d64258479f0a9b78aa944da70b3ce1086eb2f7a29d8c48a	그러니까, 거기를 노리고, 목표를 센터에 넣고 스위치...		거기를 노리고,목표를 중앙에 넣고 스위치…	暗奄研　葛軒壱，鯉妊研　掻肖拭　隔壱　什是帖…		46	[]	imported	
STG0019/ID00003/000013	stage	STG0019	ID00003	13	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0019/ID00003/000014	stage	STG0019	ID00003	14	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	9f0dcf57caa55186e8e89a5d2c2fc2b9ee1ca0db795b1eb5ddbb053c9b5410a8	이거를 정확하게 처리해서 감각으로 외워서		이것을 정확하게 처리하고,감각으로 기억해 둬	戚依聖　舛溌馬惟　坦軒馬壱，姶唖生稽　奄常背　丘		48	[]	imported	
STG0019/ID00003/000015	stage	STG0019	ID00003	15	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	eec9e9abf1a23ce26381a647741177ff47348ee93fedc5fd0432740af0649705	신지		신지	重走		4	[]	imported	
STG0019/ID00003/000016	stage	STG0019	ID00003	16	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	8f90d85ec13a0b1b12d81203f2f3262ca156028a94aeaf91ae52fcd5a9de4170	네		네	革		2	[]	imported	
STG0019/ID00003/000017	stage	STG0019	ID00003	17	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	5db51a02486129307029aad803bebac5700f142bccd1abd4aea470c15d8c194a	미사토		미사토	耕紫塘		6	[]	imported	
STG0019/ID00003/000018	stage	STG0019	ID00003	18	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	1cefdef58ef1f3205ec117b922406cfa8bd93ef8a371290262bf6b1dc9ebdb38	기억해, 신지야.		기억해 두렴,신지 군	奄常背　砧慧，重走　浦		22	[]	imported	
STG0019/ID00003/000019	stage	STG0019	ID00003	19	01_스테이지 xlsx 모음/STG0019(12화B)-ID00003-script-통합.xlsx	53f29750b184d7c03fd7e44ea1d016b6188a22bcfeb18bbdf81a22bd76bbb355	6fc497ed0b3eab9a6cf82949140573cbac75962f4720714769568ed5d8b7e738	이 훈련은 분명 나중에 너를 도와줄 거야.		이 훈련은,분명 나중에 너를 도와줄 거야	戚　汎恵精，歳誤　蟹掻拭　格研　亀人匝　暗醤		44	[]	imported	
