entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0083/Sheet1/000002	stage	STG0083	Sheet1	2	01_스테이지 xlsx 모음/STG0083(49화)-ID00003-ID00007-sjis.xlsx	cc1202b25f19a2c8573c933e4f12190f6270c8f1cd475dc472f41b5d9a902b9d	f44786085cd170b5fe2a6f88187631f249bf91f27702668adfa285527c6f0137		고요한⑲시간의⑲흐름	고요한⑲시간의⑲흐름	壱推廃⑲獣娃税⑲斐硯	70		"[""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	imported	
STG0083/Sheet1/000003	stage	STG0083	Sheet1	3	01_스테이지 xlsx 모음/STG0083(49화)-ID00003-ID00007-sjis.xlsx	cc1202b25f19a2c8573c933e4f12190f6270c8f1cd475dc472f41b5d9a902b9d	7fd5c98289544601b92da4c8c224f88c2be96f818db9743c2351b8c534b02215		그⑲무엇에도⑲침범당하지⑲않는⑲안녕의⑲나날	그⑲무엇에도⑲침범당하지⑲않는⑲안녕의⑲나날	徴骨雁馬走⑲省澗⑲照括税⑲蟹劾	70		"[""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	blocked	제어 토큰 불일치(누락=⑲,⑲)
STG0083/Sheet1/000004	stage	STG0083	Sheet1	4	01_스테이지 xlsx 모음/STG0083(49화)-ID00003-ID00007-sjis.xlsx	cc1202b25f19a2c8573c933e4f12190f6270c8f1cd475dc472f41b5d9a902b9d	a9f875389d81283b65f86cef97595a7385ccea115cd0248df9b0b1a8292fd6fb		어째서……？⑲어째서⑲당신들은⑲그것을⑲거부하는가?	어째서……？⑲어째서⑲당신들은⑲그것을⑲거부하는가?	嬢属辞⑲雁重級精⑲益依聖⑲暗採馬澗亜？	1260		"[""⑲"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦"",""㊦""]"	blocked	제어 토큰 불일치(누락=⑲)
STG0083/ID00003/000004	stage	STG0083	ID00003	4	01_스테이지 xlsx 모음/STG0083(49화)-ID00003-script-통합.xlsx	1f37717657ebfb29dbde60601c53a743a549e4cd2427e3be8d753a622498b173	a173c668906f6f4c9f87323cbbb82c70f2ed9f208c2a624f74feb49ffc924cb7	~마크로스 쿼터 브리핑룸~		　　～마크로스・쿼터 브리핑룸～	　　～原滴稽什・汀斗　崎軒芭結～		32	[]	imported	
STG0083/ID00003/000005	stage	STG0083	ID00003	5	01_스테이지 xlsx 모음/STG0083(49화)-ID00003-script-통합.xlsx	1f37717657ebfb29dbde60601c53a743a549e4cd2427e3be8d753a622498b173	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0083/ID00003/000006	stage	STG0083	ID00003	6	01_스테이지 xlsx 모음/STG0083(49화)-ID00003-script-통합.xlsx	1f37717657ebfb29dbde60601c53a743a549e4cd2427e3be8d753a622498b173	89919fc5e426fb73193c1bc7e12831e7574793f96d84067efef8090e44f8d3e8	...뭐예요, 스즈네 선생님?		…무슨 일이죠,스즈네 선생님?	…巷充　析戚倉，什綜革　識持還？		32	[]	imported	
STG0083/ID00003/000007	stage	STG0083	ID00003	7	01_스테이지 xlsx 모음/STG0083(49화)-ID00003-script-통합.xlsx	1f37717657ebfb29dbde60601c53a743a549e4cd2427e3be8d753a622498b173	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0083/ID00003/000008	stage	STG0083	ID00003	8	01_스테이지 xlsx 모음/STG0083(49화)-ID00003-script-통합.xlsx	1f37717657ebfb29dbde60601c53a743a549e4cd2427e3be8d753a622498b173	30095c135d2dcf9e231659dd3a22b8b1427ba837dbebe42dc3b11369f161f780	부대가 합류했기 때문에,		부대가 합류해서	採企亜　杯嫌背辞		16	[]	imported	
STG0083/ID00003/000009	stage	STG0083	ID00003	9	01_스테이지 xlsx 모음/STG0083(49화)-ID00003-script-통합.xlsx	1f37717657ebfb29dbde60601c53a743a549e4cd2427e3be8d753a622498b173	5d7b9e6c811bc8fc66ab11edbf77d14ceb91a494425e0ae5f716a20e24509050	쿼터 격납고에서 정보를 교환하고 있대요.		쿼터의 격납고에서 정보 교환을 하고 있대	汀斗税　維崖壱拭辞　舛左　嘘発聖　馬壱　赤企		44	[]	imported	
STG0083/ID00003/000010	stage	STG0083	ID00003	10	01_스테이지 xlsx 모음/STG0083(49화)-ID00003-script-통합.xlsx	1f37717657ebfb29dbde60601c53a743a549e4cd2427e3be8d753a622498b173	17d1495c206933399889144fa1e0aee7dcf8b9ead10d68a484b16332e159b4b3	우리도 얼굴 내밀지 않을래?		우리도 가볼까?	酔軒亀　亜瑳猿？		16	[]	imported	
