entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0271-45화후A분기/ID00003/000002	stage	STG0271-45화후A분기	ID00003	2	01_스테이지 xlsx 모음/STG0271(45화후A분기)-ID00003-script-통합.xlsx	236411aca31d19314176eda9edb356bff15d194b8710e8911e41dc3db5976f08	e5e40bfe29836fbe855f98f588e6a5b447cb9a8c2e0cc3356fea11bc38876970	$n		$n	$ｎ		4	"[""$n""]"	imported	
STG0271-45화후A분기/ID00003/000003	stage	STG0271-45화후A분기	ID00003	3	01_스테이지 xlsx 모음/STG0271(45화후A분기)-ID00003-script-통합.xlsx	236411aca31d19314176eda9edb356bff15d194b8710e8911e41dc3db5976f08	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0271-45화후A분기/ID00003/000006	stage	STG0271-45화후A분기	ID00003	6	01_스테이지 xlsx 모음/STG0271(45화후A분기)-ID00003-script-통합.xlsx	236411aca31d19314176eda9edb356bff15d194b8710e8911e41dc3db5976f08	f8f79cfefa9e11706140035c0318ca52eac153121c751dc58da2ded78d29a199	　　　　　　　　　　~D 트레이더~		　　　　　　　　　　～D트레이더～	　　　　　　　　　　～Ｄ闘傾戚希～		34	[]	imported	
STG0271-45화후A분기/ID00003/000007	stage	STG0271-45화후A분기	ID00003	7	01_스테이지 xlsx 모음/STG0271(45화후A분기)-ID00003-script-통합.xlsx	236411aca31d19314176eda9edb356bff15d194b8710e8911e41dc3db5976f08	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0271-45화후A분기/ID00003/000008	stage	STG0271-45화후A분기	ID00003	8	01_스테이지 xlsx 모음/STG0271(45화후A분기)-ID00003-script-통합.xlsx	236411aca31d19314176eda9edb356bff15d194b8710e8911e41dc3db5976f08	10e1025b0b837969b6fb129af72e7fc0b33a1715d4223c873d310714df2f9499	자, 행선지는 절해의 외딴섬, 메리다섬.		자,목적지는 절해고도 메리다 섬…	切，鯉旋走澗　箭背壱亀　五軒陥　雫…		36	[]	imported	
STG0271-45화후A분기/ID00003/000009	stage	STG0271-45화후A분기	ID00003	9	01_스테이지 xlsx 모음/STG0271(45화후A분기)-ID00003-script-통합.xlsx	236411aca31d19314176eda9edb356bff15d194b8710e8911e41dc3db5976f08	9a61bcfb11123ec6d3bdcf6ad435eba17594c16ca6739531784ff176455531d4	기분만은 바캉스라고 멋 부리고 싶네요		기분만이라도 바캉스 기분을 내고 싶네요	奄歳幻戚虞亀　郊腸什　奄歳聖　鎧壱　粛革推		42	[]	imported	
STG0271-45화후A분기/ID00003/000010	stage	STG0271-45화후A분기	ID00003	10	01_스테이지 xlsx 모음/STG0271(45화후A분기)-ID00003-script-통합.xlsx	236411aca31d19314176eda9edb356bff15d194b8710e8911e41dc3db5976f08	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0271-45화후A분기/ID00003/000011	stage	STG0271-45화후A분기	ID00003	11	01_스테이지 xlsx 모음/STG0271(45화후A분기)-ID00003-script-통합.xlsx	236411aca31d19314176eda9edb356bff15d194b8710e8911e41dc3db5976f08	c6c1c9fbf0a38bd4693b56b8dc52f9f20281ae0a0b362f6523d328ab83051405	하기야 사태는, 그런 여유를 부릴 수 있을 것 같지는 않아		물론 사태는 그럴 여유를 부릴 수 있는 상황이	弘経　紫殿澗　益群　食政研　採険　呪　赤澗　雌伐戚		50	[]	imported	
STG0271-45화후A분기/ID00003/000012	stage	STG0271-45화후A분기	ID00003	12	01_스테이지 xlsx 모음/STG0271(45화후A분기)-ID00003-script-통합.xlsx	236411aca31d19314176eda9edb356bff15d194b8710e8911e41dc3db5976f08	86b696ef7cc765c43919c07d8da1645dd94c24c57dce8e9fd81972bcd1d495e4	없는데...		아닙니다만…	焼鑑艦陥幻…		12	[]	imported	
STG0271-45화후A분기/ID00003/000013	stage	STG0271-45화후A분기	ID00003	13	01_스테이지 xlsx 모음/STG0271(45화후A분기)-ID00003-script-통합.xlsx	236411aca31d19314176eda9edb356bff15d194b8710e8911e41dc3db5976f08	19a0fbc708488bee0413b5ddad28ff287b05471f3ce5eadbebd01623d8b535ce	ＡＧ		AG	ＡＧ		4	[]	imported	
STG0271-45화후A분기/ID00003/000014	stage	STG0271-45화후A분기	ID00003	14	01_스테이지 xlsx 모음/STG0271(45화후A분기)-ID00003-script-통합.xlsx	236411aca31d19314176eda9edb356bff15d194b8710e8911e41dc3db5976f08	43f0cee9c0fa285eedcf9b2d3b2efa857da7f79a2f14850afb259bf9ee875080	하지만 나는, 이것 하나!		하지만 저는 이것 하나!	馬走幻　煽澗　戚依　馬蟹！		26	[]	imported	
STG0271-45화후A분기/ID00003/000015	stage	STG0271-45화후A분기	ID00003	15	01_스테이지 xlsx 모음/STG0271(45화후A분기)-ID00003-script-통합.xlsx	236411aca31d19314176eda9edb356bff15d194b8710e8911e41dc3db5976f08	06a64aa4b35d8234e8e14ed09c5824e1b21226dd824e493f893f4293243954be	오늘도 파이팅... 장사, 장사!		오늘도 힘내서…장사,장사!	神潅亀　毘鎧辞…舌紫，舌紫！		28	[]	imported	
