entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0068a/ID00004/000002	stage	STG0068a	ID00004	2	01_스테이지 xlsx 모음/STG0068a(40화C)-ID00004-script-통합.xlsx	1784466604fa7a7cf6b13dad39f35dc8115fcc1c5c7dcbebd6424d84c8de57e2	f8f34391a09bbf0629f31b47ec9a32688883efdc9fca46c89f0986b4dc28fc5a	사리		샐리	侍軒		4	[]	imported	
STG0068a/ID00004/000003	stage	STG0068a	ID00004	3	01_스테이지 xlsx 모음/STG0068a(40화C)-ID00004-script-통합.xlsx	1784466604fa7a7cf6b13dad39f35dc8115fcc1c5c7dcbebd6424d84c8de57e2	5bca6da8ecb6aaeab02e5a22863fa5110f97d666065235a519e4697647e7f875	헉...!		큭…！	的…！		6	[]	imported	
STG0068a/ID00004/000004	stage	STG0068a	ID00004	4	01_스테이지 xlsx 모음/STG0068a(40화C)-ID00004-script-통합.xlsx	1784466604fa7a7cf6b13dad39f35dc8115fcc1c5c7dcbebd6424d84c8de57e2	50a2b6e9b87bc45f66bbd22471e28b2bea855d116c4e544619aac945b786e41b	여기까지 무리를 몰아붙이면서…		여기까지 녀석들을 몰아붙였는데…	食奄猿走　橿汐級聖　侯焼細心澗汽…		34	[]	imported	
STG0068a/ID00004/000005	stage	STG0068a	ID00004	5	01_스테이지 xlsx 모음/STG0068a(40화C)-ID00004-script-통합.xlsx	1784466604fa7a7cf6b13dad39f35dc8115fcc1c5c7dcbebd6424d84c8de57e2	b2dd5d2b9df80bb73f27a7f91f573746371683728d5c615aac65821d288d84b5	마리메이어병		마리메이아병	原軒五戚焼佐		12	[]	imported	
STG0068a/ID00004/000006	stage	STG0068a	ID00004	6	01_스테이지 xlsx 모음/STG0068a(40화C)-ID00004-script-통합.xlsx	1784466604fa7a7cf6b13dad39f35dc8115fcc1c5c7dcbebd6424d84c8de57e2	80ad27ae95e2fd1712d3fb9f1faa90a32fdd1c1b9a08bcbf15c3cfad47e97cba	봤니, 연방의 개 같은 놈아!		봤냐,연방의 개자식들!	挫劃，尻号税　鯵切縦級！		24	[]	imported	
STG0068a/ID00004/000007	stage	STG0068a	ID00004	7	01_스테이지 xlsx 모음/STG0068a(40화C)-ID00004-script-통합.xlsx	1784466604fa7a7cf6b13dad39f35dc8115fcc1c5c7dcbebd6424d84c8de57e2	b2dd5d2b9df80bb73f27a7f91f573746371683728d5c615aac65821d288d84b5	마리메이어병		마리메이아병	原軒五戚焼佐		12	[]	imported	
STG0068a/ID00004/000008	stage	STG0068a	ID00004	8	01_스테이지 xlsx 모음/STG0068a(40화C)-ID00004-script-통합.xlsx	1784466604fa7a7cf6b13dad39f35dc8115fcc1c5c7dcbebd6424d84c8de57e2	63b7d63aa55f037e7df286479a1cda689d6396ffe7e77c9621904d1281186e06	우리는 마음대로 살 거야!		우리들은 자유롭게 살 거다!	酔軒級精　切政罫惟　詞　暗陥！		30	[]	imported	
STG0068a/ID00004/000009	stage	STG0068a	ID00004	9	01_스테이지 xlsx 모음/STG0068a(40화C)-ID00004-script-통합.xlsx	1784466604fa7a7cf6b13dad39f35dc8115fcc1c5c7dcbebd6424d84c8de57e2	8ceb8cf8951a058898782b06616823ffb9917aabbc9beed539157d202951611c	누구의 지시도 받지 않고 말이야!		누구의 지시도 받지 않고!	刊姥税　走獣亀　閤走　省壱！		28	[]	imported	
STG0068a/ID00004/000010	stage	STG0068a	ID00004	10	01_스테이지 xlsx 모음/STG0068a(40화C)-ID00004-script-통합.xlsx	1784466604fa7a7cf6b13dad39f35dc8115fcc1c5c7dcbebd6424d84c8de57e2	f8f34391a09bbf0629f31b47ec9a32688883efdc9fca46c89f0986b4dc28fc5a	사리		샐리	侍軒		4	[]	imported	
STG0068a/ID00004/000011	stage	STG0068a	ID00004	11	01_스테이지 xlsx 모음/STG0068a(40화C)-ID00004-script-통합.xlsx	1784466604fa7a7cf6b13dad39f35dc8115fcc1c5c7dcbebd6424d84c8de57e2	a757dbb1bc728e502fd735485b15c733b25224564edd2d9dea7ed37500ef60e6	마리메이어군의 잔당…		마리메이아군의 잔당들…	原軒五戚焼浦税　接雁級…		24	[]	imported	
