entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0035/ID00003/000004	stage	STG0035	ID00003	4	01_스테이지 xlsx 모음/STG0035(23화A)-ID00003-script-통합.xlsx	bb6c5192db9d35281cece99818aa1dff5c354676f97aa7dfe3da239763c21a4c	493a0567f7856d7637f790ffebf62c533b1cbc2382233a617090733fc68307c8	~라 카이람 브릿지~		　　　　　　　～라・카이람 브리지～	　　　　　　　～虞・朝戚寓　崎軒走～		36	[]	imported	
STG0035/ID00003/000005	stage	STG0035	ID00003	5	01_스테이지 xlsx 모음/STG0035(23화A)-ID00003-script-통합.xlsx	bb6c5192db9d35281cece99818aa1dff5c354676f97aa7dfe3da239763c21a4c	0809e902288fd530b039e4e7fab7574e60ab089cc228349e4cb8bad432f0a05b	아무로		아무로	焼巷稽		6	[]	imported	
STG0035/ID00003/000006	stage	STG0035	ID00003	6	01_스테이지 xlsx 모음/STG0035(23화A)-ID00003-script-통합.xlsx	bb6c5192db9d35281cece99818aa1dff5c354676f97aa7dfe3da239763c21a4c	856c7ef8f743be39da3284d5f386da6ac3322ca501e2b6d786df39d66f5af406	...제타랑 ν건담이 안 와?		…제타와 뉴 건담이 오지 않는다고?	…薦展人　敢　闇眼戚　神走　省澗陥壱？		38	[]	imported	
STG0035/ID00003/000007	stage	STG0035	ID00003	7	01_스테이지 xlsx 모음/STG0035(23화A)-ID00003-script-통합.xlsx	bb6c5192db9d35281cece99818aa1dff5c354676f97aa7dfe3da239763c21a4c	312cbf08471d115ce4c64d4d13c26244573ad89cf655bedb2fe047a3fe92fb5f	브라이트		브라이트	崎虞戚闘		8	[]	imported	
STG0035/ID00003/000008	stage	STG0035	ID00003	8	01_스테이지 xlsx 모음/STG0035(23화A)-ID00003-script-통합.xlsx	bb6c5192db9d35281cece99818aa1dff5c354676f97aa7dfe3da239763c21a4c	0e5b4a1edef80056f2dc53df05ccf093597b032b5db000eb99efb33e0ced6c70	론도 벨 본부도 움직이고 있지만,		론도・벨 본부도 움직여 주고 있지만,	経亀・婚　沙採亀　崇送食　爽壱　赤走幻，		40	[]	imported	
STG0035/ID00003/000009	stage	STG0035	ID00003	9	01_스테이지 xlsx 모음/STG0035(23화A)-ID00003-script-통합.xlsx	bb6c5192db9d35281cece99818aa1dff5c354676f97aa7dfe3da239763c21a4c	d3def53fee2e94b68bdbc3f336817971389c5e4d6c533a1282ba2cfae5acebab	희망은 희박한 것 같다		희망은 희박한 것 같다	費諺精　費酵廃　依　旭陥		24	[]	imported	
STG0035/ID00003/000010	stage	STG0035	ID00003	10	01_스테이지 xlsx 모음/STG0035(23화A)-ID00003-script-통합.xlsx	bb6c5192db9d35281cece99818aa1dff5c354676f97aa7dfe3da239763c21a4c	5bad22c2de75a7a465d07ce75b5c09368360076b4e90f1a49751b8d3970eb0d1	첸		첸	綻		2	[]	imported	
STG0035/ID00003/000011	stage	STG0035	ID00003	11	01_스테이지 xlsx 모음/STG0035(23화A)-ID00003-script-통합.xlsx	bb6c5192db9d35281cece99818aa1dff5c354676f97aa7dfe3da239763c21a4c	638c33fba38767ed6904376ebc605744a69836c3b86e559ff0fc4a13100a5810	제 쪽에서도 옛날의 전설을 더듬어,		저도 옛 인맥을 통해,	煽亀　疹　昔呼聖　搭背，		24	[]	imported	
STG0035/ID00003/000012	stage	STG0035	ID00003	12	01_스테이지 xlsx 모음/STG0035(23화A)-ID00003-script-통합.xlsx	bb6c5192db9d35281cece99818aa1dff5c354676f97aa7dfe3da239763c21a4c	66be81ede6002b3f319a7904e81f87c597c9a30b4a0435fe84d5e6ef57260c16	그 두 구의 행방을 쫓고 있었는데,		그 두 기체의 행방을 쫓았지만,	益　砧　奄端税　楳号聖　耐紹走幻，		34	[]	imported	
STG0035/ID00003/000013	stage	STG0035	ID00003	13	01_스테이지 xlsx 모음/STG0035(23화A)-ID00003-script-통합.xlsx	bb6c5192db9d35281cece99818aa1dff5c354676f97aa7dfe3da239763c21a4c	2f9755b63849b9ac2f729ecf9af68511aea5eedfbd4664ed51759b2279992d65	애너하임 옆쪽에 봉인되어 있는 것 같습니다		아무래도 애너하임의 방해로 봉인된 것 같습니다	焼巷掘亀　蕉格馬績税　号背稽　裟昔吉　依　旭柔艦陥		50	[]	imported	
