entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0027/ID00003/000004	stage	STG0027	ID00003	4	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	4130a457ec41441d513e2959c22b5786f54dd1144676f30e6b1325301c3a6448	~성천사학원 슈레이드의 방~		　　　　　　～성천사 학원　슈레이드의 방～	　　　　　　～失探紫　俳据　輯傾戚球税　号～		44	[]	imported	
STG0027/ID00003/000005	stage	STG0027	ID00003	5	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	72c46e86b9bce2a39b21c88b29d2c2694bfdc9de11afb16758ff626562bade9e	슈레이드		슈레이드	輯傾戚球		8	[]	imported	
STG0027/ID00003/000006	stage	STG0027	ID00003	6	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	131734c7bbf25892d33058db5a7ceccf0b8e9068acc964edc6e4627383a3c4a9	이런 시간에 손님이라고는 드문...		…이런 시간에 손님이라니,드물군…	…戚訓　獣娃拭　謝還戚虞艦，球弘浦…		36	[]	imported	
STG0027/ID00003/000007	stage	STG0027	ID00003	7	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	3fe3a9d5ff5031b4a1a9f594cb565c8f7ef7186527690676d3e3ef2f40304c71	？？？		？？？	？？？		6	[]	imported	
STG0027/ID00003/000008	stage	STG0027	ID00003	8	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	45637147097b8c6de7edaa44325c3ae9d66376dcf1f6a7cbf03bf310632792a3	너의 피아노 소리에 이끌려서 말이야		너의 피아노 소리에 이끌렸어	格税　杷焼葛　社軒拭　戚怪携嬢		30	[]	imported	
STG0027/ID00003/000009	stage	STG0027	ID00003	9	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	72c46e86b9bce2a39b21c88b29d2c2694bfdc9de11afb16758ff626562bade9e	슈레이드		슈레이드	輯傾戚球		8	[]	imported	
STG0027/ID00003/000010	stage	STG0027	ID00003	10	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	82a8c03a82e60596af0c808385d5b70e3fef4d345a6d19f2d1f7753c2122af87	후…심야에 창문을 통한 내방자라니…		흐…한밤중에 창문으로 찾아온 손님이라니…	斐…廃鴻掻拭　但庚生稽　達焼紳　謝還戚虞艦…		44	[]	imported	
STG0027/ID00003/000011	stage	STG0027	ID00003	11	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	43ad6c77d7dd97ff6ed58c09d9e4daf484ba86edc1dd24be4d7f4e58d81b78a9	너는 천사야? 아니면 저승사자야...		너는 천사인가? 아니면 죽음의 신인가…	格澗　探紫昔亜？　焼艦檎　宋製税　重昔亜…		42	[]	imported	
STG0027/ID00003/000012	stage	STG0027	ID00003	12	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	3fe3a9d5ff5031b4a1a9f594cb565c8f7ef7186527690676d3e3ef2f40304c71	？？？		？？？	？？？		6	[]	imported	
STG0027/ID00003/000013	stage	STG0027	ID00003	13	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	5f04bd4abf96f06c54b68d78ccddf65fab8b5f6cfd8737eeff5a3c9b95a445a2	자…어느 쪽일까		자,어떤 쪽일까	切，嬢恐　楕析猿		16	[]	imported	
STG0027/ID00003/000014	stage	STG0027	ID00003	14	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	72c46e86b9bce2a39b21c88b29d2c2694bfdc9de11afb16758ff626562bade9e	슈레이드		슈레이드	輯傾戚球		8	[]	imported	
STG0027/ID00003/000015	stage	STG0027	ID00003	15	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	39d0de67a164e2aeaa50ca27bf74b1c4bf5cbad13a34752778525b841848ef85	아무거나 상관없어.		어느 쪽이든 좋아	嬢汗　楕戚窮　疏焼		18	[]	imported	
STG0027/ID00003/000016	stage	STG0027	ID00003	16	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	e1c8ba5b3da9fd942ed78fdb46a8478c770898e429b1ab879548433b2345f7aa	나의 피아노를 마음에 들어했다면, 그것으로 좋아		내 피아노를 마음에 들어해준다면,그걸로 충분해	鎧　杷焼葛研　原製拭　級嬢背層陥檎，益杏稽　中歳背		50	[]	imported	
STG0027/ID00003/000017	stage	STG0027	ID00003	17	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	3fe3a9d5ff5031b4a1a9f594cb565c8f7ef7186527690676d3e3ef2f40304c71	？？？		？？？	？？？		6	[]	imported	
STG0027/ID00003/000018	stage	STG0027	ID00003	18	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	435f597834bb8a87159127e482f539a8e78556a3a962e1fd5a99943a3077156e	더 들려주지 않을래?		좀 더 들려줄 수 없니?	岨　希　級形匝　呪　蒸艦？		26	[]	imported	
STG0027/ID00003/000019	stage	STG0027	ID00003	19	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	a070fea8bef08ccd861eb864b411f7d9c4b64945164c2f41d868cf7fdc4cb81e	너의 영혼의 선율을		너의 영혼의 멜로디를	格税　慎肇税　午稽巨研		22	[]	imported	
STG0027/ID00003/000020	stage	STG0027	ID00003	20	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	72c46e86b9bce2a39b21c88b29d2c2694bfdc9de11afb16758ff626562bade9e	슈레이드		슈레이드	輯傾戚球		8	[]	imported	
STG0027/ID00003/000021	stage	STG0027	ID00003	21	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	dc70ae1687171e985e7d640d6dc3a4188da4a0d00a635442b7d43a948ac22f81	그럼, 미완성이지만, 소중한 것을 들어 주었으면 한다		그럼,미완성이지만,특별한 것을 들어보게 하자	益軍，耕刃失戚走幻，働紺廃　依聖　級嬢左惟　馬切		48	[]	imported	
STG0027/ID00003/000022	stage	STG0027	ID00003	22	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	72c46e86b9bce2a39b21c88b29d2c2694bfdc9de11afb16758ff626562bade9e	슈레이드		슈레이드	輯傾戚球		8	[]	imported	
STG0027/ID00003/000023	stage	STG0027	ID00003	23	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	c0d25124c939d3bdd012133d57098eeb23fa67359fec90c26dbfd5f4e8b990e6	내가 원하는 궁극의 멜로디의 제1악장을		내가 원하는 궁극의 멜로디의 첫 번째 악장을	鎧亜　据馬澗　叡駅税　午稽巨税　湛　腰属　焦舌聖		48	[]	imported	
STG0027/ID00003/000024	stage	STG0027	ID00003	24	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	3fe3a9d5ff5031b4a1a9f594cb565c8f7ef7186527690676d3e3ef2f40304c71	？？？		？？？	？？？		6	[]	imported	
STG0027/ID00003/000025	stage	STG0027	ID00003	25	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	189823e0973afb94348fb5e12887402274cbe2bf78334e150ec2d52ddea25731	…좋은 소식이다…		…좋은 소리야…	…疏精　社軒醤…		16	[]	imported	
STG0027/ID00003/000026	stage	STG0027	ID00003	26	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	3fe3a9d5ff5031b4a1a9f594cb565c8f7ef7186527690676d3e3ef2f40304c71	？？？		？？？	？？？		6	[]	imported	
STG0027/ID00003/000027	stage	STG0027	ID00003	27	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	4c4fd22dbcb57b8e81fcfb6c5621888f27ef4a7c7b5a46eaf2ea609b2ee12ff5	나는 바라...		나는 원해…	蟹澗　据背…		12	[]	imported	
STG0027/ID00003/000028	stage	STG0027	ID00003	28	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	2f8a1da7728355fb5a58759f3750e457c42794f771a71773e22fe80cfbeccbb2	세상이 멋진 소리로 채워지길...		세상이 멋진 소리로 가득 차기를…	室雌戚　鈷遭　社軒稽　亜究　託奄研…		36	[]	imported	
STG0027/ID00003/000031	stage	STG0027	ID00003	31	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	a173c668906f6f4c9f87323cbbb82c70f2ed9f208c2a624f74feb49ffc924cb7	　　~마크로스 쿼터 브리핑룸~		　　～마크로스・쿼터　브리핑룸～	　　～原滴稽什・汀斗　崎軒芭結～		32	[]	imported	
STG0027/ID00003/000032	stage	STG0027	ID00003	32	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	77ecd82a49bb1af43ee55410c3504d77a6e47e801b68ed6e271c630d4a192de1	아오이		아오이	焼神戚		6	[]	imported	
STG0027/ID00003/000033	stage	STG0027	ID00003	33	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	9733e80d91f20235241fbfdc6bfbb30f227a4eb43029fb93f1015ce6dace4e95	…그간, 전이되어 온 사람들과 지구연방의 회담,		…최근에 전이해온 사람들과 지구 연방의 회담,	…置悦拭　穿戚背紳　紫寓級引　走姥　尻号税　噺眼，		50	[]	imported	
STG0027/ID00003/000034	stage	STG0027	ID00003	34	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	81c55074c9584f60a1738c3764d6ab5fc34da0f460c1197bfd499a9a6ea9f8c5	일이 마무리되어 잘 되었군		잘 마무리되어서 다행이야	設　原巷軒鞠嬢辞　陥楳戚醤		26	[]	imported	
STG0027/ID00003/000035	stage	STG0027	ID00003	35	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	c33abe57228442e47cdfb7a97806f5ac17a7f9558462aa4a1e790a5d0b5afa82	조니		조니	繕艦		4	[]	imported	
STG0027/ID00003/000036	stage	STG0027	ID00003	36	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	8fbea1dcc10e294c813d7d5f758f52f66989ab092f4f2dabfdf0cb9f68f1d9f5	튕겨져 나온 게,		전이된 곳이,	穿戚吉　員戚，		14	[]	imported	
STG0027/ID00003/000037	stage	STG0027	ID00003	37	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	b142020fc2d6db0e323e864f5022b91d198ecf8c1b34f17350a4e4cbd5b978ff	그 성천사학원이라고 불리는 학교의 주위와		성천사 학원이라 불리는 학교 주변과	失探紫　俳据戚虞　災軒澗　俳嘘　爽痕引		38	[]	imported	
STG0027/ID00003/000038	stage	STG0027	ID00003	38	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	b7c81efb25ed1e76e070c8f78ca0d5c49487357fb5203af9ff9c747ed00f16fd	그 외 몇 군데에 한정되어 있었으니까요		몇 군데로 제한되었으니 말이지	護　浦汽稽　薦廃鞠醸生艦　源戚走		32	[]	imported	
STG0027/ID00003/000039	stage	STG0027	ID00003	39	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	c33abe57228442e47cdfb7a97806f5ac17a7f9558462aa4a1e790a5d0b5afa82	조니		조니	繕艦		4	[]	imported	
STG0027/ID00003/000040	stage	STG0027	ID00003	40	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	436ed98187b964765876618bbbcca9df6ff10b1ccacfa41f34e2e8de506c6388	전이자 인원이 적었기 때문에,		전이자가 적었던 덕분에,	穿戚切亜　旋醸揮　幾歳拭，		26	[]	imported	
STG0027/ID00003/000041	stage	STG0027	ID00003	41	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	7f442778d0aab740cd5e84658f498aee06886504f27c4f81c6bbec04d3c00cdb	의견을 수렴하기 쉬웠던 것이 이번 수용 성공의		의견을 모으기 쉬웠던 것이 이번 수용 성공의	税胃聖　乞生奄　習頗揮　依戚　戚腰　呪遂　失因税		48	[]	imported	
STG0027/ID00003/000042	stage	STG0027	ID00003	42	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	4cd52160e0429f7ffb6dd11b6115997e5831ae100897f5c34c6894f5eb485f2a	가장 큰 요인일 것입니다		가장 큰 요인이겠지	亜舌　笛　推昔戚畏走		20	[]	imported	
STG0027/ID00003/000043	stage	STG0027	ID00003	43	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	b36cd8018c110f113a367f9d832d2b74705bd2e47d755b38ef810a92c5bbbe07	배너지		버나지	獄蟹走		6	[]	imported	
STG0027/ID00003/000044	stage	STG0027	ID00003	44	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	44f5dc951c072b01eabebcd565ac847c7b007328dcee5eecba64ccb2523e6715	전이되어 온 일대가 개발 예정지라는 점에서		전이된 지역이 개발 예정지라서 거의 빈터가	穿戚吉　走蝕戚　鯵降　森舛走虞辞　暗税　朔斗亜		46	[]	imported	
STG0027/ID00003/000045	stage	STG0027	ID00003	45	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	3e89ee204aee38f181c6149811711ab68ee528a64200163eec2dbfd414b94b75	거의 탈진 상태였던 것도 불행 중 다행이었습니다		되어 있었던 것도 불행 중 다행이었지	鞠嬢　赤醸揮　依亀　災楳　掻　陥楳戚醸走		40	[]	imported	
STG0027/ID00003/000046	stage	STG0027	ID00003	46	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	190f638ba39892254a944d2a0f9527021e515af3a2cc6a1ec9e1bbeebd4307fc	듀오		듀오	朽神		4	[]	imported	
STG0027/ID00003/000047	stage	STG0027	ID00003	47	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	7ae061f87b5948bb24fb970664e195a16dbe9c88d40efdb371e3b41f528c116c	관계자는 개발이 한순간에 종료되었다고		관계자들은 개발이 순식간에 끝났다고	淫域切級精　鯵降戚　授縦娃拭　魁概陥壱		38	[]	imported	
STG0027/ID00003/000048	stage	STG0027	ID00003	48	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	ed4ee1e1f25b5160524f8f3cca29402e255f17dfb8464e0badd2989c05c67df4	기뻐하는 모양인데		기뻐하고 있는 모양이군	奄撒馬壱　赤澗　乞丞戚浦		24	[]	imported	
STG0027/ID00003/000049	stage	STG0027	ID00003	49	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	ffcb16ddb06f2d28280d96b46848a45a3f88edc84b30007dd57facc6aca65c4e	카렌		카렌	朝兄		4	[]	imported	
STG0027/ID00003/000050	stage	STG0027	ID00003	50	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	e3436da1d6b963b8d127472b2e13cc7e305b3568450321662420da5cae3f5125	시공진동에 휘말린 사람은 힘들었지만,		다차원 진동에 휘말린 사람들은 힘들었지만,	陥託据　遭疑拭　番源鍵　紫寓級精　毘級醸走幻，		46	[]	imported	
STG0027/ID00003/000051	stage	STG0027	ID00003	51	01_스테이지 xlsx 모음/STG0027(16화)-ID00003-script-통합.xlsx	7f642d00dc3264d66e5f47ca1851535ea1a71fe4919fde45a10585b8f6e5e294	120c21a6774d40aff60ce02e549428afb389267c0cf938a5dee3af4faaf6561e	결과적으로는 원만하게 수습된 셈이군		결과적으로는 잘 마무리 되었다고 볼 수 있겠지	衣引旋生稽澗　設　原巷軒　鞠醸陥壱　瑳　呪　赤畏走		50	[]	imported	
