entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0053/ID00003/000004	stage	STG0053	ID00003	4	01_스테이지 xlsx 모음/STG0053(35화)-ID00003-script-통합.xlsx	1d167343a237bc740237cd2737ec55581238382cd457d196ac19dbb423a264af	0e8a3a9e138324b20b042aa47e827316727b64693caba040af6022b620703427	~발에 요르주르 시가지~		　　　　　　　～바르에욜주루 시가지～	　　　　　　　～郊牽拭睡爽欠　獣亜走～		38	[]	imported	
STG0053/ID00003/000005	stage	STG0053	ID00003	5	01_스테이지 xlsx 모음/STG0053(35화)-ID00003-script-통합.xlsx	1d167343a237bc740237cd2737ec55581238382cd457d196ac19dbb423a264af	8d17effa01e40912cd0e383bdff7bd35e3121d977e7526dd77c63076a8b3bdf2	트라이아		트라이아	闘虞戚焼		8	[]	imported	
STG0053/ID00003/000006	stage	STG0053	ID00003	6	01_스테이지 xlsx 모음/STG0053(35화)-ID00003-script-통합.xlsx	1d167343a237bc740237cd2737ec55581238382cd457d196ac19dbb423a264af	9ae1e85bdcc35d5161adcc4f97e69321d097482a478ff66d312f94f952c58b9c	…상황은?		…상황은?	…雌伐精？		10	[]	imported	
STG0053/ID00003/000007	stage	STG0053	ID00003	7	01_스테이지 xlsx 모음/STG0053(35화)-ID00003-script-통합.xlsx	1d167343a237bc740237cd2737ec55581238382cd457d196ac19dbb423a264af	898c10f335c509eab8d63afaeea9ad73053a76a87bed57aa4ce7b829c03fb1ce	연구원		연구원	尻姥据		6	[]	imported	
STG0053/ID00003/000008	stage	STG0053	ID00003	8	01_스테이지 xlsx 모음/STG0053(35화)-ID00003-script-통합.xlsx	1d167343a237bc740237cd2737ec55581238382cd457d196ac19dbb423a264af	337fb66d8e9b746a87ba5305296801830f18a47bdd3ccb206596629c68796e29	케이스 3과 같습니다.		케이스 3과 같습니다	追戚什　３引　旭柔艦陥		22	[]	imported	
STG0053/ID00003/000009	stage	STG0053	ID00003	9	01_스테이지 xlsx 모음/STG0053(35화)-ID00003-script-통합.xlsx	1d167343a237bc740237cd2737ec55581238382cd457d196ac19dbb423a264af	19899399cda9a2251e15d16edeedc922b27602a0b4c007e717a8bd7ce207a4da	도시의 모든 주민들에게 증상이 나타나고 있습니다		거리의 주민 전원에게 증상이 나타나고 있습니다	暗軒税　爽肯　穿据拭惟　装雌戚　蟹展蟹壱　赤柔艦陥		50	[]	imported	
STG0053/ID00003/000010	stage	STG0053	ID00003	10	01_스테이지 xlsx 모음/STG0053(35화)-ID00003-script-통합.xlsx	1d167343a237bc740237cd2737ec55581238382cd457d196ac19dbb423a264af	58a3651d5dd1dbc029a238c1fc504377a5ecd620e2d9128ed4611835573ebcef	시민		시민	獣肯		4	[]	imported	
STG0053/ID00003/000011	stage	STG0053	ID00003	11	01_스테이지 xlsx 모음/STG0053(35화)-ID00003-script-통합.xlsx	1d167343a237bc740237cd2737ec55581238382cd457d196ac19dbb423a264af	b5dbfcbbf5e72e6150f4a5270d09826f947df24fe0d998427d606efb65c9ee10	어...		무…	巷…		4	[]	imported	
STG0053/ID00003/000012	stage	STG0053	ID00003	12	01_스테이지 xlsx 모음/STG0053(35화)-ID00003-script-통합.xlsx	1d167343a237bc740237cd2737ec55581238382cd457d196ac19dbb423a264af	58a3651d5dd1dbc029a238c1fc504377a5ecd620e2d9128ed4611835573ebcef	시민		시민	獣肯		4	[]	imported	
STG0053/ID00003/000013	stage	STG0053	ID00003	13	01_스테이지 xlsx 모음/STG0053(35화)-ID00003-script-통합.xlsx	1d167343a237bc740237cd2737ec55581238382cd457d196ac19dbb423a264af	689047e8d7bc4ad88100477b80ea8b3cd80ae86048551acb114290ece61f397b	……이…이…이…라고…다…		…으…이…이…거…거…다…	…生…戚…戚…暗…暗…陥…		26	[]	imported	
