entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0024/ID00003/000004	stage	STG0024	ID00003	4	01_스테이지 xlsx 모음/STG0024(13화C)-ID00003-script-통합.xlsx	993159066c6dfd1bd95fbdf2b5e754f78320a8d82a34890f656dc5a416772d0c	ff15b5fc1bb992b45c49266198bf50f33ff7b60a1db234c29898512de293ed98	~마크로스 쿼터 격납고~		　　　　　　～마크로스・쿼터 격납고～	　　　　　　～原滴稽什・汀斗　維崖壱～		38	[]	imported	
STG0024/ID00003/000005	stage	STG0024	ID00003	5	01_스테이지 xlsx 모음/STG0024(13화C)-ID00003-script-통합.xlsx	993159066c6dfd1bd95fbdf2b5e754f78320a8d82a34890f656dc5a416772d0c	206482116d602f5ed13e349082ae877e00407e97772c4537c4a501a95841bd8a	Ｃ．Ｃ．.		C.C.	Ｃ．Ｃ．		8	[]	imported	
STG0024/ID00003/000006	stage	STG0024	ID00003	6	01_스테이지 xlsx 모음/STG0024(13화C)-ID00003-script-통합.xlsx	993159066c6dfd1bd95fbdf2b5e754f78320a8d82a34890f656dc5a416772d0c	4be66cf94e7033822cdfc8a62cfb6122805b339fe22766c4e71d115cc89cb60f	………		………	………		6	[]	imported	
STG0024/ID00003/000007	stage	STG0024	ID00003	7	01_스테이지 xlsx 모음/STG0024(13화C)-ID00003-script-통합.xlsx	993159066c6dfd1bd95fbdf2b5e754f78320a8d82a34890f656dc5a416772d0c	453423aebce3db1722a53c3b027a53af1a8ff91242548c293d78c676fd1d0da8	스즈네		스즈네	什綜革		6	[]	imported	
STG0024/ID00003/000008	stage	STG0024	ID00003	8	01_스테이지 xlsx 모음/STG0024(13화C)-ID00003-script-통합.xlsx	993159066c6dfd1bd95fbdf2b5e754f78320a8d82a34890f656dc5a416772d0c	6cef199f4add9606cf88ab45b44702ca7cbc2dde579aa2acae199beec55a7363	그 C.C.씨라는 분,		저 C.C. 씨라는 분,	煽　Ｃ．Ｃ．　松虞澗　歳，		26	[]	imported	
STG0024/ID00003/000009	stage	STG0024	ID00003	9	01_스테이지 xlsx 모음/STG0024(13화C)-ID00003-script-통합.xlsx	993159066c6dfd1bd95fbdf2b5e754f78320a8d82a34890f656dc5a416772d0c	7a744babf3c39dafacaea12fb222301557efb7dd6ea26b55cd38f79f3f71cadd	어째서 마티얼을 쫓고 있는지는		어째서 마티알을 쫓고 있는지는	嬢属辞　原銅硝聖　耐壱　赤澗走澗		32	[]	imported	
STG0024/ID00003/000010	stage	STG0024	ID00003	10	01_스테이지 xlsx 모음/STG0024(13화C)-ID00003-script-통합.xlsx	993159066c6dfd1bd95fbdf2b5e754f78320a8d82a34890f656dc5a416772d0c	ae39ad7ab6d35c3cd3ebfaa3bdb3a657f84ffcfaa7082f2f2ea600e40d5eeaaa	이야기를 해주지 않는군요		말해주지 않네요	源背爽走　省革推		16	[]	imported	
STG0024/ID00003/000011	stage	STG0024	ID00003	11	01_스테이지 xlsx 모음/STG0024(13화C)-ID00003-script-통합.xlsx	993159066c6dfd1bd95fbdf2b5e754f78320a8d82a34890f656dc5a416772d0c	fa9340198eeaa266f350a59c09940fabea3390fb9800cf2afc7cba1324d1e800	알토		알토	硝塘		4	[]	imported	
STG0024/ID00003/000012	stage	STG0024	ID00003	12	01_스테이지 xlsx 모음/STG0024(13화C)-ID00003-script-통합.xlsx	993159066c6dfd1bd95fbdf2b5e754f78320a8d82a34890f656dc5a416772d0c	bd61bd05bca7e097324dc516c7db2a55d8ad925b099a0c5a3821c5a01f3be3b8	그런 놈이거든요.		그런 사람입니다.말할 생각이 없는 걸	益訓　紫寓脊艦陥．源拝　持唖戚　蒸澗　杏		40	[]	imported	
STG0024/ID00003/000013	stage	STG0024	ID00003	13	01_스테이지 xlsx 모음/STG0024(13화C)-ID00003-script-통합.xlsx	993159066c6dfd1bd95fbdf2b5e754f78320a8d82a34890f656dc5a416772d0c	f4faf7314e9f2eabc1ca340eeaeb9f1a3a0813c3257859129a6222b9bdf831ba	할 말이 없는 말을 들어도 소용이 없다고 생각합니다		물어봐도 소용없다고 생각합니다	弘嬢坐亀　社遂蒸陥壱　持唖杯艦陥		32	[]	imported	
