entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
DLC0320/ID00003/000004	dlc	DLC0320	ID00003	4	!DLC/DLC0320_cpk/DLC0320(DLC-20)-ID00003-script-통합.xlsx	3b906646baf71ca7d24ab6ee49e1c7eb892f29d9188a784843904cf421551974	bb6a781b232d40f84a6e7124dfed66024fef998f2e39dadce38c476b02c48b5f	~라 카이람 격납고~		　　　　　　　～라・카이람 격납고～	　　　　　　　～虞・朝戚寓　維崖壱～		36	[]	imported	
DLC0320/ID00003/000005	dlc	DLC0320	ID00003	5	!DLC/DLC0320_cpk/DLC0320(DLC-20)-ID00003-script-통합.xlsx	3b906646baf71ca7d24ab6ee49e1c7eb892f29d9188a784843904cf421551974	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
DLC0320/ID00003/000006	dlc	DLC0320	ID00003	6	!DLC/DLC0320_cpk/DLC0320(DLC-20)-ID00003-script-통합.xlsx	3b906646baf71ca7d24ab6ee49e1c7eb892f29d9188a784843904cf421551974	72da5c3139753e60a5012d34c69258e67114a4004fe4117e566f1b87a9f0c720	미코노 씨...		미코노 씨…	耕坪葛　松…		12	[]	imported	
DLC0320/ID00003/000007	dlc	DLC0320	ID00003	7	!DLC/DLC0320_cpk/DLC0320(DLC-20)-ID00003-script-통합.xlsx	3b906646baf71ca7d24ab6ee49e1c7eb892f29d9188a784843904cf421551974	6325d89e89f276ab791435db18854c1d7ec1ca2853ce1145a9aac40d3826ec02	앞으로의 싸움은 지금까지와 비교할 수 없을 정도로		앞으로의 싸움은 지금까지와는 비교도 안 될 만큼	蒋生稽税　塾崇精　走榎猿走人澗　搾嘘亀　照　吃　幻鏑		52	[]	imported	
DLC0320/ID00003/000008	dlc	DLC0320	ID00003	8	!DLC/DLC0320_cpk/DLC0320(DLC-20)-ID00003-script-통합.xlsx	3b906646baf71ca7d24ab6ee49e1c7eb892f29d9188a784843904cf421551974	6abd632e1cf081cd29c290414306f337162ba72aeb031e08919920550318a9e2	엄하게 될 거라고 생각한다		힘들어질 거라고 생각해	毘級嬢霜　暗虞壱　持唖背		24	[]	imported	
DLC0320/ID00003/000009	dlc	DLC0320	ID00003	9	!DLC/DLC0320_cpk/DLC0320(DLC-20)-ID00003-script-통합.xlsx	3b906646baf71ca7d24ab6ee49e1c7eb892f29d9188a784843904cf421551974	50ed163452aa7c918c13cd7a34d1127d9206f817e8d561c83719af230cec2266	미코노		미코노	耕坪葛		6	[]	imported	
DLC0320/ID00003/000010	dlc	DLC0320	ID00003	10	!DLC/DLC0320_cpk/DLC0320(DLC-20)-ID00003-script-통합.xlsx	3b906646baf71ca7d24ab6ee49e1c7eb892f29d9188a784843904cf421551974	79fef4337046437984b964001e03024ae561d0f7839b6c47e0d8facb1fc033fe	아마타 군...		아마타 군…	焼原展　浦…		12	[]	imported	
DLC0320/ID00003/000011	dlc	DLC0320	ID00003	11	!DLC/DLC0320_cpk/DLC0320(DLC-20)-ID00003-script-통합.xlsx	3b906646baf71ca7d24ab6ee49e1c7eb892f29d9188a784843904cf421551974	016aab48418652aeefd7c505152d211c65a57a163947149b663f6b54a05d28c9	아마타		아마타	焼原展		6	[]	imported	
DLC0320/ID00003/000012	dlc	DLC0320	ID00003	12	!DLC/DLC0320_cpk/DLC0320(DLC-20)-ID00003-script-통합.xlsx	3b906646baf71ca7d24ab6ee49e1c7eb892f29d9188a784843904cf421551974	8a940acb4c893d8a0b4f0fca8f14ef5fe765080fa1df89b07c8c284d38dc0ba1	하지만 나... 절대로 미코노씨를 지킬거야		하지만 저… 절대로 미코노 씨를 지킬 거예요	馬走幻　煽…　箭企稽　耕坪葛　松研　走迭　暗森推		48	[]	imported	
DLC0320/ID00003/000013	dlc	DLC0320	ID00003	13	!DLC/DLC0320_cpk/DLC0320(DLC-20)-ID00003-script-통합.xlsx	3b906646baf71ca7d24ab6ee49e1c7eb892f29d9188a784843904cf421551974	50ed163452aa7c918c13cd7a34d1127d9206f817e8d561c83719af230cec2266	미코노		미코노	耕坪葛		6	[]	imported	
