entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0092/ID00003/000004	stage	STG0092	ID00003	4	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	fda57735d7ad465ad238fa0393b279fff132fe2c3b659b20876059a3579adc67	~패러다임시티~		　　　　　　　　　～패러다임 시티～	　　　　　　　　　～鳶君陥績　獣銅～		36	[]	imported	
STG0092/ID00003/000005	stage	STG0092	ID00003	5	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	9bcbe1433ae8354ccd85f9694a2b81767eae6e5d568b6d40e1cc70115167e130	가쓰라		케이	追戚		4	[]	imported	
STG0092/ID00003/000006	stage	STG0092	ID00003	6	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	23d82a9ad137cf7068362c3cdb30c38481c64059e176bc51f133761f1fe2061e	여기는...!?		여기는…！？	食奄澗…！？		12	[]	imported	
STG0092/ID00003/000007	stage	STG0092	ID00003	7	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	77ecd82a49bb1af43ee55410c3504d77a6e47e801b68ed6e271c630d4a192de1	아오이		아오이	焼神戚		6	[]	imported	
STG0092/ID00003/000008	stage	STG0092	ID00003	8	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	1e8fd376dc665d9aaba80d5ac9bc48c0166ad3e3d896e9a3f175f397ce091d94	혹시... 패러다임 시티...?		설마…패러다임 시티…？	竺原…鳶君陥績　獣銅…？		24	[]	imported	
STG0092/ID00003/000009	stage	STG0092	ID00003	9	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	ffcb16ddb06f2d28280d96b46848a45a3f88edc84b30007dd57facc6aca65c4e	카렌		카렌	朝兄		4	[]	imported	
STG0092/ID00003/000010	stage	STG0092	ID00003	10	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	de4223b5f9dd6769446278e6d036ed941fe2ca086046b047c0c1277d41c511c1	낮에도 어두운 하늘.. 영화의 세트같은 거리..		낮에도 어두운 하늘…영화 세트 같은 거리…	碍拭亀　嬢砧錘　馬潅…慎鉢　室闘　旭精　暗軒…		46	[]	imported	
STG0092/ID00003/000011	stage	STG0092	ID00003	11	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	9a98324f9f34a13285e8d1db0058a963b0aea31a4c65b89d77555e1a49ecf60a	틀림없군		틀림없네	堂顕蒸革		8	[]	imported	
STG0092/ID00003/000012	stage	STG0092	ID00003	12	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	45ac4aabe99e0d08b30e816653a94b56d589c2083d9046fe823d52aa7c94736c	와타		왓타	甚展		4	[]	imported	
STG0092/ID00003/000013	stage	STG0092	ID00003	13	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	8350b372a5d76f4bdd32945b0470005c09e40f49170b53a3b36c5d64fbcf996d	우리... 우주에서 싸우고 있었는데...		우리들…우주에서 싸우고 있었는데…	酔軒級…酔爽拭辞　塾酔壱　赤醸澗汽…		36	[]	imported	
STG0092/ID00003/000014	stage	STG0092	ID00003	14	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	5d8f0b3aa3f1a4ce388aad5858920595a92674479226361a60b3000f030303e0	왜 이런 곳에 있지?		어째서 이런 곳에 있는 거야？	嬢属辞　戚訓　員拭　赤澗　暗醤？		32	[]	imported	
STG0092/ID00003/000015	stage	STG0092	ID00003	15	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	9f0da37da6231fe1700a550ab895c7f8652c66f053955289a72595e74ad8e9f2	료마		료마	戟原		4	[]	imported	
STG0092/ID00003/000016	stage	STG0092	ID00003	16	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	225ee300bf430d549697bfc8bdbc465b0c6db9c8c1d4f43e8cecb6c5300596cf	안티스파이럴 짓이야?		안티 스파이럴의 짓인가？	照銅　什督戚群税　憎昔亜？		26	[]	imported	
STG0092/ID00003/000017	stage	STG0092	ID00003	17	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	6d13935fae69e32c736ac42982c1026a87538a9f866f4a13b9321fd0af88842d	시몬		시몬	獣佼		4	[]	imported	
STG0092/ID00003/000018	stage	STG0092	ID00003	18	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	05a8f1429cadce6a1b3fb4f3efc3c051d61aa7a6210a7159f618766c2dd5c058	니어는 시스템이라고 했는데…		니아는 시스템이라고 했지만…	艦焼澗　獣什奴戚虞壱　梅走幻…		30	[]	imported	
STG0092/ID00003/000019	stage	STG0092	ID00003	19	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	32778b29fea58065310a90200d4724635cfcb412a39c0e13877cd9f349b18b42	제로		제로	薦稽		4	[]	imported	
STG0092/ID00003/000020	stage	STG0092	ID00003	20	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	e966091cefc4e0d7475706d1173445f47009fd27cbaf491324c23b8c3fbee259	(시스템...)		（시스템…）	（獣什奴…）		12	[]	imported	
STG0092/ID00003/000021	stage	STG0092	ID00003	21	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	206482116d602f5ed13e349082ae877e00407e97772c4537c4a501a95841bd8a	Ｃ．Ｃ．.		C.C.	Ｃ．Ｃ．		8	[]	imported	
STG0092/ID00003/000022	stage	STG0092	ID00003	22	01_스테이지 xlsx 모음/STG0092(53화B)-ID00003-script-통합.xlsx	e738df07b1f9c045ee1eac8483fca4eb6d0709646d7a69568c21214261c10a26	c1fca3120e912e945f2f25a6ca861a87ba2cca1621fe1d8cb663e8618a5a72a6	(무자비한 신이라...)		（무자비한 신인가…）	（巷切搾廃　重昔亜…）		22	[]	imported	
