entry_id	scope	asset_key	internal_id	source_row	source_artifact	source_artifact_sha256	source_text_sha256	google_translation	legacy_translation	translation	replacement_text	byte_limit	encoded_length	control_signature	status	notes
STG0051a/ID00003/000004	stage	STG0051a	ID00003	4	01_스테이지 xlsx 모음/STG0051a(33화)-ID00003-script-통합.xlsx	b3bb78a2cee70c25484e5f6c38dc3d1f75ff7079a447930b27d53a2ec10a75ad	b3ecfb8e4f9b40431c79b3891d3cfb12b12d186521938f045c3825740d81dcf3	~패러다임 시티 바 'SPEAK EASY'~		　～파라다임 시티 바 『SPEAK EASY』～	　～督虞陥績　獣銅　郊　『ＳＰＥＡＫ　ＥＡＳＹ』～		50	[]	imported	
STG0051a/ID00003/000005	stage	STG0051a	ID00003	5	01_스테이지 xlsx 모음/STG0051a(33화)-ID00003-script-통합.xlsx	b3bb78a2cee70c25484e5f6c38dc3d1f75ff7079a447930b27d53a2ec10a75ad	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	가드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
STG0051a/ID00003/000006	stage	STG0051a	ID00003	6	01_스테이지 xlsx 모음/STG0051a(33화)-ID00003-script-통합.xlsx	b3bb78a2cee70c25484e5f6c38dc3d1f75ff7079a447930b27d53a2ec10a75ad	d78a5d7b87ce344867e78028158b2f81f173dabd46654794f221ef68186e7754	무슨 일이야, 형제?		무슨 일이야,형제?	巷充　析戚醤，莫薦？		20	[]	imported	
STG0051a/ID00003/000007	stage	STG0051a	ID00003	7	01_스테이지 xlsx 모음/STG0051a(33화)-ID00003-script-통합.xlsx	b3bb78a2cee70c25484e5f6c38dc3d1f75ff7079a447930b27d53a2ec10a75ad	6a7fd1ae3094b73d82b55f0951be7e6c863c2fe2f1644773bfc7f85a0876e2a9	오늘은 어느때보다도 다운된 공기구나		오늘은 평소보다 더 가라앉은 분위기인데	神潅精　汝社左陥　希　亜虞症精　歳是奄昔汽		42	[]	imported	
STG0051a/ID00003/000008	stage	STG0051a	ID00003	8	01_스테이지 xlsx 모음/STG0051a(33화)-ID00003-script-통합.xlsx	b3bb78a2cee70c25484e5f6c38dc3d1f75ff7079a447930b27d53a2ec10a75ad	dc0e2044a9ad5cdce06319958004716ee429e349f5ef44f7cb886ba6b3b2198e	로저		로저	稽煽		4	[]	imported	
STG0051a/ID00003/000009	stage	STG0051a	ID00003	9	01_스테이지 xlsx 모음/STG0051a(33화)-ID00003-script-통합.xlsx	b3bb78a2cee70c25484e5f6c38dc3d1f75ff7079a447930b27d53a2ec10a75ad	94c1e3ed0220267560c333f84bb792923aa75ab9098699b05f5443d68256f02d	…나는…누구야…?		…나는…누구지…?	…蟹澗…刊姥走…？		18	[]	imported	
STG0051a/ID00003/000010	stage	STG0051a	ID00003	10	01_스테이지 xlsx 모음/STG0051a(33화)-ID00003-script-통합.xlsx	b3bb78a2cee70c25484e5f6c38dc3d1f75ff7079a447930b27d53a2ec10a75ad	919cda4281c9e5a633bf5c875a0381a395a67d55f8d0f3e29c3a4c177ad448ab	가드라이트		가드라이트	亜球虞戚闘		10	[]	imported	
STG0051a/ID00003/000011	stage	STG0051a	ID00003	11	01_스테이지 xlsx 모음/STG0051a(33화)-ID00003-script-통합.xlsx	b3bb78a2cee70c25484e5f6c38dc3d1f75ff7079a447930b27d53a2ec10a75ad	bb9d13ad4e559ce54cbf3b7197d5b6f87d3cb71a86634226e8422ddc81e26736	나쁜 병이 재발해 버렸는지…		나쁜 병이 재발했나…	蟹斯　佐戚　仙降梅蟹…		22	[]	imported	
STG0051a/ID00003/000012	stage	STG0051a	ID00003	12	01_스테이지 xlsx 모음/STG0051a(33화)-ID00003-script-통합.xlsx	b3bb78a2cee70c25484e5f6c38dc3d1f75ff7079a447930b27d53a2ec10a75ad	dc0e2044a9ad5cdce06319958004716ee429e349f5ef44f7cb886ba6b3b2198e	로저		로저	稽煽		4	[]	imported	
STG0051a/ID00003/000013	stage	STG0051a	ID00003	13	01_스테이지 xlsx 모음/STG0051a(33화)-ID00003-script-통합.xlsx	b3bb78a2cee70c25484e5f6c38dc3d1f75ff7079a447930b27d53a2ec10a75ad	94c1e3ed0220267560c333f84bb792923aa75ab9098699b05f5443d68256f02d	…나는…누구야…?		…나는…누구지…?	…蟹澗…刊姥走…？		18	[]	imported	
